Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,43.8,44.0,42.24,42.37,851023.0,0.0,1.0,43.8,44.0,42.24,42.37,851023.0
2016-11-16,43.66,44.009,43.12,43.88,626781.0,0.0,1.0,43.66,44.009,43.12,43.88,626781.0
2016-11-15,43.98,44.55,43.27,43.66,678642.0,0.0,1.0,43.98,44.55,43.27,43.66,678642.0
2016-11-14,43.91,44.15,42.07,43.84,1517752.0,0.0,1.0,43.91,44.15,42.07,43.84,1517752.0
2016-11-11,44.23,44.85,43.4,44.26,1087055.0,0.0,1.0,44.23,44.85,43.4,44.26,1087055.0
2016-11-10,46.44,46.6,44.05,44.35,1644646.0,0.0,1.0,46.44,46.6,44.05,44.35,1644646.0
2016-11-09,47.17,49.86,43.96,46.23,1916730.0,0.0,1.0,47.17,49.86,43.96,46.23,1916730.0
2016-11-08,45.45,46.66,45.13,46.21,1125127.0,0.0,1.0,45.45,46.66,45.13,46.21,1125127.0
2016-11-07,45.54,45.77,45.41,45.5,908698.0,0.0,1.0,45.54,45.77,45.41,45.5,908698.0
2016-11-04,45.93,46.4,44.97,44.98,632362.0,0.0,1.0,45.93,46.4,44.97,44.98,632362.0
2016-11-03,46.35,46.53,45.73,46.0,487813.0,0.0,1.0,46.35,46.53,45.73,46.0,487813.0
2016-11-02,46.55,46.7081,46.28,46.34,468819.0,0.0,1.0,46.55,46.7081,46.28,46.34,468819.0
2016-11-01,46.54,47.33,46.345,46.68,657718.0,0.0,1.0,46.54,47.33,46.345,46.68,657718.0
2016-10-31,46.52,47.085,46.06,46.51,1011595.0,0.0,1.0,46.52,47.085,46.06,46.51,1011595.0
2016-10-28,47.04,47.64,46.5,46.55,752322.0,0.0,1.0,47.04,47.64,46.5,46.55,752322.0
2016-10-27,48.55,48.6699,46.94,47.06,523860.0,0.0,1.0,48.55,48.6699,46.94,47.06,523860.0
2016-10-26,48.52,49.0,48.05,48.45,262271.0,0.0,1.0,48.52,49.0,48.05,48.45,262271.0
2016-10-25,48.88,49.53,48.44,48.5,396517.0,0.0,1.0,48.88,49.53,48.44,48.5,396517.0
2016-10-24,49.17,49.42,48.74,48.88,361720.0,0.0,1.0,49.17,49.42,48.74,48.88,361720.0
2016-10-21,48.11,48.72,47.92,48.57,280888.0,0.0,1.0,48.11,48.72,47.92,48.57,280888.0
2016-10-20,48.62,48.87,48.2,48.25,283467.0,0.0,1.0,48.62,48.87,48.2,48.25,283467.0
2016-10-19,48.76,48.93,48.3901,48.61,391348.0,0.0,1.0,48.76,48.93,48.3901,48.61,391348.0
2016-10-18,48.61,49.22,48.07,48.77,522813.0,0.0,1.0,48.61,49.22,48.07,48.77,522813.0
2016-10-17,47.56,47.97,47.13,47.87,385463.0,0.0,1.0,47.56,47.97,47.13,47.87,385463.0
2016-10-14,47.48,48.0,47.22,47.53,329578.0,0.0,1.0,47.48,48.0,47.22,47.53,329578.0
2016-10-13,47.48,47.95,47.25,47.29,380905.0,0.0,1.0,47.48,47.95,47.25,47.29,380905.0
2016-10-12,47.8,48.23,47.55,47.75,413636.0,0.0,1.0,47.8,48.23,47.55,47.75,413636.0
2016-10-11,49.02,49.13,47.605,47.7,682850.0,0.0,1.0,49.02,49.13,47.605,47.7,682850.0
2016-10-10,49.71,50.13,48.87,48.95,572121.0,0.0,1.0,49.71,50.13,48.87,48.95,572121.0
2016-10-07,49.72,49.73,48.945,49.39,643046.0,0.0,1.0,49.72,49.73,48.945,49.39,643046.0
2016-10-06,49.36,49.95,49.23,49.71,716805.0,0.0,1.0,49.36,49.95,49.23,49.71,716805.0
2016-10-05,49.44,50.0695,48.61,49.2,3166211.0,0.0,1.0,49.44,50.0695,48.61,49.2,3166211.0
2016-10-04,49.5,50.01,48.89,49.21,772172.0,0.0,1.0,49.5,50.01,48.89,49.21,772172.0
2016-10-03,49.68,49.79,48.99,49.3,605037.0,0.0,1.0,49.68,49.79,48.99,49.3,605037.0
2016-09-30,49.09,50.35,49.05,49.96,1397937.0,0.0,1.0,49.09,50.35,49.05,49.96,1397937.0
2016-09-29,48.14,49.13,47.96,48.9,1043544.0,0.0,1.0,48.14,49.13,47.96,48.9,1043544.0
2016-09-28,46.94,47.88,46.525,47.8,759515.0,0.0,1.0,46.94,47.88,46.525,47.8,759515.0
