Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,29.84,30.1,29.24,29.28,2368010.0,0.0,1.0,29.84,30.1,29.24,29.28,2368010.0
2016-11-16,29.77,30.1,29.63,29.88,3248301.0,0.0,1.0,29.77,30.1,29.63,29.88,3248301.0
2016-11-15,28.64,30.7,28.17,29.77,7703222.0,0.0,1.0,28.64,30.7,28.17,29.77,7703222.0
2016-11-14,27.12,27.94,26.97,27.87,986213.0,0.0,1.0,27.12,27.94,26.97,27.87,986213.0
2016-11-11,27.11,27.73,27.11,27.25,897746.0,0.0,1.0,27.11,27.73,27.11,27.25,897746.0
2016-11-10,27.46,27.52,26.63,27.15,743696.0,0.0,1.0,27.46,27.52,26.63,27.15,743696.0
2016-11-09,27.24,27.65,26.97,27.49,691635.0,0.0,1.0,27.24,27.65,26.97,27.49,691635.0
2016-11-08,27.94,28.16,27.775,27.93,642578.0,0.0,1.0,27.94,28.16,27.775,27.93,642578.0
2016-11-07,27.7,28.03,27.625,28.0,766798.0,0.0,1.0,27.7,28.03,27.625,28.0,766798.0
2016-11-04,27.25,27.485,27.07,27.43,617482.0,0.0,1.0,27.25,27.485,27.07,27.43,617482.0
2016-11-03,27.13,27.445,26.92,27.2,448455.0,0.0,1.0,27.13,27.445,26.92,27.2,448455.0
2016-11-02,27.77,27.77,27.145,27.16,778583.0,0.0,1.0,27.77,27.77,27.145,27.16,778583.0
2016-11-01,28.33,28.42,27.67,27.75,732695.0,0.0,1.0,28.33,28.42,27.67,27.75,732695.0
2016-10-31,28.16,28.56,28.04,28.5,1054913.0,0.0,1.0,28.16,28.56,28.04,28.5,1054913.0
2016-10-28,28.19,28.42,27.94,28.07,913412.0,0.0,1.0,28.19,28.42,27.94,28.07,913412.0
2016-10-27,28.53,28.88,27.8,28.13,1108767.0,0.0,1.0,28.53,28.88,27.8,28.13,1108767.0
2016-10-26,29.07,29.07,28.53,28.58,656318.0,0.0,1.0,29.07,29.07,28.53,28.58,656318.0
2016-10-25,29.46,29.78,29.1499,29.24,502586.0,0.0,1.0,29.46,29.78,29.1499,29.24,502586.0
2016-10-24,29.72,29.72,29.21,29.51,629602.0,0.0,1.0,29.72,29.72,29.21,29.51,629602.0
2016-10-21,29.03,29.32,29.0,29.32,474647.0,0.0,1.0,29.03,29.32,29.0,29.32,474647.0
2016-10-20,29.17,29.265,28.92,29.2,352676.0,0.0,1.0,29.17,29.265,28.92,29.2,352676.0
2016-10-19,29.3,29.3,29.03,29.17,332519.0,0.0,1.0,29.3,29.3,29.03,29.17,332519.0
2016-10-18,29.44,29.54,29.26,29.34,270195.0,0.0,1.0,29.44,29.54,29.26,29.34,270195.0
2016-10-17,29.16,29.39,29.1,29.26,512813.0,0.0,1.0,29.16,29.39,29.1,29.26,512813.0
2016-10-14,29.14,29.41,28.89,29.13,461013.0,0.0,1.0,29.14,29.41,28.89,29.13,461013.0
2016-10-13,28.88,29.78,28.78,29.22,516179.0,0.0,1.0,28.88,29.78,28.78,29.22,516179.0
2016-10-12,28.77,29.05,28.7,28.93,486751.0,0.0,1.0,28.77,29.05,28.7,28.93,486751.0
2016-10-11,28.95,29.16,28.59,28.69,769570.0,0.0,1.0,28.95,29.16,28.59,28.69,769570.0
2016-10-10,28.87,29.2,28.79,29.04,422349.0,0.0,1.0,28.87,29.2,28.79,29.04,422349.0
2016-10-07,29.11,29.55,28.8,28.9,544513.0,0.0,1.0,29.11,29.55,28.8,28.9,544513.0
2016-10-06,29.04,29.25,28.7,28.96,1194391.0,0.0,1.0,29.04,29.25,28.7,28.96,1194391.0
2016-10-05,29.97,30.06,29.08,29.21,1311854.0,0.0,1.0,29.97,30.06,29.08,29.21,1311854.0
2016-10-04,29.91,30.0,29.65,29.93,840700.0,0.0,1.0,29.91,30.0,29.65,29.93,840700.0
2016-10-03,30.46,30.6,29.94,29.95,615503.0,0.0,1.0,30.46,30.6,29.94,29.95,615503.0
2016-09-30,31.08,31.18,30.6,30.61,712103.0,0.0,1.0,31.08,31.18,30.6,30.61,712103.0
2016-09-29,31.37,31.43,30.72,30.85,647603.0,0.0,1.0,31.37,31.43,30.72,30.85,647603.0
2016-09-28,31.3,31.52,31.16,31.52,655379.0,0.0,1.0,31.3,31.52,31.16,31.52,655379.0
2016-09-27,31.68,31.77,31.115,31.2,392342.0,0.0,1.0,31.68,31.77,31.115,31.2,392342.0
2016-09-26,31.33,31.67,31.25,31.56,502863.0,0.0,1.0,31.33,31.67,31.25,31.56,502863.0
2016-09-23,31.16,31.56,30.99,31.43,672844.0,0.0,1.0,31.16,31.56,30.99,31.43,672844.0
2016-09-22,30.87,31.32,30.85,31.3,799367.0,0.0,1.0,30.87,31.32,30.85,31.3,799367.0
2016-09-21,30.22,30.58,29.77,30.55,648483.0,0.0,1.0,30.22,30.58,29.77,30.55,648483.0
2016-09-20,30.46,30.46,30.2,30.22,392180.0,0.0,1.0,30.46,30.46,30.2,30.22,392180.0
2016-09-19,29.98,30.28,29.905,30.25,419908.0,0.0,1.0,29.98,30.28,29.905,30.25,419908.0
2016-09-16,29.79,29.94,29.57,29.91,1721085.0,0.0,1.0,29.79,29.94,29.57,29.91,1721085.0
2016-09-15,29.71,29.95,29.49,29.85,864077.0,0.0,1.0,29.71,29.95,29.49,29.85,864077.0
2016-09-14,29.8,29.86,29.53,29.7,547811.0,0.22,1.0,29.8,29.86,29.53,29.7,547811.0
2016-09-13,30.42,30.42,29.76,29.89,881572.0,0.0,1.0,30.196323529412,30.196323529412,29.541176470588,29.670220588235,881572.0
2016-09-12,30.24,30.64,30.17,30.55,898211.0,0.0,1.0,30.017647058824,30.414705882353,29.948161764706,30.325367647059,898211.0
2016-09-09,31.02,31.27,30.19,30.3,1014103.0,0.0,1.0,30.791911764706,31.040073529412,29.968014705882,30.077205882353,1014103.0
2016-09-08,31.4,31.51,31.27,31.44,586416.0,0.0,1.0,31.169117647059,31.278308823529,31.040073529412,31.208823529412,586416.0
2016-09-07,31.53,31.59,31.39,31.58,1121041.0,0.0,1.0,31.298161764706,31.357720588235,31.159191176471,31.347794117647,1121041.0
2016-09-06,31.47,31.61,31.21,31.55,828477.0,0.0,1.0,31.238602941176,31.377573529412,30.980514705882,31.318014705882,828477.0
2016-09-02,31.11,31.57,31.01,31.41,623997.0,0.0,1.0,30.88125,31.337867647059,30.781985294118,31.179044117647,623997.0
2016-09-01,30.95,31.1,30.72,30.97,773493.0,0.0,1.0,30.722426470588,30.871323529412,30.494117647059,30.742279411765,773493.0
2016-08-31,30.99,31.15,30.88,31.04,680001.0,0.0,1.0,30.762132352941,30.920955882353,30.652941176471,30.811764705882,680001.0
2016-08-30,31.2,31.2,30.79,31.055,406119.0,0.0,1.0,30.970588235294,30.970588235294,30.563602941176,30.826654411765,406119.0
2016-08-29,31.01,31.25,30.99,31.15,379827.0,0.0,1.0,30.781985294118,31.020220588235,30.762132352941,30.920955882353,379827.0
2016-08-26,31.07,31.33,30.66,30.88,543297.0,0.0,1.0,30.841544117647,31.099632352941,30.434558823529,30.652941176471,543297.0
2016-08-25,30.96,31.22,30.91,31.1,598986.0,0.0,1.0,30.732352941176,30.990441176471,30.682720588235,30.871323529412,598986.0
2016-08-24,31.21,31.21,30.815,30.94,777248.0,0.0,1.0,30.980514705882,30.980514705882,30.588419117647,30.7125,777248.0
2016-08-23,31.53,31.58,31.12,31.16,860897.0,0.0,1.0,31.298161764706,31.347794117647,30.891176470588,30.930882352941,860897.0
2016-08-22,31.02,31.38,31.015,31.38,566282.0,0.0,1.0,30.791911764706,31.149264705882,30.786948529412,31.149264705882,566282.0
2016-08-19,31.33,31.33,30.91,31.02,440197.0,0.0,1.0,31.099632352941,31.099632352941,30.682720588235,30.791911764706,440197.0
2016-08-18,31.22,31.34,31.17,31.33,523983.0,0.0,1.0,30.990441176471,31.109558823529,30.940808823529,31.099632352941,523983.0
2016-08-17,30.89,31.26,30.82,31.22,697413.0,0.0,1.0,30.662867647059,31.030147058824,30.593382352941,30.990441176471,697413.0
2016-08-16,31.37,31.55,30.94,30.94,726180.0,0.0,1.0,31.139338235294,31.318014705882,30.7125,30.7125,726180.0
2016-08-15,31.58,31.7199,31.31,31.36,864364.0,0.0,1.0,31.347794117647,31.486665441176,31.079779411765,31.129411764706,864364.0
2016-08-12,31.68,32.0399,31.63,31.68,383480.0,0.0,1.0,31.447058823529,31.8043125,31.397426470588,31.447058823529,383480.0
2016-08-11,32.36,32.36,31.51,31.61,595033.0,0.0,1.0,32.122058823529,32.122058823529,31.278308823529,31.377573529412,595033.0
2016-08-10,32.4,32.49,32.24,32.29,310563.0,0.0,1.0,32.161764705882,32.251102941176,32.002941176471,32.052573529412,310563.0
