Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,11.29,11.8652,11.01,11.65,228515.0,0.0,1.0,11.29,11.8652,11.01,11.65,228515.0
2016-11-16,10.91,11.69,10.85,11.34,378743.0,0.0,1.0,10.91,11.69,10.85,11.34,378743.0
2016-11-15,11.4,11.53,10.83,11.0,417137.0,0.0,1.0,11.4,11.53,10.83,11.0,417137.0
2016-11-14,11.69,11.78,11.26,11.51,324679.0,0.0,1.0,11.69,11.78,11.26,11.51,324679.0
2016-11-11,11.27,12.01,11.102,11.99,217829.0,0.0,1.0,11.27,12.01,11.102,11.99,217829.0
2016-11-10,10.94,11.44,10.66,11.29,278891.0,0.0,1.0,10.94,11.44,10.66,11.29,278891.0
2016-11-09,10.35,10.89,10.1313,10.7,313104.0,0.0,1.0,10.35,10.89,10.1313,10.7,313104.0
2016-11-08,9.77,9.8499,9.51,9.77,360394.0,0.0,1.0,9.77,9.8499,9.51,9.77,360394.0
2016-11-07,9.88,9.99,9.52,9.88,422914.0,0.0,1.0,9.88,9.99,9.52,9.88,422914.0
2016-11-04,9.47,10.07,9.42,9.92,541195.0,0.0,1.0,9.47,10.07,9.42,9.92,541195.0
2016-11-03,10.34,10.39,9.4,9.4,393681.0,0.0,1.0,10.34,10.39,9.4,9.4,393681.0
2016-11-02,10.1,10.429,9.915,10.17,309851.0,0.0,1.0,10.1,10.429,9.915,10.17,309851.0
2016-11-01,10.28,10.54,9.68,10.17,348274.0,0.0,1.0,10.28,10.54,9.68,10.17,348274.0
2016-10-31,11.07,11.09,10.22,10.3,286214.0,0.0,1.0,11.07,11.09,10.22,10.3,286214.0
2016-10-28,11.01,11.35,10.81,11.03,262248.0,0.0,1.0,11.01,11.35,10.81,11.03,262248.0
2016-10-27,11.81,11.98,11.07,11.12,180086.0,0.0,1.0,11.81,11.98,11.07,11.12,180086.0
2016-10-26,11.85,11.97,11.6,11.69,161186.0,0.0,1.0,11.85,11.97,11.6,11.69,161186.0
2016-10-25,12.03,12.47,11.84,11.87,172084.0,0.0,1.0,12.03,12.47,11.84,11.87,172084.0
2016-10-24,12.49,12.49,11.945,12.05,202607.0,0.0,1.0,12.49,12.49,11.945,12.05,202607.0
2016-10-21,12.46,12.73,12.1829,12.35,184279.0,0.0,1.0,12.46,12.73,12.1829,12.35,184279.0
2016-10-20,12.13,12.68,12.0687,12.48,178382.0,0.0,1.0,12.13,12.68,12.0687,12.48,178382.0
