Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,56.51,57.49,56.27,57.4,1141413.0,0.0,1.0,56.51,57.49,56.27,57.4,1141413.0
2016-11-16,56.91,57.1,55.96,56.16,975260.0,0.0,1.0,56.91,57.1,55.96,56.16,975260.0
2016-11-15,56.56,57.13,56.245,57.11,1791752.0,0.0,1.0,56.56,57.13,56.245,57.11,1791752.0
2016-11-14,55.59,56.14,55.26,56.08,1344852.0,0.0,1.0,55.59,56.14,55.26,56.08,1344852.0
2016-11-11,55.59,56.3,55.0,55.22,1019954.0,0.0,1.0,55.59,56.3,55.0,55.22,1019954.0
2016-11-10,55.06,55.99,54.88,55.74,1731793.0,0.0,1.0,55.06,55.99,54.88,55.74,1731793.0
2016-11-09,53.75,54.97,53.345,54.7,1787683.0,0.0,1.0,53.75,54.97,53.345,54.7,1787683.0
2016-11-08,54.33,54.7,53.89,54.39,1217780.0,0.0,1.0,54.33,54.7,53.89,54.39,1217780.0
2016-11-07,53.76,54.58,53.41,54.55,1471397.0,0.0,1.0,53.76,54.58,53.41,54.55,1471397.0
2016-11-04,53.06,53.74,52.8,52.86,1107268.0,0.0,1.0,53.06,53.74,52.8,52.86,1107268.0
2016-11-03,53.16,53.39,52.56,52.84,1732923.0,0.0,1.0,53.16,53.39,52.56,52.84,1732923.0
2016-11-02,53.29,53.85,52.82,53.14,1908114.0,0.0,1.0,53.29,53.85,52.82,53.14,1908114.0
2016-11-01,54.62,54.63,52.66,53.34,1803525.0,0.0,1.0,54.62,54.63,52.66,53.34,1803525.0
2016-10-31,54.06,55.07,53.89,54.63,1964289.0,0.0,1.0,54.06,55.07,53.89,54.63,1964289.0
2016-10-28,53.83,54.25,53.25,53.73,2397046.0,0.0,1.0,53.83,54.25,53.25,53.73,2397046.0
2016-10-27,53.75,55.14,53.25,54.02,4003815.0,0.0,1.0,53.75,55.14,53.25,54.02,4003815.0
2016-10-26,52.23,53.5,52.051,53.16,2950688.0,0.0,1.0,52.23,53.5,52.051,53.16,2950688.0
2016-10-25,54.9,54.9,52.26,52.31,3071953.0,0.0,1.0,54.9,54.9,52.26,52.31,3071953.0
2016-10-24,54.7,55.685,54.69,55.37,1609209.0,0.0,1.0,54.7,55.685,54.69,55.37,1609209.0
2016-10-21,53.74,54.35,53.54,54.29,816262.0,0.0,1.0,53.74,54.35,53.54,54.29,816262.0
2016-10-20,53.7,54.22,53.525,54.12,1652475.0,0.0,1.0,53.7,54.22,53.525,54.12,1652475.0
2016-10-19,54.72,54.89,53.42,53.89,3305461.0,0.0,1.0,54.72,54.89,53.42,53.89,3305461.0
2016-10-18,55.87,55.87,54.78,54.81,1071691.0,0.0,1.0,55.87,55.87,54.78,54.81,1071691.0
2016-10-17,55.27,55.745,55.01,55.61,1023278.0,0.0,1.0,55.27,55.745,55.01,55.61,1023278.0
2016-10-14,55.44,55.85,55.04,55.04,965143.0,0.0,1.0,55.44,55.85,55.04,55.04,965143.0
2016-10-13,55.05,55.265,54.355,55.13,887589.0,0.0,1.0,55.05,55.265,54.355,55.13,887589.0
2016-10-12,54.89,55.74,54.8,55.53,1006392.0,0.0,1.0,54.89,55.74,54.8,55.53,1006392.0
2016-10-11,55.88,56.11,54.61,54.78,1367852.0,0.0,1.0,55.88,56.11,54.61,54.78,1367852.0
2016-10-10,56.1,56.46,55.97,56.1,898999.0,0.0,1.0,56.1,56.46,55.97,56.1,898999.0
2016-10-07,57.41,57.48,55.7,55.7,1735147.0,0.0,1.0,57.41,57.48,55.7,55.7,1735147.0
2016-10-06,56.39,57.66,56.29,57.54,1405903.0,0.0,1.0,56.39,57.66,56.29,57.54,1405903.0
2016-10-05,57.43,57.45,56.42,56.48,1367204.0,0.0,1.0,57.43,57.45,56.42,56.48,1367204.0
2016-10-04,57.31,57.53,57.03,57.15,967082.0,0.0,1.0,57.31,57.53,57.03,57.15,967082.0
2016-10-03,57.79,58.11,56.87,57.02,1174445.0,0.0,1.0,57.79,58.11,56.87,57.02,1174445.0
2016-09-30,58.19,58.54,57.7,58.1,1275621.0,0.0,1.0,58.19,58.54,57.7,58.1,1275621.0
2016-09-29,58.73,59.04,57.9,57.91,1445251.0,0.0,1.0,58.73,59.04,57.9,57.91,1445251.0
2016-09-28,58.98,59.32,58.24,58.54,1856849.0,0.0,1.0,58.98,59.32,58.24,58.54,1856849.0
2016-09-27,58.53,59.23,58.49,58.99,1464261.0,0.0,1.0,58.53,59.23,58.49,58.99,1464261.0
2016-09-26,58.22,59.04,58.13,58.68,1353250.0,0.0,1.0,58.22,59.04,58.13,58.68,1353250.0
2016-09-23,58.14,58.84,57.89,58.67,1659523.0,0.0,1.0,58.14,58.84,57.89,58.67,1659523.0
2016-09-22,57.49,58.325,57.49,58.2,1479461.0,0.0,1.0,57.49,58.325,57.49,58.2,1479461.0
2016-09-21,56.59,57.06,56.17,57.03,1756382.0,0.0,1.0,56.59,57.06,56.17,57.03,1756382.0
2016-09-20,56.86,56.86,56.15,56.42,1602876.0,0.0,1.0,56.86,56.86,56.15,56.42,1602876.0
2016-09-19,56.41,57.12,56.16,56.45,1813955.0,0.0,1.0,56.41,57.12,56.16,56.45,1813955.0
2016-09-16,57.49,57.49,56.09,56.1,2616951.0,0.0,1.0,57.49,57.49,56.09,56.1,2616951.0
2016-09-15,57.4,57.99,57.4,57.83,941598.0,0.0,1.0,57.4,57.99,57.4,57.83,941598.0
2016-09-14,58.2,58.4,57.38,57.5,1097321.0,0.0,1.0,58.2,58.4,57.38,57.5,1097321.0
2016-09-13,58.66,58.9,57.96,58.2,1236427.0,0.0,1.0,58.66,58.9,57.96,58.2,1236427.0
2016-09-12,58.37,59.26,58.11,59.0,1900351.0,0.0,1.0,58.37,59.26,58.11,59.0,1900351.0
2016-09-09,61.55,61.55,58.58,58.72,1928852.0,0.0,1.0,61.55,61.55,58.58,58.72,1928852.0
2016-09-08,62.26,62.68,61.75,61.93,950815.0,0.0,1.0,62.26,62.68,61.75,61.93,950815.0
2016-09-07,62.74,63.08,62.2,62.52,960069.0,0.0,1.0,62.74,63.08,62.2,62.52,960069.0
2016-09-06,63.87,64.02,62.78,63.0,874979.0,0.0,1.0,63.87,64.02,62.78,63.0,874979.0
2016-09-02,63.87,64.105,63.28,63.79,920459.0,0.0,1.0,63.87,64.105,63.28,63.79,920459.0
2016-09-01,63.67,63.96,62.82,63.83,871510.0,0.0,1.0,63.67,63.96,62.82,63.83,871510.0
2016-08-31,63.41,63.82,63.105,63.56,694646.0,0.0,1.0,63.41,63.82,63.105,63.56,694646.0
2016-08-30,63.79,63.9,63.31,63.66,569296.0,0.0,1.0,63.79,63.9,63.31,63.66,569296.0
2016-08-29,63.49,64.06,63.49,63.83,489770.0,0.0,1.0,63.49,64.06,63.49,63.83,489770.0
2016-08-26,63.66,63.9224,62.95,63.4,616625.0,0.0,1.0,63.66,63.9224,62.95,63.4,616625.0
2016-08-25,63.03,63.59,62.81,63.52,847415.0,0.0,1.0,63.03,63.59,62.81,63.52,847415.0
2016-08-24,63.4,63.6099,63.03,63.1,684218.0,0.16,1.0,63.4,63.6099,63.03,63.1,684218.0
2016-08-23,62.98,63.995,62.98,63.73,1183689.0,0.0,1.0,62.820708188429,63.833141005375,62.820708188429,63.568811255138,1183689.0
2016-08-22,62.83,62.91,62.32,62.83,1222657.0,0.0,1.0,62.671087575087,62.750885235536,62.162377489725,62.671087575087,1222657.0
2016-08-19,62.39,62.84,62.1,62.7,931113.0,0.0,1.0,62.232200442618,62.681062282643,61.94293392349,62.541416376857,931113.0
2016-08-18,62.44,62.72,62.08,62.57,806123.0,0.0,1.0,62.282073980398,62.56136579197,61.922984508378,62.411745178628,806123.0
2016-08-17,62.85,62.85,61.91,62.45,1325030.0,0.0,1.0,62.691036990199,62.691036990199,61.753414479924,62.292048687954,1325030.0
2016-08-16,63.63,63.75,62.84,62.96,1555908.0,0.0,1.0,63.469064179576,63.58876067025,62.681062282643,62.800758773316,1555908.0
2016-08-15,63.92,64.12,63.67,63.88,649953.0,0.0,1.0,63.758330698704,63.957824849826,63.508963009801,63.718431868479,649953.0
2016-08-12,64.05,64.05,63.37,63.89,1146089.0,0.0,1.0,63.888001896933,63.888001896933,63.209721783117,63.728406576035,1146089.0
2016-08-11,64.14,64.39,63.63,64.04,1635145.0,0.0,1.0,63.977774264938,64.227141953841,63.469064179576,63.878027189377,1635145.0
2016-08-10,63.98,64.04,63.29,63.95,1029862.0,0.0,1.0,63.81817894404,63.878027189377,63.129924122668,63.788254821372,1029862.0
2016-08-09,63.9,64.04,63.49,63.87,1523775.0,0.0,1.0,63.738381283592,63.878027189377,63.329418273791,63.708457160923,1523775.0
2016-08-08,63.83,64.05,63.63,63.96,1197083.0,0.0,1.0,63.668558330699,63.888001896933,63.469064179576,63.798229528928,1197083.0
2016-08-05,63.81,64.02,63.02,63.75,1469562.0,0.0,1.0,63.648608915586,63.858077774265,62.860607018653,63.58876067025,1469562.0
2016-08-04,63.72,63.9,63.13,63.46,1345824.0,0.0,1.0,63.558836547581,63.738381283592,62.97032880177,63.299494151122,1345824.0
2016-08-03,63.08,63.44,62.66,63.44,1188673.0,0.0,1.0,62.92045526399,63.27954473601,62.501517546633,63.27954473601,1188673.0
2016-08-02,63.48,63.48,62.6,63.19,1233706.0,0.0,1.0,63.319443566235,63.319443566235,62.441669301296,63.030177047107,1233706.0
2016-08-01,63.38,63.69,62.91,63.6,1019783.0,0.0,1.0,63.219696490673,63.528912424913,62.750885235536,63.439140056908,1019783.0
2016-07-29,63.67,64.21,63.21,63.27,1825187.0,0.0,1.0,63.508963009801,64.047597217831,63.050126462219,63.109974707556,1825187.0
