Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,20.5,20.95,20.45,20.7,22411.0,0.0,1.0,20.5,20.95,20.45,20.7,22411.0
2016-11-16,20.5,20.85,20.45,20.75,98001.0,0.0,1.0,20.5,20.85,20.45,20.75,98001.0
2016-11-15,21.05,21.05,20.4,21.0,20876.0,0.0,1.0,21.05,21.05,20.4,21.0,20876.0
2016-11-14,21.15,21.4,20.35,21.25,76931.0,0.0,1.0,21.15,21.4,20.35,21.25,76931.0
2016-11-11,19.55,21.2,18.87,20.85,97474.0,0.0,1.0,19.55,21.2,18.87,20.85,97474.0
2016-11-10,18.95,19.8,18.75,19.65,57654.0,0.0,1.0,18.95,19.8,18.75,19.65,57654.0
2016-11-09,18.1,18.8,18.1,18.75,56673.0,0.0,1.0,18.1,18.8,18.1,18.75,56673.0
2016-11-08,18.1,18.25,17.95,18.1,14365.0,0.0,1.0,18.1,18.25,17.95,18.1,14365.0
2016-11-07,18.05,18.2,18.0,18.2,15418.0,0.0,1.0,18.05,18.2,18.0,18.2,15418.0
2016-11-04,17.9,18.0,17.6,17.9,9072.0,0.0,1.0,17.9,18.0,17.6,17.9,9072.0
2016-11-03,17.85,18.0,17.8,17.95,6846.0,0.0,1.0,17.85,18.0,17.8,17.95,6846.0
2016-11-02,17.9,17.9,17.75,17.8,15925.0,0.0,1.0,17.9,17.9,17.75,17.8,15925.0
2016-11-01,17.8,17.95,17.8,17.85,14618.0,0.0,1.0,17.8,17.95,17.8,17.85,14618.0
2016-10-31,17.85,18.0,17.75,17.75,13628.0,0.0,1.0,17.85,18.0,17.75,17.75,13628.0
2016-10-28,18.05,18.15,17.95,18.1,13854.0,0.0,1.0,18.05,18.15,17.95,18.1,13854.0
2016-10-27,18.35,18.35,18.0,18.05,10518.0,0.0,1.0,18.35,18.35,18.0,18.05,10518.0
2016-10-26,18.2,18.35,18.195,18.2,12751.0,0.0,1.0,18.2,18.35,18.195,18.2,12751.0
2016-10-25,17.85,18.25,17.85,18.15,14049.0,0.0,1.0,17.85,18.25,17.85,18.15,14049.0
2016-10-24,18.05,18.05,17.7633,17.95,50193.0,0.0,1.0,18.05,18.05,17.7633,17.95,50193.0
2016-10-21,17.9,18.2,17.5,17.9,3886.0,0.0,1.0,17.9,18.2,17.5,17.9,3886.0
2016-10-20,17.75,18.25,17.75,18.05,16408.0,0.0,1.0,17.75,18.25,17.75,18.05,16408.0
2016-10-19,17.5,17.75,17.45,17.6,5223.0,0.0,1.0,17.5,17.75,17.45,17.6,5223.0
2016-10-18,17.75,17.75,17.35,17.45,8926.0,0.0,1.0,17.75,17.75,17.35,17.45,8926.0
2016-10-17,17.6,17.75,17.45,17.6,5867.0,0.0,1.0,17.6,17.75,17.45,17.6,5867.0
2016-10-14,17.58,17.63,17.42,17.51,6657.0,0.0,1.0,17.58,17.63,17.42,17.51,6657.0
2016-10-13,17.61,17.61,17.32,17.41,14525.0,0.0,1.0,17.61,17.61,17.32,17.41,14525.0
2016-10-12,17.6,17.7,17.5,17.63,60460.0,0.0,1.0,17.6,17.7,17.5,17.63,60460.0
2016-10-11,17.78,17.8,17.5,17.69,9266.0,0.0,1.0,17.78,17.8,17.5,17.69,9266.0
2016-10-10,17.92,17.95,17.74,17.78,21175.0,0.0,1.0,17.92,17.95,17.74,17.78,21175.0
2016-10-07,17.96,17.96,17.8285,17.86,3747.0,0.0,1.0,17.96,17.96,17.8285,17.86,3747.0
2016-10-06,17.89,18.23,17.82,18.07,53255.0,0.0,1.0,17.89,18.23,17.82,18.07,53255.0
2016-10-05,17.29,17.85,17.29,17.82,86426.0,0.0,1.0,17.29,17.85,17.29,17.82,86426.0
2016-10-04,17.35,17.67,17.22,17.44,4320.0,0.0,1.0,17.35,17.67,17.22,17.44,4320.0
2016-10-03,17.6,17.8,17.28,17.33,18763.0,0.0,1.0,17.6,17.8,17.28,17.33,18763.0
2016-09-30,17.4,17.86,17.35,17.79,37622.0,0.0,1.0,17.4,17.86,17.35,17.79,37622.0
2016-09-29,17.62,17.7399,17.13,17.42,8181.0,0.0,1.0,17.62,17.7399,17.13,17.42,8181.0
2016-09-28,17.91,17.91,17.2,17.71,12762.0,0.0,1.0,17.91,17.91,17.2,17.71,12762.0
2016-09-27,17.57,17.68,17.43,17.51,12593.0,0.0,1.0,17.57,17.68,17.43,17.51,12593.0
