Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,18.61,18.71,18.29,18.48,1327793.0,0.0,1.0,18.61,18.71,18.29,18.48,1327793.0
2016-11-16,18.2,18.86,17.84,18.57,1106634.0,0.0,1.0,18.2,18.86,17.84,18.57,1106634.0
2016-11-15,18.64,18.95,18.335,18.84,2557747.0,0.0,1.0,18.64,18.95,18.335,18.84,2557747.0
2016-11-14,18.16,18.75,18.12,18.71,3390331.0,0.0,1.0,18.16,18.75,18.12,18.71,3390331.0
2016-11-11,17.96,18.5,17.91,18.3,2185573.0,0.0,1.0,17.96,18.5,17.91,18.3,2185573.0
2016-11-10,18.22,18.31,17.79,18.02,3559223.0,0.0,1.0,18.22,18.31,17.79,18.02,3559223.0
2016-11-09,18.47,18.685,18.19,18.24,1530711.0,0.0,1.0,18.47,18.685,18.19,18.24,1530711.0
2016-11-08,18.99,19.0,18.73,18.84,4359982.0,0.0,1.0,18.99,19.0,18.73,18.84,4359982.0
2016-11-07,19.29,19.33,18.72,18.98,3744770.0,0.0,1.0,19.29,19.33,18.72,18.98,3744770.0
2016-11-04,20.03,20.09,18.56,19.0,7780891.0,0.0,1.0,20.03,20.09,18.56,19.0,7780891.0
2016-11-03,20.84,21.07,20.75,20.79,1740082.0,0.0,1.0,20.84,21.07,20.75,20.79,1740082.0
2016-11-02,21.16,21.33,20.77,20.81,819388.0,0.0,1.0,21.16,21.33,20.77,20.81,819388.0
2016-11-01,21.58,21.85,21.03,21.23,1069115.0,0.0,1.0,21.58,21.85,21.03,21.23,1069115.0
2016-10-31,21.35,21.65,21.24,21.59,685350.0,0.0,1.0,21.35,21.65,21.24,21.59,685350.0
2016-10-28,21.16,21.44,21.06,21.21,859513.0,0.0,1.0,21.16,21.44,21.06,21.21,859513.0
2016-10-27,21.39,21.47,21.09,21.09,1195694.0,0.0,1.0,21.39,21.47,21.09,21.09,1195694.0
2016-10-26,21.35,21.42,21.04,21.34,756596.0,0.0,1.0,21.35,21.42,21.04,21.34,756596.0
2016-10-25,21.88,21.88,21.46,21.52,310456.0,0.0,1.0,21.88,21.88,21.46,21.52,310456.0
2016-10-24,21.92,22.16,21.66,21.83,567946.0,0.0,1.0,21.92,22.16,21.66,21.83,567946.0
2016-10-21,21.56,21.83,21.43,21.8,571990.0,0.0,1.0,21.56,21.83,21.43,21.8,571990.0
2016-10-20,21.66,21.82,21.43,21.62,451679.0,0.0,1.0,21.66,21.82,21.43,21.62,451679.0
