Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,13.85,14.02,13.615,13.8,26205780.0,0.0,1.0,13.85,14.02,13.615,13.8,26205780.0
2016-11-16,13.7,13.96,13.5,13.8,29406400.0,0.0,1.0,13.7,13.96,13.5,13.8,29406400.0
2016-11-15,13.5,14.01,13.46,13.99,36784139.0,0.0,1.0,13.5,14.01,13.46,13.99,36784139.0
2016-11-14,14.04,14.05,13.55,13.92,36138369.0,0.0,1.0,14.04,14.05,13.55,13.92,36138369.0
2016-11-11,14.12,14.26,13.1,13.94,72140532.0,0.0,1.0,14.12,14.26,13.1,13.94,72140532.0
2016-11-10,13.71,14.15,13.59,13.8,82223087.0,0.0,1.0,13.71,14.15,13.59,13.8,82223087.0
2016-11-09,12.91,13.22,12.78,13.07,79763209.0,0.0,1.0,12.91,13.22,12.78,13.07,79763209.0
2016-11-08,11.3,12.16,11.24,12.09,60784176.0,0.0,1.0,11.3,12.16,11.24,12.09,60784176.0
2016-11-07,11.42,11.45,11.11,11.29,30954731.0,0.0,1.0,11.42,11.45,11.11,11.29,30954731.0
2016-11-04,10.65,11.24,10.5,11.05,27909623.0,0.0,1.0,10.65,11.24,10.5,11.05,27909623.0
2016-11-03,10.73,11.0,10.63,10.73,19239863.0,0.0,1.0,10.73,11.0,10.63,10.73,19239863.0
2016-11-02,10.99,11.215,10.61,10.62,28171017.0,0.0,1.0,10.99,11.215,10.61,10.62,28171017.0
2016-11-01,11.31,11.37,11.02,11.15,24618894.0,0.0,1.0,11.31,11.37,11.02,11.15,24618894.0
2016-10-31,10.97,11.195,10.85,11.18,26106808.0,0.0,1.0,10.97,11.195,10.85,11.18,26106808.0
2016-10-28,10.78,11.18,10.76,10.93,35757541.0,0.0,1.0,10.78,11.18,10.76,10.93,35757541.0
2016-10-27,10.64,10.805,10.491,10.69,23429095.0,0.0,1.0,10.64,10.805,10.491,10.69,23429095.0
2016-10-26,10.45,10.67,10.33,10.58,24159052.0,0.0,1.0,10.45,10.67,10.33,10.58,24159052.0
2016-10-25,10.44,11.0,10.35,10.55,53845549.0,0.0,1.0,10.44,11.0,10.35,10.55,53845549.0
2016-10-24,10.15,10.23,9.85,10.18,28122927.0,0.0,1.0,10.15,10.23,9.85,10.18,28122927.0
2016-10-21,10.01,10.25,9.96,10.04,20956054.0,0.0,1.0,10.01,10.25,9.96,10.04,20956054.0
2016-10-20,9.8195,10.285,9.64,10.21,39865276.0,0.0,1.0,9.8195,10.285,9.64,10.21,39865276.0
2016-10-19,9.8,10.18,9.54,10.02,34073658.0,0.0,1.0,9.8,10.18,9.54,10.02,34073658.0
2016-10-18,9.71,9.8,9.53,9.72,17369763.0,0.0,1.0,9.71,9.8,9.53,9.72,17369763.0
2016-10-17,9.52,9.75,9.5,9.52,15179089.0,0.0,1.0,9.52,9.75,9.5,9.52,15179089.0
2016-10-14,9.78,9.93,9.56,9.66,26004480.0,0.0,1.0,9.78,9.93,9.56,9.66,26004480.0
2016-10-13,9.54,9.74,9.24,9.64,47850585.0,0.0,1.0,9.54,9.74,9.24,9.64,47850585.0
2016-10-12,9.84,10.15,9.8,10.05,18491550.0,0.0,1.0,9.84,10.15,9.8,10.05,18491550.0
2016-10-11,10.08,10.08,9.78,9.87,28817620.0,0.0,1.0,10.08,10.08,9.78,9.87,28817620.0
