Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,16.22,16.2799,15.93,16.0,146057.0,0.0,1.0,16.22,16.2799,15.93,16.0,146057.0
2016-11-16,15.9,16.15,15.9,16.12,59425.0,0.0,1.0,15.9,16.15,15.9,16.12,59425.0
2016-11-15,16.32,16.426,15.88,15.9,64653.0,0.0,1.0,16.32,16.426,15.88,15.9,64653.0
2016-11-14,16.11,16.52,16.011,16.34,76702.0,0.0,1.0,16.11,16.52,16.011,16.34,76702.0
2016-11-11,16.18,16.18,15.8886,15.96,72021.0,0.0,1.0,16.18,16.18,15.8886,15.96,72021.0
2016-11-10,15.85,16.6899,15.835,16.23,133156.0,0.0,1.0,15.85,16.6899,15.835,16.23,133156.0
2016-11-09,15.34,15.92,15.34,15.75,100365.0,0.0,1.0,15.34,15.92,15.34,15.75,100365.0
2016-11-08,15.37,15.47,15.29,15.46,83344.0,0.0,1.0,15.37,15.47,15.29,15.46,83344.0
2016-11-07,15.03,15.37,15.03,15.36,67888.0,0.0,1.0,15.03,15.37,15.03,15.36,67888.0
2016-11-04,14.68,15.08,14.68,15.055,61655.0,0.0,1.0,14.68,15.08,14.68,15.055,61655.0
2016-11-03,14.73,14.74,14.561,14.68,94485.0,0.0,1.0,14.73,14.74,14.561,14.68,94485.0
2016-11-02,14.79,14.79,14.33,14.62,89193.0,0.0,1.0,14.79,14.79,14.33,14.62,89193.0
2016-11-01,15.04,15.08,14.67,14.75,53827.0,0.0,1.0,15.04,15.08,14.67,14.75,53827.0
2016-10-31,15.25,15.31,14.95,14.98,71349.0,0.0,1.0,15.25,15.31,14.95,14.98,71349.0
2016-10-28,15.56,15.73,15.15,15.23,70051.0,0.0,1.0,15.56,15.73,15.15,15.23,70051.0
2016-10-27,15.61,15.754,15.45,15.49,70438.0,0.0,1.0,15.61,15.754,15.45,15.49,70438.0
2016-10-26,15.76,15.79,15.6,15.64,37979.0,0.0,1.0,15.76,15.79,15.6,15.64,37979.0
2016-10-25,15.74,15.781,15.66,15.74,66002.0,0.0,1.0,15.74,15.781,15.66,15.74,66002.0
2016-10-24,15.61,15.73,15.6,15.73,63347.0,0.0,1.0,15.61,15.73,15.6,15.73,63347.0
2016-10-21,15.65,15.74,15.6,15.61,42501.0,0.0,1.0,15.65,15.74,15.6,15.61,42501.0
2016-10-20,15.66,15.7,15.6,15.635,26040.0,0.0,1.0,15.66,15.7,15.6,15.635,26040.0
2016-10-19,15.63,15.685,15.6,15.61,27138.0,0.0,1.0,15.63,15.685,15.6,15.61,27138.0
2016-10-18,15.58,15.7,15.51,15.62,31549.0,0.0,1.0,15.58,15.7,15.51,15.62,31549.0
2016-10-17,15.65,15.65,15.48,15.5,39241.0,0.0,1.0,15.65,15.65,15.48,15.5,39241.0
2016-10-14,15.68,15.705,15.36,15.53,49722.0,0.0,1.0,15.68,15.705,15.36,15.53,49722.0
2016-10-13,15.75,15.75,15.62,15.64,25067.0,0.0,1.0,15.75,15.75,15.62,15.64,25067.0
