Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,21.05,22.4,21.0,22.15,3581986.0,0.0,1.0,21.05,22.4,21.0,22.15,3581986.0
2016-11-16,23.1,23.5,22.7,22.75,267279.0,0.0,1.0,23.1,23.5,22.7,22.75,267279.0
2016-11-15,23.0,23.8,22.9,23.3,223167.0,0.0,1.0,23.0,23.8,22.9,23.3,223167.0
2016-11-14,23.4,24.225,22.8,22.95,318188.0,0.0,1.0,23.4,24.225,22.8,22.95,318188.0
2016-11-11,22.7,23.55,22.625,23.2,308279.0,0.0,1.0,22.7,23.55,22.625,23.2,308279.0
2016-11-10,21.8,22.7,21.55,22.7,308163.0,0.0,1.0,21.8,22.7,21.55,22.7,308163.0
2016-11-09,20.8,21.7,20.25,21.6,224254.0,0.0,1.0,20.8,21.7,20.25,21.6,224254.0
2016-11-08,20.6,21.05,20.45,21.0,183752.0,0.0,1.0,20.6,21.05,20.45,21.0,183752.0
2016-11-07,20.3,20.9,19.9,20.75,174744.0,0.0,1.0,20.3,20.9,19.9,20.75,174744.0
2016-11-04,20.15,20.55,20.05,20.25,183896.0,0.0,1.0,20.15,20.55,20.05,20.25,183896.0
2016-11-03,21.4,21.4,19.65,20.2,238034.0,0.0,1.0,21.4,21.4,19.65,20.2,238034.0
2016-11-02,20.6,21.15,20.0,20.4,363088.0,0.0,1.0,20.6,21.15,20.0,20.4,363088.0
2016-11-01,21.75,21.875,20.6,20.65,206995.0,0.0,1.0,21.75,21.875,20.6,20.65,206995.0
2016-10-31,21.7,21.75,21.4,21.7,169353.0,0.0,1.0,21.7,21.75,21.4,21.7,169353.0
2016-10-28,21.6,22.0,21.5,21.75,167573.0,0.0,1.0,21.6,22.0,21.5,21.75,167573.0
2016-10-27,21.6,21.8,21.3,21.55,123579.0,0.0,1.0,21.6,21.8,21.3,21.55,123579.0
2016-10-26,21.15,21.65,21.15,21.5,106715.0,0.0,1.0,21.15,21.65,21.15,21.5,106715.0
2016-10-25,21.65,21.75,21.1,21.3,160353.0,0.0,1.0,21.65,21.75,21.1,21.3,160353.0
2016-10-24,21.9,22.15,21.45,21.75,167909.0,0.0,1.0,21.9,22.15,21.45,21.75,167909.0
2016-10-21,21.75,21.95,21.65,21.95,105759.0,0.0,1.0,21.75,21.95,21.65,21.95,105759.0
2016-10-20,22.1,22.15,21.65,21.85,167044.0,0.0,1.0,22.1,22.15,21.65,21.85,167044.0
2016-10-19,21.8,22.2,21.7,21.95,114147.0,0.0,1.0,21.8,22.2,21.7,21.95,114147.0
2016-10-18,22.5,22.6,21.75,21.85,171691.0,0.0,1.0,22.5,22.6,21.75,21.85,171691.0
2016-10-17,22.0,22.4,22.0,22.3,212129.0,0.0,1.0,22.0,22.4,22.0,22.3,212129.0
2016-10-14,22.25,22.96,22.04,22.1,145574.0,0.0,1.0,22.25,22.96,22.04,22.1,145574.0
2016-10-13,22.2,22.53,22.09,22.21,160816.0,0.0,1.0,22.2,22.53,22.09,22.21,160816.0
2016-10-12,22.29,22.65,22.28,22.52,193508.0,0.0,1.0,22.29,22.65,22.28,22.52,193508.0
2016-10-11,22.64,22.74,22.23,22.39,159080.0,0.0,1.0,22.64,22.74,22.23,22.39,159080.0
2016-10-10,22.22,22.71,22.22,22.65,184526.0,0.0,1.0,22.22,22.71,22.22,22.65,184526.0
2016-10-07,22.29,22.42,21.98,22.22,218234.0,0.0,1.0,22.29,22.42,21.98,22.22,218234.0
2016-10-06,22.56,22.56,22.22,22.34,129826.0,0.0,1.0,22.56,22.56,22.22,22.34,129826.0
2016-10-05,22.6,22.81,22.56,22.64,159413.0,0.0,1.0,22.6,22.81,22.56,22.64,159413.0
2016-10-04,22.92,22.98,22.55,22.6,156787.0,0.0,1.0,22.92,22.98,22.55,22.6,156787.0
