Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,25.64,26.04,25.63,25.75,678744.0,0.0,1.0,25.64,26.04,25.63,25.75,678744.0
2016-11-16,25.4,25.72,25.33,25.63,881028.0,0.0,1.0,25.4,25.72,25.33,25.63,881028.0
2016-11-15,25.74,25.97,25.32,25.51,865924.0,0.0,1.0,25.74,25.97,25.32,25.51,865924.0
2016-11-14,25.33,25.6751,25.04,25.62,1197021.0,0.0,1.0,25.33,25.6751,25.04,25.62,1197021.0
2016-11-11,25.42,25.68,25.23,25.35,1049876.0,0.0,1.0,25.42,25.68,25.23,25.35,1049876.0
2016-11-10,25.86,25.9,24.85,25.41,1557553.0,0.0,1.0,25.86,25.9,24.85,25.41,1557553.0
2016-11-09,25.65,26.03,25.08,25.83,920755.0,0.0,1.0,25.65,26.03,25.08,25.83,920755.0
2016-11-08,26.02,26.37,26.02,26.26,782442.0,0.0,1.0,26.02,26.37,26.02,26.26,782442.0
2016-11-07,25.92,26.07,25.66,26.01,558664.0,0.0,1.0,25.92,26.07,25.66,26.01,558664.0
2016-11-04,25.48,25.56,25.26,25.44,502458.0,0.0,1.0,25.48,25.56,25.26,25.44,502458.0
2016-11-03,25.68,25.7,25.33,25.36,633034.0,0.0,1.0,25.68,25.7,25.33,25.36,633034.0
2016-11-02,25.8,25.86,25.62,25.62,1030368.0,0.0,1.0,25.8,25.86,25.62,25.62,1030368.0
2016-11-01,26.25,26.27,25.51,25.78,997122.0,0.0,1.0,26.25,26.27,25.51,25.78,997122.0
2016-10-31,25.84,26.48,25.68,26.41,907189.0,0.0,1.0,25.84,26.48,25.68,26.41,907189.0
2016-10-28,26.37,26.37,25.495,25.68,1721262.0,0.0,1.0,26.37,26.37,25.495,25.68,1721262.0
2016-10-27,26.56,26.56,25.915,26.05,691051.0,0.0,1.0,26.56,26.56,25.915,26.05,691051.0
2016-10-26,26.73,26.82,26.275,26.57,706255.0,0.0,1.0,26.73,26.82,26.275,26.57,706255.0
2016-10-25,27.0,27.09,26.775,26.97,486546.0,0.0,1.0,27.0,27.09,26.775,26.97,486546.0
2016-10-24,28.5,28.5,26.96,27.1,314829.0,0.0,1.0,28.5,28.5,26.96,27.1,314829.0
2016-10-21,26.78,27.055,26.78,26.98,465373.0,0.0,1.0,26.78,27.055,26.78,26.98,465373.0
2016-10-20,26.85,27.07,26.77,27.02,471234.0,0.0,1.0,26.85,27.07,26.77,27.02,471234.0
2016-10-19,26.75,27.04,26.67,26.95,413061.0,0.0,1.0,26.75,27.04,26.67,26.95,413061.0
2016-10-18,26.92,27.04,26.73,26.77,409558.0,0.0,1.0,26.92,27.04,26.73,26.77,409558.0
