Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,32.65,33.29,32.36,33.12,201472.0,0.0,1.0,32.65,33.29,32.36,33.12,201472.0
2016-11-16,31.78,32.495,31.75,32.36,211231.0,0.0,1.0,31.78,32.495,31.75,32.36,211231.0
2016-11-15,31.81,31.92,31.37,31.81,151859.0,0.0,1.0,31.81,31.92,31.37,31.81,151859.0
2016-11-14,31.88,32.67,31.4,32.11,240935.0,0.0,1.0,31.88,32.67,31.4,32.11,240935.0
2016-11-11,30.04,31.9,26.551,31.49,277895.0,0.0,1.0,30.04,31.9,26.551,31.49,277895.0
2016-11-10,28.99,30.18,28.99,30.12,271547.0,0.0,1.0,28.99,30.18,28.99,30.12,271547.0
2016-11-09,28.34,28.94,28.34,28.91,326720.0,0.0,1.0,28.34,28.94,28.34,28.91,326720.0
2016-11-08,28.05,28.32,28.0,28.14,73904.0,0.0,1.0,28.05,28.32,28.0,28.14,73904.0
2016-11-07,27.79,28.27,27.39,28.23,78704.0,0.0,1.0,27.79,28.27,27.39,28.23,78704.0
2016-11-04,27.7,27.85,27.33,27.42,69452.0,0.0,1.0,27.7,27.85,27.33,27.42,69452.0
2016-11-03,27.63,27.78,27.57,27.7,57691.0,0.0,1.0,27.63,27.78,27.57,27.7,57691.0
2016-11-02,28.14,28.14,27.49,27.51,80022.0,0.0,1.0,28.14,28.14,27.49,27.51,80022.0
2016-11-01,28.19,28.33,28.08,28.21,122955.0,0.0,1.0,28.19,28.33,28.08,28.21,122955.0
2016-10-31,27.92,28.25,27.85,28.15,93774.0,0.0,1.0,27.92,28.25,27.85,28.15,93774.0
2016-10-28,28.36,28.55,27.715,27.8,73299.0,0.0,1.0,28.36,28.55,27.715,27.8,73299.0
2016-10-27,28.87,28.905,28.3,28.35,115884.0,0.0,1.0,28.87,28.905,28.3,28.35,115884.0
