Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,4.64,4.84,4.54,4.57,254351.0,0.0,1.0,4.64,4.84,4.54,4.57,254351.0
2016-11-16,4.58,4.65,4.55,4.59,45733.0,0.0,1.0,4.58,4.65,4.55,4.59,45733.0
2016-11-15,4.6,4.62,4.4378,4.58,82875.0,0.0,1.0,4.6,4.62,4.4378,4.58,82875.0
2016-11-14,4.45,4.63,4.45,4.54,69114.0,0.0,1.0,4.45,4.63,4.45,4.54,69114.0
2016-11-11,4.28,4.47,4.15,4.43,73445.0,0.0,1.0,4.28,4.47,4.15,4.43,73445.0
2016-11-10,4.5,4.67,4.21,4.27,170290.0,0.0,1.0,4.5,4.67,4.21,4.27,170290.0
2016-11-09,3.8,4.46,3.79,4.43,174584.0,0.0,1.0,3.8,4.46,3.79,4.43,174584.0
2016-11-08,3.93,4.18,3.82,3.91,146791.0,0.0,1.0,3.93,4.18,3.82,3.91,146791.0
2016-11-07,3.85,4.04,3.69,3.96,224544.0,0.0,1.0,3.85,4.04,3.69,3.96,224544.0
2016-11-04,3.71,4.149,3.56,3.78,471670.0,0.0,1.0,3.71,4.149,3.56,3.78,471670.0
2016-11-03,4.88,4.9,3.95,4.02,884630.0,0.0,1.0,4.88,4.9,3.95,4.02,884630.0
2016-11-02,5.36,5.79,5.18,5.25,188131.0,0.0,1.0,5.36,5.79,5.18,5.25,188131.0
2016-11-01,5.59,5.59,5.33,5.34,86604.0,0.0,1.0,5.59,5.59,5.33,5.34,86604.0
2016-10-31,5.19,5.59,5.19,5.56,125872.0,0.0,1.0,5.19,5.59,5.19,5.56,125872.0
2016-10-28,5.31,5.39,5.18,5.22,211728.0,0.0,1.0,5.31,5.39,5.18,5.22,211728.0
2016-10-27,5.47,5.67,5.25,5.37,140246.0,0.0,1.0,5.47,5.67,5.25,5.37,140246.0
2016-10-26,5.9,5.9,5.43,5.47,331837.0,0.0,1.0,5.9,5.9,5.43,5.47,331837.0
2016-10-25,5.88,5.93,5.77,5.9,174088.0,0.0,1.0,5.88,5.93,5.77,5.9,174088.0
2016-10-24,5.94,5.95,5.81,5.88,75377.0,0.0,1.0,5.94,5.95,5.81,5.88,75377.0
2016-10-21,5.9,5.97,5.86,5.9,35143.0,0.0,1.0,5.9,5.97,5.86,5.9,35143.0
2016-10-20,5.92,6.0,5.85,5.94,67501.0,0.0,1.0,5.92,6.0,5.85,5.94,67501.0
2016-10-19,5.8,6.02,5.79,5.98,135513.0,0.0,1.0,5.8,6.02,5.79,5.98,135513.0
2016-10-18,5.94,6.0,5.76,5.83,136427.0,0.0,1.0,5.94,6.0,5.76,5.83,136427.0
2016-10-17,6.09,6.12,5.86,5.94,195984.0,0.0,1.0,6.09,6.12,5.86,5.94,195984.0
2016-10-14,6.14,6.18,6.05,6.09,487203.0,0.0,1.0,6.14,6.18,6.05,6.09,487203.0
2016-10-13,6.27,6.37,6.19,6.2,75682.0,0.0,1.0,6.27,6.37,6.19,6.2,75682.0
2016-10-12,6.32,6.4129,6.27,6.39,65318.0,0.0,1.0,6.32,6.4129,6.27,6.39,65318.0
2016-10-11,6.45,6.52,6.32,6.36,188885.0,0.0,1.0,6.45,6.52,6.32,6.36,188885.0
2016-10-10,6.47,6.5,6.3915,6.48,47739.0,0.0,1.0,6.47,6.5,6.3915,6.48,47739.0
2016-10-07,6.41,6.53,6.39,6.44,112804.0,0.0,1.0,6.41,6.53,6.39,6.44,112804.0
2016-10-06,6.64,6.64,6.3,6.42,106925.0,0.0,1.0,6.64,6.64,6.3,6.42,106925.0
2016-10-05,6.78,6.78,6.57,6.61,40789.0,0.0,1.0,6.78,6.78,6.57,6.61,40789.0
2016-10-04,6.63,6.88,6.62,6.745,98195.0,0.0,1.0,6.63,6.88,6.62,6.745,98195.0
2016-10-03,6.43,6.68,6.43,6.59,88481.0,0.0,1.0,6.43,6.68,6.43,6.59,88481.0
2016-09-30,6.4,6.47,6.4,6.45,70372.0,0.0,1.0,6.4,6.47,6.4,6.45,70372.0
2016-09-29,6.45,6.636,6.21,6.38,75510.0,0.0,1.0,6.45,6.636,6.21,6.38,75510.0
2016-09-28,6.67,6.69,6.41,6.45,106791.0,0.0,1.0,6.67,6.69,6.41,6.45,106791.0
2016-09-27,6.7,6.83,6.63,6.69,77753.0,0.0,1.0,6.7,6.83,6.63,6.69,77753.0
2016-09-26,6.77,6.795,6.64,6.69,43373.0,0.0,1.0,6.77,6.795,6.64,6.69,43373.0
2016-09-23,6.65,6.76,6.55,6.76,71246.0,0.0,1.0,6.65,6.76,6.55,6.76,71246.0
2016-09-22,6.35,6.76,6.3,6.68,122003.0,0.0,1.0,6.35,6.76,6.3,6.68,122003.0
2016-09-21,6.22,6.3899,6.22,6.33,54525.0,0.0,1.0,6.22,6.3899,6.22,6.33,54525.0
2016-09-20,6.23,6.26,6.18,6.25,78335.0,0.0,1.0,6.23,6.26,6.18,6.25,78335.0
2016-09-19,6.32,6.32,6.18,6.24,75594.0,0.0,1.0,6.32,6.32,6.18,6.24,75594.0
2016-09-16,6.24,6.41,6.23,6.31,160443.0,0.0,1.0,6.24,6.41,6.23,6.31,160443.0
2016-09-15,6.1,6.3,5.93,6.24,167234.0,0.0,1.0,6.1,6.3,5.93,6.24,167234.0
2016-09-14,5.89,6.1,5.84,6.09,100800.0,0.0,1.0,5.89,6.1,5.84,6.09,100800.0
2016-09-13,5.8,5.9,5.76,5.87,52296.0,0.0,1.0,5.8,5.9,5.76,5.87,52296.0
2016-09-12,5.82,5.93,5.74,5.86,70902.0,0.0,1.0,5.82,5.93,5.74,5.86,70902.0
2016-09-09,5.99,5.99,5.8,5.86,57063.0,0.0,1.0,5.99,5.99,5.8,5.86,57063.0
2016-09-08,5.85,6.0427,5.8294,5.99,63461.0,0.0,1.0,5.85,6.0427,5.8294,5.99,63461.0
2016-09-07,5.79,5.9,5.75,5.83,79528.0,0.0,1.0,5.79,5.9,5.75,5.83,79528.0
2016-09-06,5.8,5.87,5.75,5.78,90150.0,0.0,1.0,5.8,5.87,5.75,5.78,90150.0
2016-09-02,5.85,5.87,5.75,5.8,68162.0,0.0,1.0,5.85,5.87,5.75,5.8,68162.0
2016-09-01,6.0,6.0,5.81,5.87,71401.0,0.0,1.0,6.0,6.0,5.81,5.87,71401.0
2016-08-31,6.0,6.0,5.83,5.97,71444.0,0.0,1.0,6.0,6.0,5.83,5.97,71444.0
2016-08-30,5.82,6.09,5.76,5.98,267577.0,0.0,1.0,5.82,6.09,5.76,5.98,267577.0
2016-08-29,5.75,5.87,5.72,5.82,124771.0,0.0,1.0,5.75,5.87,5.72,5.82,124771.0
2016-08-26,5.96,6.0,5.72,5.77,206442.0,0.0,1.0,5.96,6.0,5.72,5.77,206442.0
2016-08-25,5.98,6.0599,5.93,5.97,70926.0,0.0,1.0,5.98,6.0599,5.93,5.97,70926.0
2016-08-24,6.04,6.09,5.95,5.97,133828.0,0.0,1.0,6.04,6.09,5.95,5.97,133828.0
2016-08-23,6.07,6.11,6.01,6.06,52244.0,0.0,1.0,6.07,6.11,6.01,6.06,52244.0
2016-08-22,6.13,6.135,6.0,6.03,94157.0,0.0,1.0,6.13,6.135,6.0,6.03,94157.0
