Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,12.5,12.96,12.41,12.51,668692.0,0.0,1.0,12.5,12.96,12.41,12.51,668692.0
2016-11-16,12.52,12.57,12.15,12.39,737089.0,0.0,1.0,12.52,12.57,12.15,12.39,737089.0
2016-11-15,11.9,12.69,11.9,12.55,1079143.0,0.0,1.0,11.9,12.69,11.9,12.55,1079143.0
2016-11-14,11.72,12.22,11.65,11.82,727408.0,0.0,1.0,11.72,12.22,11.65,11.82,727408.0
2016-11-11,11.45,11.77,11.13,11.71,678124.0,0.0,1.0,11.45,11.77,11.13,11.71,678124.0
2016-11-10,11.39,11.7093,11.2,11.51,1142861.0,0.0,1.0,11.39,11.7093,11.2,11.51,1142861.0
2016-11-09,11.09,11.43,10.9534,11.35,857017.0,0.0,1.0,11.09,11.43,10.9534,11.35,857017.0
2016-11-08,11.08,11.28,10.79,11.09,832338.0,0.0,1.0,11.08,11.28,10.79,11.09,832338.0
2016-11-07,11.56,11.56,11.08,11.17,677463.0,0.0,1.0,11.56,11.56,11.08,11.17,677463.0
2016-11-04,11.07,11.54,10.76,11.34,862584.0,0.0,1.0,11.07,11.54,10.76,11.34,862584.0
2016-11-03,11.32,11.41,10.76,11.14,1706676.0,0.0,1.0,11.32,11.41,10.76,11.14,1706676.0
2016-11-02,11.48,11.51,11.18,11.3,848334.0,0.0,1.0,11.48,11.51,11.18,11.3,848334.0
2016-11-01,11.91,12.02,11.42,11.64,592821.0,0.0,1.0,11.91,12.02,11.42,11.64,592821.0
2016-10-31,11.97,11.99,11.655,11.78,550561.0,0.0,1.0,11.97,11.99,11.655,11.78,550561.0
2016-10-28,11.93,12.41,11.93,11.97,1127054.0,0.0,1.0,11.93,12.41,11.93,11.97,1127054.0
2016-10-27,12.6,12.6,11.9,11.99,883773.0,0.0,1.0,12.6,12.6,11.9,11.99,883773.0
2016-10-26,12.71,12.92,12.25,12.52,1111954.0,0.0,1.0,12.71,12.92,12.25,12.52,1111954.0
2016-10-25,13.42,13.4848,12.82,12.87,571945.0,0.0,1.0,13.42,13.4848,12.82,12.87,571945.0
2016-10-24,13.98,14.11,13.38,13.46,574101.0,0.0,1.0,13.98,14.11,13.38,13.46,574101.0
2016-10-21,14.0,14.27,13.911,14.02,454588.0,0.0,1.0,14.0,14.27,13.911,14.02,454588.0
2016-10-20,14.34,14.53,14.17,14.21,381857.0,0.0,1.0,14.34,14.53,14.17,14.21,381857.0
