Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-06-26,37.09,37.33,36.78,37.1,1685562.0,0.0,1.0,37.09,37.33,36.78,37.1,1685562.0
2015-06-25,37.18,37.26,36.9,36.9,2532399.0,0.0,1.0,37.18,37.26,36.9,36.9,2532399.0
2015-06-24,37.82,37.98,36.86,37.01,2761598.0,0.0,1.0,37.82,37.98,36.86,37.01,2761598.0
2015-06-23,38.1,38.48,37.745,37.96,2594564.0,0.0,1.0,38.1,38.48,37.745,37.96,2594564.0
2015-06-22,37.87,38.315,37.67,38.01,2483376.0,0.0,1.0,37.87,38.315,37.67,38.01,2483376.0
2015-06-19,37.23,37.74,37.16,37.61,3273188.0,0.0,1.0,37.23,37.74,37.16,37.61,3273188.0
2015-06-18,37.0,37.48,37.0,37.3,1834002.0,0.0,1.0,37.0,37.48,37.0,37.3,1834002.0
2015-06-17,36.78,37.0,36.7,36.92,1441576.0,0.0,1.0,36.78,37.0,36.7,36.92,1441576.0
2015-06-16,36.15,36.65,36.051,36.62,1729651.0,0.0,1.0,36.15,36.65,36.051,36.62,1729651.0
2015-06-15,35.81,36.2,35.41,36.2,2355973.0,0.0,1.0,35.81,36.2,35.41,36.2,2355973.0
2015-06-12,35.67,36.27,35.42,36.19,2156433.0,0.0,1.0,35.67,36.27,35.42,36.19,2156433.0
2015-06-11,35.7,35.85,35.45,35.79,1527038.0,0.0,1.0,35.7,35.85,35.45,35.79,1527038.0
2015-06-10,35.43,35.81,35.28,35.69,1111011.0,0.0,1.0,35.43,35.81,35.28,35.69,1111011.0
2015-06-09,35.71,35.8,34.95,35.31,1503208.0,0.0,1.0,35.71,35.8,34.95,35.31,1503208.0
2015-06-08,36.03,36.05,35.64,35.69,1521842.0,0.0,1.0,36.03,36.05,35.64,35.69,1521842.0
2015-06-05,36.12,36.25,35.66,36.09,1539144.0,0.0,1.0,36.12,36.25,35.66,36.09,1539144.0
2015-06-04,36.57,36.76,36.075,36.1,2097174.0,0.0,1.0,36.57,36.76,36.075,36.1,2097174.0
2015-06-03,36.22,36.86,36.02,36.73,1940303.0,0.0,1.0,36.22,36.86,36.02,36.73,1940303.0
2015-06-02,36.21,36.52,35.99,36.36,1443988.0,0.0,1.0,36.21,36.52,35.99,36.36,1443988.0
2015-06-01,35.91,36.48,35.66,36.27,2326067.0,0.0,1.0,35.91,36.48,35.66,36.27,2326067.0
2015-05-29,36.0,36.23,35.67,35.79,7523690.0,0.0,1.0,36.0,36.23,35.67,35.79,7523690.0
2015-05-28,36.31,36.56,35.645,36.03,1586532.0,0.0,1.0,36.31,36.56,35.645,36.03,1586532.0
2015-05-27,35.97,36.49,35.92,36.45,1425423.0,0.0,1.0,35.97,36.49,35.92,36.45,1425423.0
2015-05-26,35.93,36.1,35.74,35.96,2355501.0,0.0,1.0,35.93,36.1,35.74,35.96,2355501.0
2015-05-22,35.96,36.21,35.74,35.93,1060995.0,0.0,1.0,35.96,36.21,35.74,35.93,1060995.0
