Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,165.82,166.91,165.22,165.63,1552383.0,0.0,1.0,165.82,166.91,165.22,165.63,1552383.0
2016-11-16,167.72,167.89,165.29,165.84,1610788.0,0.0,1.0,167.72,167.89,165.29,165.84,1610788.0
2016-11-15,169.97,170.82,166.37,168.02,2508477.0,0.0,1.0,169.97,170.82,166.37,168.02,2508477.0
2016-11-14,169.86,171.19,168.56,170.19,2584290.0,0.0,1.0,169.86,171.19,168.56,170.19,2584290.0
2016-11-11,165.99,168.6,164.09,168.54,1591943.0,0.0,1.0,165.99,168.6,164.09,168.54,1591943.0
2016-11-10,162.47,166.8169,162.47,166.51,3251364.0,0.0,1.0,162.47,166.8169,162.47,166.51,3251364.0
2016-11-09,157.67,163.56,157.67,162.09,5319597.0,0.0,1.0,157.67,163.56,157.67,162.09,5319597.0
2016-11-08,152.26,154.33,152.06,153.78,1214892.0,0.0,1.0,152.26,154.33,152.06,153.78,1214892.0
2016-11-07,151.31,152.43,150.9,152.39,1415473.0,0.0,1.0,151.31,152.43,150.9,152.39,1415473.0
2016-11-04,150.03,151.1,149.665,149.81,1059625.0,0.0,1.0,150.03,151.1,149.665,149.81,1059625.0
2016-11-03,150.0,150.49,148.76,150.03,1461185.0,0.0,1.0,150.0,150.49,148.76,150.03,1461185.0
2016-11-02,149.69,151.1199,149.56,149.67,1308433.0,0.0,1.0,149.69,151.1199,149.56,149.67,1308433.0
2016-11-01,151.07,152.12,149.4801,149.98,1528784.0,0.0,1.0,151.07,152.12,149.4801,149.98,1528784.0
2016-10-31,152.03,152.21,150.72,150.74,1568002.0,0.0,1.0,152.03,152.21,150.72,150.74,1568002.0
2016-10-28,150.46,152.49,150.09,151.5,1456034.0,0.0,1.0,150.46,152.49,150.09,151.5,1456034.0
2016-10-27,151.58,151.677,149.1,150.13,1589876.0,0.0,1.0,151.58,151.677,149.1,150.13,1589876.0
2016-10-26,149.67,152.95,149.05,151.14,2779065.0,0.0,1.0,149.67,152.95,149.05,151.14,2779065.0
2016-10-25,151.21,153.05,151.21,152.59,1447284.0,0.0,1.0,151.21,153.05,151.21,152.59,1447284.0
2016-10-24,151.17,152.18,151.0,151.44,903503.0,0.0,1.0,151.17,152.18,151.0,151.44,903503.0
2016-10-21,149.58,150.325,149.13,150.18,1186869.0,0.0,1.0,149.58,150.325,149.13,150.18,1186869.0
2016-10-20,151.48,151.78,150.23,150.71,942846.0,0.0,1.0,151.48,151.78,150.23,150.71,942846.0
2016-10-19,152.1,152.7,151.41,151.42,706746.0,0.0,1.0,152.1,152.7,151.41,151.42,706746.0
2016-10-18,151.35,152.29,151.24,151.88,699687.0,0.0,1.0,151.35,152.29,151.24,151.88,699687.0
2016-10-17,151.28,151.61,150.35,150.48,970140.0,0.0,1.0,151.28,151.61,150.35,150.48,970140.0
2016-10-14,152.79,152.79,151.31,151.34,860109.0,0.0,1.0,152.79,152.79,151.31,151.34,860109.0
2016-10-13,149.49,151.46,149.49,151.01,950632.0,0.0,1.0,149.49,151.46,149.49,151.01,950632.0
2016-10-12,149.61,150.56,149.55,150.0,1149740.0,0.0,1.0,149.61,150.56,149.55,150.0,1149740.0
2016-10-11,152.06,152.36,149.04,149.6,1686897.0,0.0,1.0,152.06,152.36,149.04,149.6,1686897.0
2016-10-10,153.53,154.26,152.58,152.89,1247717.0,0.0,1.0,153.53,154.26,152.58,152.89,1247717.0
2016-10-07,151.83,153.22,150.26,152.96,2063614.0,0.0,1.0,151.83,153.22,150.26,152.96,2063614.0
2016-10-06,153.8,154.43,153.13,154.14,1685067.0,0.0,1.0,153.8,154.43,153.13,154.14,1685067.0
2016-10-05,153.39,154.48,153.28,153.72,1142218.0,0.76,1.0,153.39,154.48,153.28,153.72,1142218.0
2016-10-04,155.46,155.61,152.87,153.55,1410892.0,0.0,1.0,154.6951786639,154.8444407043,152.11792076644,152.79457534956,1410892.0
2016-10-03,154.58,155.65,154.21,154.71,1325155.0,0.0,1.0,153.81950802693,154.88424391507,153.45132832729,153.94886846194,1325155.0
2016-09-30,156.36,156.95,154.69,155.16,1822766.0,0.0,1.0,155.59075090627,156.17784826515,153.92896685655,154.39665458312,1822766.0
2016-09-29,155.16,156.97,154.825,155.61,1766860.0,0.0,1.0,154.39665458312,156.19774987053,154.06330269291,154.8444407043,1766860.0
2016-09-28,155.77,156.2082,155.1,156.01,1082495.0,0.0,1.0,155.00365354738,155.43969772139,154.33694976696,155.24247281201,1082495.0
2016-09-27,153.72,155.7,153.54,155.28,1409694.0,0.0,1.0,152.96373899534,154.93399792853,152.78462454687,154.51606421543,1409694.0
2016-09-26,153.47,154.8799,153.07,153.87,1251380.0,0.0,1.0,152.71496892802,154.11793259969,152.3169368203,153.11300103573,1251380.0
2016-09-23,152.04,154.36,150.0,153.81,872711.0,0.0,1.0,151.29200414293,153.60059036769,149.26204039358,153.05329621958,872711.0
2016-09-22,153.88,154.88,153.47,154.86,1160476.0,0.0,1.0,153.12295183843,154.11803210772,152.71496892802,154.09813050233,1160476.0
2016-09-21,152.0,153.19,151.6774,153.1,800694.0,0.0,1.0,151.25220093216,152.43634645262,150.93118803729,152.34678922838,800694.0
