Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,19.75,21.45,18.95,20.85,357440.0,0.0,1.0,19.75,21.45,18.95,20.85,357440.0
2016-11-16,20.05,20.6,19.75,20.4,315265.0,0.0,1.0,20.05,20.6,19.75,20.4,315265.0
2016-11-15,20.7,21.2,20.15,20.15,752101.0,0.0,1.0,20.7,21.2,20.15,20.15,752101.0
2016-11-14,20.0,20.9,19.8,20.8,747464.0,0.0,1.0,20.0,20.9,19.8,20.8,747464.0
2016-11-11,18.05,20.0,18.05,19.7,689115.0,0.0,1.0,18.05,20.0,18.05,19.7,689115.0
2016-11-10,17.9,18.3,17.8,18.0,333745.0,0.0,1.0,17.9,18.3,17.8,18.0,333745.0
2016-11-09,17.0,18.4,16.95,17.85,417045.0,0.0,1.0,17.0,18.4,16.95,17.85,417045.0
2016-11-08,16.9,17.35,16.9,17.1,116173.0,0.0,1.0,16.9,17.35,16.9,17.1,116173.0
2016-11-07,16.8,17.25,16.8,16.95,127550.0,0.0,1.0,16.8,17.25,16.8,16.95,127550.0
2016-11-04,16.75,17.05,16.45,16.55,155136.0,0.0,1.0,16.75,17.05,16.45,16.55,155136.0
2016-11-03,16.65,16.8,16.55,16.75,127423.0,0.0,1.0,16.65,16.8,16.55,16.75,127423.0
2016-11-02,16.55,16.8,16.5,16.6,119746.0,0.0,1.0,16.55,16.8,16.5,16.6,119746.0
2016-11-01,16.75,16.8,16.55,16.65,100689.0,0.0,1.0,16.75,16.8,16.55,16.65,100689.0
2016-10-31,16.6,16.95,16.5,16.7,121937.0,0.0,1.0,16.6,16.95,16.5,16.7,121937.0
2016-10-28,16.4,16.75,16.4,16.65,100443.0,0.0,1.0,16.4,16.75,16.4,16.65,100443.0
2016-10-27,16.8,16.8,16.375,16.4,76163.0,0.0,1.0,16.8,16.8,16.375,16.4,76163.0
2016-10-26,16.4,16.8,16.35,16.7,95027.0,0.0,1.0,16.4,16.8,16.35,16.7,95027.0
2016-10-25,16.65,16.7,16.4,16.4,57236.0,0.0,1.0,16.65,16.7,16.4,16.4,57236.0
2016-10-24,16.9,17.05,16.7,16.7,124306.0,0.0,1.0,16.9,17.05,16.7,16.7,124306.0
2016-10-21,16.4,16.8,16.3,16.75,123610.0,0.0,1.0,16.4,16.8,16.3,16.75,123610.0
2016-10-20,16.6,16.8,16.55,16.6,262120.0,0.0,1.0,16.6,16.8,16.55,16.6,262120.0
2016-10-19,16.45,16.7,16.3,16.65,116964.0,0.0,1.0,16.45,16.7,16.3,16.65,116964.0
2016-10-18,16.6,16.65,16.4,16.4,81063.0,0.0,1.0,16.6,16.65,16.4,16.4,81063.0
2016-10-17,16.55,16.675,16.35,16.4,85066.0,0.0,1.0,16.55,16.675,16.35,16.4,85066.0
2016-10-14,16.57,16.795,16.51,16.53,196540.0,0.0,1.0,16.57,16.795,16.51,16.53,196540.0
2016-10-13,16.32,16.525,16.18,16.37,82304.0,0.0,1.0,16.32,16.525,16.18,16.37,82304.0
2016-10-12,16.41,16.62,16.26,16.49,69980.0,0.0,1.0,16.41,16.62,16.26,16.49,69980.0
2016-10-11,16.64,16.64,16.32,16.39,107420.0,0.0,1.0,16.64,16.64,16.32,16.39,107420.0
2016-10-10,16.75,16.97,16.59,16.62,115531.0,0.0,1.0,16.75,16.97,16.59,16.62,115531.0
2016-10-07,16.91,16.91,16.58,16.59,307055.0,0.0,1.0,16.91,16.91,16.58,16.59,307055.0
2016-10-06,16.66,17.03,16.61,17.0,243991.0,0.0,1.0,16.66,17.03,16.61,17.0,243991.0
2016-10-05,16.7,16.91,16.62,16.76,127222.0,0.0,1.0,16.7,16.91,16.62,16.76,127222.0
2016-10-04,16.76,16.92,16.61,16.63,103613.0,0.0,1.0,16.76,16.92,16.61,16.63,103613.0
2016-10-03,16.88,16.97,16.7,16.76,106095.0,0.0,1.0,16.88,16.97,16.7,16.76,106095.0
2016-09-30,17.0,17.18,16.86,17.01,261699.0,0.0,1.0,17.0,17.18,16.86,17.01,261699.0
2016-09-29,17.19,17.19,16.85,16.86,157246.0,0.0,1.0,17.19,17.19,16.85,16.86,157246.0
2016-09-28,16.79,17.19,16.79,17.17,149557.0,0.0,1.0,16.79,17.19,16.79,17.17,149557.0
2016-09-27,16.58,16.94,16.5523,16.87,117908.0,0.0,1.0,16.58,16.94,16.5523,16.87,117908.0
2016-09-26,16.76,16.94,16.65,16.68,136674.0,0.0,1.0,16.76,16.94,16.65,16.68,136674.0
2016-09-23,17.03,17.14,16.89,16.9,118309.0,0.0,1.0,17.03,17.14,16.89,16.9,118309.0
2016-09-22,16.82,17.17,16.8,17.17,175865.0,0.0,1.0,16.82,17.17,16.8,17.17,175865.0
2016-09-21,16.32,16.63,16.32,16.62,180158.0,0.0,1.0,16.32,16.63,16.32,16.62,180158.0
2016-09-20,16.35,16.45,16.17,16.3,129302.0,0.0,1.0,16.35,16.45,16.17,16.3,129302.0
2016-09-19,16.27,16.59,16.25,16.33,158802.0,0.0,1.0,16.27,16.59,16.25,16.33,158802.0
2016-09-16,16.07,16.29,16.07,16.1,723743.0,0.0,1.0,16.07,16.29,16.07,16.1,723743.0
2016-09-15,16.04,16.29,15.88,16.17,156014.0,0.0,1.0,16.04,16.29,15.88,16.17,156014.0
2016-09-14,16.27,16.31,15.89,15.9,197355.0,0.0,1.0,16.27,16.31,15.89,15.9,197355.0
2016-09-13,16.42,16.43,16.15,16.33,126925.0,0.0,1.0,16.42,16.43,16.15,16.33,126925.0
