Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,95.8,96.34,95.525,95.85,131091.0,0.0,1.0,95.8,96.34,95.525,95.85,131091.0
2016-11-16,95.9,96.05,95.375,95.81,308419.0,0.0,1.0,95.9,96.05,95.375,95.81,308419.0
2016-11-15,95.67,96.24,95.21,95.9,81742.0,0.0,1.0,95.67,96.24,95.21,95.9,81742.0
2016-11-14,96.58,96.58,95.057,95.75,316135.0,0.0,1.0,96.58,96.58,95.057,95.75,316135.0
2016-11-11,95.53,96.26,95.3,96.01,236447.0,0.0,1.0,95.53,96.26,95.3,96.01,236447.0
2016-11-10,95.0,95.83,94.915,95.4,141011.0,0.0,1.0,95.0,95.83,94.915,95.4,141011.0
2016-11-09,94.4,95.005,94.4,94.8,200376.0,0.0,1.0,94.4,95.005,94.4,94.8,200376.0
2016-11-08,94.6,94.9,94.42,94.44,107940.0,0.0,1.0,94.6,94.9,94.42,94.44,107940.0
2016-11-07,94.76,95.16,94.46,94.61,74617.0,0.0,1.0,94.76,95.16,94.46,94.61,74617.0
2016-11-04,94.65,94.9501,94.32,94.38,177619.0,0.0,1.0,94.65,94.9501,94.32,94.38,177619.0
2016-11-03,94.81,94.96,94.34,94.48,82366.0,0.0,1.0,94.81,94.96,94.34,94.48,82366.0
2016-11-02,94.58,95.16,94.17,94.62,124386.0,0.0,1.0,94.58,95.16,94.17,94.62,124386.0
2016-11-01,94.66,95.07,94.45,94.71,300164.0,0.0,1.0,94.66,95.07,94.45,94.71,300164.0
2016-10-31,95.09,95.16,94.61,94.7,182447.0,0.0,1.0,95.09,95.16,94.61,94.7,182447.0
2016-10-28,94.89,95.11,94.57,94.79,66029.0,0.0,1.0,94.89,95.11,94.57,94.79,66029.0
2016-10-27,94.95,95.085,94.76,94.82,108110.0,0.0,1.0,94.95,95.085,94.76,94.82,108110.0
2016-10-26,94.85,95.25,94.72,94.87,91182.0,0.0,1.0,94.85,95.25,94.72,94.87,91182.0
2016-10-25,94.75,94.96,94.71,94.94,120171.0,0.0,1.0,94.75,94.96,94.71,94.94,120171.0
2016-10-24,94.78,95.39,94.68,94.8,86670.0,0.0,1.0,94.78,95.39,94.68,94.8,86670.0
2016-10-21,94.8,94.89,94.72,94.83,57816.0,0.0,1.0,94.8,94.89,94.72,94.83,57816.0
2016-10-20,94.67,94.89,94.62,94.87,326169.0,0.0,1.0,94.67,94.89,94.62,94.87,326169.0
2016-10-19,94.86,94.9,94.7,94.78,167436.0,0.0,1.0,94.86,94.9,94.7,94.78,167436.0
2016-10-18,94.9,94.9,94.62,94.8,226278.0,0.0,1.0,94.9,94.9,94.62,94.8,226278.0
2016-10-17,94.9,94.9,94.76,94.76,101729.0,0.0,1.0,94.9,94.9,94.76,94.76,101729.0
2016-10-14,94.95,94.95,94.75,94.83,85384.0,0.0,1.0,94.95,94.95,94.75,94.83,85384.0
2016-10-13,94.86,95.0,94.76,94.84,212930.0,0.0,1.0,94.86,95.0,94.76,94.84,212930.0
2016-10-12,95.37,95.37,94.75,94.86,291429.0,0.0,1.0,95.37,95.37,94.75,94.86,291429.0
2016-10-11,95.66,95.66,95.11,95.26,115372.0,0.0,1.0,95.66,95.66,95.11,95.26,115372.0
2016-10-10,95.45,95.945,95.29,95.5,79942.0,0.0,1.0,95.45,95.945,95.29,95.5,79942.0
2016-10-07,95.26,95.54,94.865,95.2,187343.0,0.0,1.0,95.26,95.54,94.865,95.2,187343.0
2016-10-06,95.5,95.97,95.185,95.47,298723.0,0.0,1.0,95.5,95.97,95.185,95.47,298723.0
