Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,25.94,26.49,24.8,24.92,1510949.0,0.0,1.0,25.94,26.49,24.8,24.92,1510949.0
2016-11-16,25.18,26.28,24.9,25.65,1833662.0,0.0,1.0,25.18,26.28,24.9,25.65,1833662.0
2016-11-15,24.81,25.78,23.89,25.31,5701388.0,0.0,1.0,24.81,25.78,23.89,25.31,5701388.0
2016-11-14,24.5,24.67,23.7,23.79,1262809.0,0.0,1.0,24.5,24.67,23.7,23.79,1262809.0
2016-11-11,23.74,24.61,23.38,24.495,1463695.0,0.0,1.0,23.74,24.61,23.38,24.495,1463695.0
2016-11-10,24.26,24.84,23.51,24.06,2868154.0,0.0,1.0,24.26,24.84,23.51,24.06,2868154.0
2016-11-09,21.6,22.47,21.1627,22.21,1325098.0,0.0,1.0,21.6,22.47,21.1627,22.21,1325098.0
2016-11-08,21.26,21.95,21.07,21.77,605505.0,0.0,1.0,21.26,21.95,21.07,21.77,605505.0
2016-11-07,21.45,21.83,21.26,21.53,878537.0,0.0,1.0,21.45,21.83,21.26,21.53,878537.0
2016-11-04,20.75,21.485,20.52,20.97,1142550.0,0.0,1.0,20.75,21.485,20.52,20.97,1142550.0
2016-11-03,20.64,21.035,20.29,20.77,984015.0,0.0,1.0,20.64,21.035,20.29,20.77,984015.0
2016-11-02,20.66,20.8499,20.22,20.59,1364836.0,0.0,1.0,20.66,20.8499,20.22,20.59,1364836.0
2016-11-01,22.22,22.33,20.8,21.03,1438555.0,0.0,1.0,22.22,22.33,20.8,21.03,1438555.0
2016-10-31,22.39,22.41,21.7482,21.89,1639831.0,0.0,1.0,22.39,22.41,21.7482,21.89,1639831.0
2016-10-28,23.4,23.49,22.24,22.61,792709.0,0.0,1.0,23.4,23.49,22.24,22.61,792709.0
2016-10-27,23.35,23.8,23.05,23.56,860030.0,0.0,1.0,23.35,23.8,23.05,23.56,860030.0
2016-10-26,23.23,23.63,22.8,23.14,933952.0,0.0,1.0,23.23,23.63,22.8,23.14,933952.0
