Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,23.31,23.5,23.01,23.46,1143482.0,0.0,1.0,23.31,23.5,23.01,23.46,1143482.0
2016-11-16,22.53,23.18,22.44,23.06,1706574.0,0.0,1.0,22.53,23.18,22.44,23.06,1706574.0
2016-11-15,22.93,22.99,22.19,22.65,2215939.0,0.0,1.0,22.93,22.99,22.19,22.65,2215939.0
2016-11-14,22.44,23.29,22.4,22.99,2075352.0,0.0,1.0,22.44,23.29,22.4,22.99,2075352.0
2016-11-11,21.81,22.37,21.5,22.315,1999788.0,0.0,1.0,21.81,22.37,21.5,22.315,1999788.0
2016-11-10,21.76,22.52,21.71,21.87,2523505.0,0.0,1.0,21.76,22.52,21.71,21.87,2523505.0
2016-11-09,20.59,21.61,20.501,21.53,1740473.0,0.0,1.0,20.59,21.61,20.501,21.53,1740473.0
2016-11-08,21.14,21.25,20.86,20.91,1884046.0,0.0,1.0,21.14,21.25,20.86,20.91,1884046.0
2016-11-07,21.0,21.53,20.75,21.24,2881846.0,0.0,1.0,21.0,21.53,20.75,21.24,2881846.0
2016-11-04,20.79,21.22,20.605,20.73,3076377.0,0.0,1.0,20.79,21.22,20.605,20.73,3076377.0
2016-11-03,20.77,20.92,20.52,20.83,5558864.0,0.0,1.0,20.77,20.92,20.52,20.83,5558864.0
2016-11-02,20.59,21.54,20.1,20.93,13618487.0,0.0,1.0,20.59,21.54,20.1,20.93,13618487.0
2016-11-01,24.01,24.01,23.315,23.56,2497342.0,0.0,1.0,24.01,24.01,23.315,23.56,2497342.0
2016-10-31,23.95,24.18,23.76,24.05,2151154.0,0.0,1.0,23.95,24.18,23.76,24.05,2151154.0
2016-10-28,23.99,24.22,23.69,23.9,1863992.0,0.0,1.0,23.99,24.22,23.69,23.9,1863992.0
2016-10-27,24.84,24.906,23.89,23.99,2703396.0,0.0,1.0,24.84,24.906,23.89,23.99,2703396.0
2016-10-26,24.73,25.19,24.35,24.77,3322049.0,0.0,1.0,24.73,25.19,24.35,24.77,3322049.0
2016-10-25,25.02,25.15,24.6547,24.75,1908637.0,0.0,1.0,25.02,25.15,24.6547,24.75,1908637.0
2016-10-24,25.37,25.37,24.85,25.14,1873500.0,0.0,1.0,25.37,25.37,24.85,25.14,1873500.0
2016-10-21,25.09,25.09,24.72,25.01,1751281.0,0.0,1.0,25.09,25.09,24.72,25.01,1751281.0
2016-10-20,24.95,25.2,24.91,25.11,2265433.0,0.0,1.0,24.95,25.2,24.91,25.11,2265433.0
2016-10-19,24.88,25.01,24.45,25.0,2332378.0,0.0,1.0,24.88,25.01,24.45,25.0,2332378.0
2016-10-18,24.97,25.11,24.775,24.82,2064991.0,0.0,1.0,24.97,25.11,24.775,24.82,2064991.0
2016-10-17,25.32,25.57,24.65,24.7,5478147.0,0.0,1.0,25.32,25.57,24.65,24.7,5478147.0
2016-10-14,25.58,25.69,25.11,25.38,3135077.0,0.0,1.0,25.58,25.69,25.11,25.38,3135077.0
2016-10-13,26.0,26.14,25.35,25.47,2675620.0,0.0,1.0,26.0,26.14,25.35,25.47,2675620.0
2016-10-12,26.14,26.46,26.0,26.12,2446797.0,0.0,1.0,26.14,26.46,26.0,26.12,2446797.0
2016-10-11,26.82,26.86,26.01,26.05,2136284.0,0.0,1.0,26.82,26.86,26.01,26.05,2136284.0
2016-10-10,26.84,27.14,26.65,26.83,1599591.0,0.0,1.0,26.84,27.14,26.65,26.83,1599591.0
2016-10-07,26.8,26.93,26.47,26.68,2105064.0,0.0,1.0,26.8,26.93,26.47,26.68,2105064.0
2016-10-06,27.08,27.1,26.3,26.68,3744610.0,0.0,1.0,27.08,27.1,26.3,26.68,3744610.0
2016-10-05,27.27,27.48,26.95,27.2,1934467.0,0.0,1.0,27.27,27.48,26.95,27.2,1934467.0
2016-10-04,27.78,27.84,27.03,27.13,2282724.0,0.0,1.0,27.78,27.84,27.03,27.13,2282724.0
2016-10-03,27.59,27.86,27.45,27.78,1625390.0,0.0,1.0,27.59,27.86,27.45,27.78,1625390.0
2016-09-30,27.38,27.7,27.25,27.59,1786092.0,0.0,1.0,27.38,27.7,27.25,27.59,1786092.0
2016-09-29,27.5,27.66,27.125,27.14,1754695.0,0.0,1.0,27.5,27.66,27.125,27.14,1754695.0
2016-09-28,27.45,27.855,27.2,27.49,1166373.0,0.0,1.0,27.45,27.855,27.2,27.49,1166373.0
2016-09-27,27.65,27.76,27.27,27.43,1437525.0,0.0,1.0,27.65,27.76,27.27,27.43,1437525.0
2016-09-26,28.11,28.2,27.64,27.64,1073489.0,0.0,1.0,28.11,28.2,27.64,27.64,1073489.0
2016-09-23,28.24,28.58,28.19,28.19,1370192.0,0.0,1.0,28.24,28.58,28.19,28.19,1370192.0
2016-09-22,28.29,28.45,27.89,28.27,1787499.0,0.0,1.0,28.29,28.45,27.89,28.27,1787499.0
2016-09-21,27.79,28.16,27.7101,28.13,1663701.0,0.0,1.0,27.79,28.16,27.7101,28.13,1663701.0
2016-09-20,28.08,28.18,27.63,27.72,1865128.0,0.0,1.0,28.08,28.18,27.63,27.72,1865128.0
2016-09-19,27.39,28.175,27.39,27.9,3349834.0,0.0,1.0,27.39,28.175,27.39,27.9,3349834.0
2016-09-16,27.21,27.2616,26.9,27.09,1916342.0,0.0,1.0,27.21,27.2616,26.9,27.09,1916342.0
2016-09-15,26.88,27.2672,26.692,27.25,2210464.0,0.0,1.0,26.88,27.2672,26.692,27.25,2210464.0
2016-09-14,27.63,27.63,26.935,27.03,1830677.0,0.0,1.0,27.63,27.63,26.935,27.03,1830677.0
2016-09-13,26.95,27.39,26.81,26.99,2803973.0,0.0,1.0,26.95,27.39,26.81,26.99,2803973.0
2016-09-12,27.38,27.38,26.85,27.04,3605802.0,0.0,1.0,27.38,27.38,26.85,27.04,3605802.0
2016-09-09,27.94,28.03,27.17,27.18,2483027.0,0.0,1.0,27.94,28.03,27.17,27.18,2483027.0
2016-09-08,27.97,28.11,27.75,27.78,1728751.0,0.0,1.0,27.97,28.11,27.75,27.78,1728751.0
2016-09-07,28.03,28.2299,27.89,28.13,1516141.0,0.37,1.0,28.03,28.2299,27.89,28.13,1516141.0
2016-09-06,28.38,28.67,28.25,28.37,1943217.0,0.0,1.0,28.011557894737,28.297792982456,27.883245614035,28.001687719298,1943217.0
2016-09-02,28.21,28.48,28.04,28.39,1690804.0,0.0,1.0,27.843764912281,28.110259649123,27.675971929825,28.021428070175,1690804.0
2016-09-01,28.47,28.5778,27.97,28.03,2095181.0,0.0,1.0,28.100389473684,28.206789964912,27.606880701754,27.666101754386,2095181.0
2016-08-31,28.48,28.9499,28.31,28.39,2828007.0,0.0,1.0,28.110259649123,28.574059192982,27.942466666667,28.021428070175,2828007.0
2016-08-30,28.89,28.96,28.27,28.49,2859089.0,0.0,1.0,28.514936842105,28.584028070175,27.902985964912,28.120129824561,2859089.0
2016-08-29,28.75,28.97,28.34,28.97,4405560.0,0.0,1.0,28.376754385965,28.593898245614,27.972077192982,28.593898245614,4405560.0
2016-08-26,30.22,30.51,28.69,28.74,14493353.0,0.0,1.0,29.827670175439,30.113905263158,28.317533333333,28.366884210526,14493353.0
2016-08-25,31.67,32.25,31.28,32.16,6125971.0,0.0,1.0,31.258845614035,31.831315789474,30.87390877193,31.742484210526,6125971.0
2016-08-24,32.13,32.41,31.62,31.71,2714735.0,0.0,1.0,31.712873684211,31.989238596491,31.209494736842,31.298326315789,2714735.0
2016-08-23,32.03,32.67,31.83,32.09,2840247.0,0.0,1.0,31.614171929825,32.245863157895,31.416768421053,31.673392982456,2840247.0
2016-08-22,32.0,32.1,31.2607,31.46,1671916.0,0.0,1.0,31.584561403509,31.683263157895,30.854859333333,31.051571929825,1671916.0
2016-08-19,31.06,31.92,30.89,31.72,2164838.0,0.0,1.0,30.656764912281,31.5056,30.488971929825,31.308196491228,2164838.0
2016-08-18,30.93,31.185,30.565,31.17,1580156.0,0.0,1.0,30.528452631579,30.780142105263,30.16819122807,30.765336842105,1580156.0
2016-08-17,30.87,30.94,30.5,30.82,1762462.0,0.0,1.0,30.469231578947,30.538322807018,30.104035087719,30.419880701754,1762462.0
2016-08-16,31.66,31.95,31.16,31.17,1586892.0,0.0,1.0,31.248975438596,31.535210526316,30.755466666667,30.765336842105,1586892.0
2016-08-15,31.31,32.08,31.31,31.73,1430596.0,0.0,1.0,30.903519298246,31.663522807018,30.903519298246,31.318066666667,1430596.0
2016-08-12,31.0,31.73,30.82,31.35,2146146.0,0.0,1.0,30.597543859649,31.318066666667,30.419880701754,30.943,2146146.0
2016-08-11,30.53,31.17,30.43,31.11,2477815.0,0.0,1.0,30.133645614035,30.765336842105,30.034943859649,30.706115789474,2477815.0
2016-08-10,29.6,30.23,29.6,30.15,1750779.0,0.0,1.0,29.215719298246,29.837540350877,29.215719298246,29.758578947368,1750779.0
2016-08-09,29.76,30.22,29.5,29.63,2247634.0,0.0,1.0,29.373642105263,29.827670175439,29.11701754386,29.245329824561,2247634.0
2016-08-08,30.14,30.39,29.6417,29.79,2044151.0,0.0,1.0,29.74870877193,29.995463157895,29.256877929825,29.403252631579,2044151.0
2016-08-05,29.89,30.59,29.811,30.04,2612290.0,0.0,1.0,29.501954385965,30.192866666667,29.42398,29.650007017544,2612290.0
2016-08-04,29.54,30.0,29.43,29.66,1206580.0,0.0,1.0,29.156498245614,29.610526315789,29.047926315789,29.274940350877,1206580.0
2016-08-03,29.04,29.83,28.57,29.64,2360128.0,0.0,1.0,28.662989473684,29.442733333333,28.19909122807,29.2552,2360128.0
2016-08-02,30.56,30.62,29.215,29.24,3420780.0,0.0,1.0,30.163256140351,30.222477192982,28.83571754386,28.860392982456,3420780.0
2016-08-01,30.97,30.99,30.18,30.35,2887606.0,0.0,1.0,30.567933333333,30.587673684211,29.788189473684,29.95598245614,2887606.0
