Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,21.04,21.22,20.97,21.01,773781.0,0.0,1.0,21.04,21.22,20.97,21.01,773781.0
2016-11-16,20.94,21.09,20.81,20.95,743200.0,0.0,1.0,20.94,21.09,20.81,20.95,743200.0
2016-11-15,20.64,21.15,20.55,21.09,868943.0,0.0,1.0,20.64,21.15,20.55,21.09,868943.0
2016-11-14,21.5,21.67,20.5225,20.65,1351370.0,0.0,1.0,21.5,21.67,20.5225,20.65,1351370.0
2016-11-11,21.62,21.77,21.39,21.43,1019219.0,0.0,1.0,21.62,21.77,21.39,21.43,1019219.0
2016-11-10,21.61,22.47,21.24,21.56,1675908.0,0.0,1.0,21.61,22.47,21.24,21.56,1675908.0
2016-11-09,19.4,21.545,19.25,21.3,5331625.0,0.0,1.0,19.4,21.545,19.25,21.3,5331625.0
2016-11-08,22.45,22.8,22.31,22.33,1171742.0,0.0,1.0,22.45,22.8,22.31,22.33,1171742.0
2016-11-07,22.18,22.605,22.165,22.56,669356.0,0.0,1.0,22.18,22.605,22.165,22.56,669356.0
2016-11-04,21.28,22.08,21.28,21.88,1003610.0,0.0,1.0,21.28,22.08,21.28,21.88,1003610.0
2016-11-03,21.62,22.02,21.19,21.22,1112339.0,0.0,1.0,21.62,22.02,21.19,21.22,1112339.0
2016-11-02,21.55,21.79,21.52,21.59,439648.0,0.0,1.0,21.55,21.79,21.52,21.59,439648.0
2016-11-01,22.12,22.22,21.5614,21.64,636467.0,0.0,1.0,22.12,22.22,21.5614,21.64,636467.0
2016-10-31,22.14,22.21,21.96,22.13,803114.0,0.0,1.0,22.14,22.21,21.96,22.13,803114.0
2016-10-28,21.91,22.46,21.81,22.34,755133.0,0.0,1.0,21.91,22.46,21.81,22.34,755133.0
2016-10-27,21.96,22.32,21.84,21.9,1396896.0,0.0,1.0,21.96,22.32,21.84,21.9,1396896.0
2016-10-26,22.13,22.5,21.74,21.92,954745.0,0.0,1.0,22.13,22.5,21.74,21.92,954745.0
