Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,17.86,18.04,17.72,18.04,3811580.0,0.0,1.0,17.86,18.04,17.72,18.04,3811580.0
2016-11-16,17.31,17.89,17.31,17.82,2894681.0,0.0,1.0,17.31,17.89,17.31,17.82,2894681.0
2016-11-15,17.23,17.41,17.22,17.33,1098297.0,0.0,1.0,17.23,17.41,17.22,17.33,1098297.0
2016-11-14,17.26,17.56,17.15,17.25,1816517.0,0.0,1.0,17.26,17.56,17.15,17.25,1816517.0
2016-11-11,16.84,17.23,16.82,17.19,2346195.0,0.0,1.0,16.84,17.23,16.82,17.19,2346195.0
2016-11-10,16.92,17.19,16.65,16.95,2907936.0,0.0,1.0,16.92,17.19,16.65,16.95,2907936.0
2016-11-09,16.19,16.84,16.06,16.74,2689068.0,0.0,1.0,16.19,16.84,16.06,16.74,2689068.0
2016-11-08,16.71,16.9,16.63,16.82,1209696.0,0.0,1.0,16.71,16.9,16.63,16.82,1209696.0
2016-11-07,16.85,16.94,16.54,16.8,1793552.0,0.0,1.0,16.85,16.94,16.54,16.8,1793552.0
2016-11-04,16.48,16.72,16.38,16.54,1581014.0,0.0,1.0,16.48,16.72,16.38,16.54,1581014.0
2016-11-03,16.53,16.69,16.4064,16.48,1338349.0,0.0,1.0,16.53,16.69,16.4064,16.48,1338349.0
2016-11-02,16.6,16.675,16.39,16.51,2062291.0,0.0,1.0,16.6,16.675,16.39,16.51,2062291.0
2016-11-01,16.95,16.95,16.51,16.58,1413929.0,0.0,1.0,16.95,16.95,16.51,16.58,1413929.0
2016-10-31,16.76,16.97,16.75,16.91,1835656.0,0.0,1.0,16.76,16.97,16.75,16.91,1835656.0
2016-10-28,16.67,16.95,16.6,16.755,2290728.0,0.0,1.0,16.67,16.95,16.6,16.755,2290728.0
2016-10-27,16.96,16.97,16.64,16.73,2397275.0,0.0,1.0,16.96,16.97,16.64,16.73,2397275.0
2016-10-26,16.75,17.0,16.71,16.96,2450434.0,0.0,1.0,16.75,17.0,16.71,16.96,2450434.0
2016-10-25,16.93,17.0,16.63,16.76,2229761.0,0.0,1.0,16.93,17.0,16.63,16.76,2229761.0
2016-10-24,17.16,17.24,16.84,17.04,1945955.0,0.0,1.0,17.16,17.24,16.84,17.04,1945955.0
2016-10-21,17.0,17.1168,16.78,17.03,2554754.0,0.0,1.0,17.0,17.1168,16.78,17.03,2554754.0
2016-10-20,17.17,17.87,17.04,17.06,5187786.0,0.0,1.0,17.17,17.87,17.04,17.06,5187786.0
