Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,52.92,52.98,51.89,52.01,917975.0,0.0,1.0,52.92,52.98,51.89,52.01,917975.0
2016-11-16,52.59,52.7,52.2,52.65,841930.0,0.0,1.0,52.59,52.7,52.2,52.65,841930.0
2016-11-15,52.24,52.795,51.96,52.72,2154037.0,0.0,1.0,52.24,52.795,51.96,52.72,2154037.0
2016-11-14,50.025,52.48,50.025,52.24,2500236.0,0.0,1.0,50.025,52.48,50.025,52.24,2500236.0
2016-11-11,49.47,49.99,49.357,49.95,684228.0,0.0,1.0,49.47,49.99,49.357,49.95,684228.0
2016-11-10,49.2,49.98,49.16,49.47,1111854.0,0.0,1.0,49.2,49.98,49.16,49.47,1111854.0
2016-11-09,47.4,49.22,47.1,48.94,1009143.0,0.0,1.0,47.4,49.22,47.1,48.94,1009143.0
2016-11-08,47.7,48.46,47.41,48.17,830852.0,0.0,1.0,47.7,48.46,47.41,48.17,830852.0
2016-11-07,47.85,47.98,47.42,47.88,1196298.0,0.0,1.0,47.85,47.98,47.42,47.88,1196298.0
2016-11-04,47.35,47.78,46.8,47.01,2156560.0,0.0,1.0,47.35,47.78,46.8,47.01,2156560.0
2016-11-03,47.96,48.45,47.09,47.38,1400466.0,0.0,1.0,47.96,48.45,47.09,47.38,1400466.0
2016-11-02,48.98,48.98,48.02,48.12,1386680.0,0.0,1.0,48.98,48.98,48.02,48.12,1386680.0
2016-11-01,48.49,49.02,48.49,49.0,1316661.0,0.0,1.0,48.49,49.02,48.49,49.0,1316661.0
2016-10-31,47.89,48.41,47.88,48.36,864745.0,0.0,1.0,47.89,48.41,47.88,48.36,864745.0
2016-10-28,47.9,48.3958,47.55,47.87,1252486.0,0.0,1.0,47.9,48.3958,47.55,47.87,1252486.0
2016-10-27,50.2,50.4,47.61,47.85,1886537.0,0.0,1.0,50.2,50.4,47.61,47.85,1886537.0
2016-10-26,51.32,53.32,49.4201,49.75,4366262.0,0.0,1.0,51.32,53.32,49.4201,49.75,4366262.0
2016-10-25,49.0,49.55,48.69,49.51,2385458.0,0.0,1.0,49.0,49.55,48.69,49.51,2385458.0
2016-10-24,48.93,49.32,48.51,48.88,941897.0,0.0,1.0,48.93,49.32,48.51,48.88,941897.0
2016-10-21,48.12,48.7,47.69,48.6,747156.0,0.0,1.0,48.12,48.7,47.69,48.6,747156.0
2016-10-20,48.54,48.94,48.47,48.59,645995.0,0.0,1.0,48.54,48.94,48.47,48.59,645995.0
2016-10-19,48.65,48.89,48.36,48.59,560839.0,0.0,1.0,48.65,48.89,48.36,48.59,560839.0
2016-10-18,48.51,48.72,48.2,48.64,889010.0,0.0,1.0,48.51,48.72,48.2,48.64,889010.0
2016-10-17,48.27,48.27,47.655,47.88,766727.0,0.0,1.0,48.27,48.27,47.655,47.88,766727.0
2016-10-14,48.33,49.16,48.32,48.33,1033910.0,0.0,1.0,48.33,49.16,48.32,48.33,1033910.0
2016-10-13,47.73,48.14,46.95,47.98,1246835.0,0.0,1.0,47.73,48.14,46.95,47.98,1246835.0
2016-10-12,48.0,48.39,47.6,48.25,556342.0,0.0,1.0,48.0,48.39,47.6,48.25,556342.0
2016-10-11,48.58,48.58,47.8494,48.06,1174072.0,0.0,1.0,48.58,48.58,47.8494,48.06,1174072.0
2016-10-10,48.69,49.3,48.58,48.67,882977.0,0.0,1.0,48.69,49.3,48.58,48.67,882977.0
2016-10-07,48.78,49.44,48.225,48.54,1313656.0,0.0,1.0,48.78,49.44,48.225,48.54,1313656.0
2016-10-06,48.44,48.6,47.82,48.39,691746.0,0.0,1.0,48.44,48.6,47.82,48.39,691746.0
2016-10-05,48.2,48.54,47.952,48.47,794521.0,0.0,1.0,48.2,48.54,47.952,48.47,794521.0
2016-10-04,48.43,48.53,47.665,47.95,729936.0,0.0,1.0,48.43,48.53,47.665,47.95,729936.0
2016-10-03,47.66,48.31,47.55,48.24,1006518.0,0.0,1.0,47.66,48.31,47.55,48.24,1006518.0
2016-09-30,48.47,48.87,48.03,48.0997,1040267.0,0.0,1.0,48.47,48.87,48.03,48.0997,1040267.0
