Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,1.16,1.16,1.12,1.12,808886.0,0.0,1.0,1.16,1.16,1.12,1.12,808886.0
2016-11-16,1.16,1.17,1.1166,1.15,535255.0,0.0,1.0,1.16,1.17,1.1166,1.15,535255.0
2016-11-15,1.11,1.17,1.1,1.16,1618334.0,0.0,1.0,1.11,1.17,1.1,1.16,1618334.0
2016-11-14,1.03,1.1,1.0,1.08,633821.0,0.0,1.0,1.03,1.1,1.0,1.08,633821.0
2016-11-11,1.05,1.1,1.02,1.03,691563.0,0.0,1.0,1.05,1.1,1.02,1.03,691563.0
2016-11-10,1.0,1.06,0.9819,1.05,1201328.0,0.0,1.0,1.0,1.06,0.9819,1.05,1201328.0
2016-11-09,0.9601,1.02,0.95,0.9999,583758.0,0.0,1.0,0.9601,1.02,0.95,0.9999,583758.0
2016-11-08,0.9601,0.9821,0.94,0.9699,556583.0,0.0,1.0,0.9601,0.9821,0.94,0.9699,556583.0
2016-11-07,1.02,1.0299,0.95,0.96,840074.0,0.0,1.0,1.02,1.0299,0.95,0.96,840074.0
2016-11-04,0.9605,1.05,0.95,1.03,699779.0,0.0,1.0,0.9605,1.05,0.95,1.03,699779.0
2016-11-03,1.0,1.03,0.99,1.02,489619.0,0.0,1.0,1.0,1.03,0.99,1.02,489619.0
2016-11-02,1.01,1.0599,0.97,1.0,981527.0,0.0,1.0,1.01,1.0599,0.97,1.0,981527.0
2016-11-01,1.09,1.1,1.0,1.05,753213.0,0.0,1.0,1.09,1.1,1.0,1.05,753213.0
2016-10-31,1.1,1.1,1.045,1.08,729140.0,0.0,1.0,1.1,1.1,1.045,1.08,729140.0
2016-10-28,1.09,1.14,1.04,1.1,1019828.0,0.0,1.0,1.09,1.14,1.04,1.1,1019828.0
2016-10-27,1.12,1.19,1.09,1.12,805658.0,0.0,1.0,1.12,1.19,1.09,1.12,805658.0
2016-10-26,1.17,1.18,1.07,1.1,1515469.0,0.0,1.0,1.17,1.18,1.07,1.1,1515469.0
2016-10-25,1.33,1.33,1.17,1.17,1734725.0,0.0,1.0,1.33,1.33,1.17,1.17,1734725.0
2016-10-24,1.35,1.37,1.26,1.35,2305901.0,0.0,1.0,1.35,1.37,1.26,1.35,2305901.0
2016-10-21,1.34,1.385,1.32,1.35,3495112.0,0.0,1.0,1.34,1.385,1.32,1.35,3495112.0
2016-10-20,1.25,1.43,1.15,1.39,14368524.0,0.0,1.0,1.25,1.43,1.15,1.39,14368524.0
2016-10-19,1.08,1.14,1.04,1.11,3200908.0,0.0,1.0,1.08,1.14,1.04,1.11,3200908.0
2016-10-18,1.18,1.18,1.05,1.05,1178057.0,0.0,1.0,1.18,1.18,1.05,1.05,1178057.0
2016-10-17,1.19,1.19,1.06,1.16,1580859.0,0.0,1.0,1.19,1.19,1.06,1.16,1580859.0
2016-10-14,1.16,1.2,1.1,1.17,1715693.0,0.0,1.0,1.16,1.2,1.1,1.17,1715693.0
2016-10-13,1.05,1.23,1.021,1.15,3092381.0,0.0,1.0,1.05,1.23,1.021,1.15,3092381.0
2016-10-12,0.9901,1.08,0.9,1.08,2778145.0,0.0,1.0,0.9901,1.08,0.9,1.08,2778145.0
2016-10-11,1.05,1.07,0.98,0.9899,545465.0,0.0,1.0,1.05,1.07,0.98,0.9899,545465.0
2016-10-10,0.9801,1.05,0.9536,1.04,1821277.0,0.0,1.0,0.9801,1.05,0.9536,1.04,1821277.0
2016-10-07,0.939,0.99,0.92,0.9899,784302.0,0.0,1.0,0.939,0.99,0.92,0.9899,784302.0
2016-10-06,0.8701,0.9398,0.84,0.93,998473.0,0.0,1.0,0.8701,0.9398,0.84,0.93,998473.0
