Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-02-02,19.37,19.37,19.11,19.19,1719885.0,0.0,1.0,19.37,19.37,19.11,19.19,1719885.0
2015-01-30,19.39,19.42,19.21,19.42,607581.0,0.0,1.0,19.39,19.42,19.21,19.42,607581.0
2015-01-29,19.45,19.52,19.27,19.51,255384.0,0.0,1.0,19.45,19.52,19.27,19.51,255384.0
2015-01-28,19.5,19.56,19.41,19.41,200792.0,0.0,1.0,19.5,19.56,19.41,19.41,200792.0
2015-01-27,19.48,19.57,19.44,19.51,86881.0,0.0,1.0,19.48,19.57,19.44,19.51,86881.0
2015-01-26,19.37,19.595,19.37,19.59,123849.0,0.0,1.0,19.37,19.595,19.37,19.59,123849.0
2015-01-23,19.5,19.54,19.28,19.39,95801.0,0.0,1.0,19.5,19.54,19.28,19.39,95801.0
2015-01-22,19.51,19.56,19.36,19.55,125142.0,0.0,1.0,19.51,19.56,19.36,19.55,125142.0
2015-01-21,19.2,19.48,19.2,19.42,51260.0,0.0,1.0,19.2,19.48,19.2,19.42,51260.0
2015-01-20,19.27,19.34,19.13,19.21,88578.0,0.0,1.0,19.27,19.34,19.13,19.21,88578.0
2015-01-15,19.23,19.29,19.12,19.13,160870.0,0.0,1.0,19.23,19.29,19.12,19.13,160870.0
2015-01-14,19.18,19.27,19.06,19.26,185790.0,0.0,1.0,19.18,19.27,19.06,19.26,185790.0
2015-01-12,19.25,19.32,19.15,19.27,385940.0,0.0,1.0,19.25,19.32,19.15,19.27,385940.0
2015-01-09,19.21,19.43,19.21,19.26,143932.0,0.0,1.0,19.21,19.43,19.21,19.26,143932.0
2015-01-08,19.08,19.29,19.06,19.27,183421.0,0.0,1.0,19.08,19.29,19.06,19.27,183421.0
2015-01-07,18.86,19.11,18.84,19.06,314402.0,0.0,1.0,18.86,19.11,18.84,19.06,314402.0
2015-01-06,18.9,18.95,18.79,18.85,336336.0,0.0,1.0,18.9,18.95,18.79,18.85,336336.0
2015-01-05,18.88,18.97,18.8,18.9,329393.0,0.0,1.0,18.88,18.97,18.8,18.9,329393.0
2015-01-02,19.09,19.12,18.85,18.98,173851.0,0.0,1.0,19.09,19.12,18.85,18.98,173851.0
2014-12-31,19.11,19.16,19.04,19.05,124579.0,0.0,1.0,19.11,19.16,19.04,19.05,124579.0
2014-12-30,19.11,19.195,19.09,19.15,107815.0,0.0,1.0,19.11,19.195,19.09,19.15,107815.0
2014-12-29,19.16,19.24,19.08,19.15,91933.0,0.0,1.0,19.16,19.24,19.08,19.15,91933.0
2014-12-26,19.13,19.23,19.1,19.2,135247.0,0.0,1.0,19.13,19.23,19.1,19.2,135247.0
2014-12-24,19.14,19.14,19.01,19.07,59420.0,0.0,1.0,19.14,19.14,19.01,19.07,59420.0
2014-12-23,19.16,19.18,19.03,19.07,54219.0,0.0,1.0,19.16,19.18,19.03,19.07,54219.0
2014-12-22,19.04,19.19,19.04,19.15,155737.0,0.0,1.0,19.04,19.19,19.04,19.15,155737.0
2014-12-19,19.09,19.25,19.03,19.05,663367.0,0.0,1.0,19.09,19.25,19.03,19.05,663367.0
2014-12-18,19.15,19.24,19.09,19.15,134488.0,0.0,1.0,19.15,19.24,19.09,19.15,134488.0
2014-12-17,19.03,19.15,19.0,19.05,440102.0,0.0,1.0,19.03,19.15,19.0,19.05,440102.0
2014-12-16,19.11,19.15,18.97,18.97,156994.0,0.0,1.0,19.11,19.15,18.97,18.97,156994.0
2014-12-15,19.15,19.24,19.05,19.07,344437.0,0.0,1.0,19.15,19.24,19.05,19.07,344437.0
2014-12-12,18.92,19.22,18.92,19.05,291128.0,0.0,1.0,18.92,19.22,18.92,19.05,291128.0
2014-12-11,19.05,19.22,19.04,19.05,174503.0,0.0,1.0,19.05,19.22,19.04,19.05,174503.0
2014-12-10,19.2,19.23,18.96,19.03,314339.0,0.0,1.0,19.2,19.23,18.96,19.03,314339.0
2014-12-09,19.21,19.31,19.01,19.29,195706.0,0.0,1.0,19.21,19.31,19.01,19.29,195706.0
2014-12-08,19.3,19.44,19.13,19.19,146556.0,0.0,1.0,19.3,19.44,19.13,19.19,146556.0
2014-12-05,19.21,19.35,19.14,19.35,114735.0,0.0,1.0,19.21,19.35,19.14,19.35,114735.0
2014-12-04,19.27,19.33,19.074,19.24,109875.0,0.0,1.0,19.27,19.33,19.074,19.24,109875.0
2014-12-03,19.27,19.38,19.22,19.22,99393.0,0.0,1.0,19.27,19.38,19.22,19.22,99393.0
2014-12-02,19.37,19.44,19.17,19.22,219384.0,0.0,1.0,19.37,19.44,19.17,19.22,219384.0
2014-12-01,19.4,19.45,19.31,19.34,216106.0,0.0,1.0,19.4,19.45,19.31,19.34,216106.0
2014-11-28,19.41,19.47,19.33,19.41,60060.0,0.0,1.0,19.41,19.47,19.33,19.41,60060.0
2014-11-26,19.48,19.55,19.38,19.43,298925.0,0.0,1.0,19.48,19.55,19.38,19.43,298925.0
2014-11-25,19.56,19.58,19.39,19.46,219982.0,0.0,1.0,19.56,19.58,19.39,19.46,219982.0
2014-11-24,19.6,19.69,19.46,19.56,420431.0,0.0,1.0,19.6,19.69,19.46,19.56,420431.0
2014-11-21,19.77,19.77,19.52,19.56,265353.0,0.0,1.0,19.77,19.77,19.52,19.56,265353.0
2014-11-20,19.37,19.71,19.37,19.67,184454.0,0.0,1.0,19.37,19.71,19.37,19.67,184454.0
2014-11-19,19.45,19.62,19.34,19.42,126693.0,0.0,1.0,19.45,19.62,19.34,19.42,126693.0
2014-11-18,19.1,19.52,19.1,19.49,139324.0,0.0,1.0,19.1,19.52,19.1,19.49,139324.0
2014-11-17,19.36,19.36,19.1161,19.17,210667.0,0.0,1.0,19.36,19.36,19.1161,19.17,210667.0
2014-11-14,19.42,19.45,19.28,19.33,115095.0,0.0,1.0,19.42,19.45,19.28,19.33,115095.0
2014-11-13,19.44,19.54,19.32,19.41,137193.0,0.0,1.0,19.44,19.54,19.32,19.41,137193.0
2014-11-12,19.45,19.53,19.36,19.47,165617.0,0.0,1.0,19.45,19.53,19.36,19.47,165617.0
2014-11-11,19.53,19.63,19.39,19.44,154666.0,0.0,1.0,19.53,19.63,19.39,19.44,154666.0
2014-11-10,19.54,19.7172,19.45,19.66,234934.0,0.0,1.0,19.54,19.7172,19.45,19.66,234934.0
2014-11-07,19.58,19.63,19.49,19.56,350425.0,0.0,1.0,19.58,19.63,19.49,19.56,350425.0
2014-11-06,19.55,19.62,19.39,19.6,385767.0,0.0,1.0,19.55,19.62,19.39,19.6,385767.0
2014-11-05,19.44,19.65,19.31,19.55,299815.0,0.0,1.0,19.44,19.65,19.31,19.55,299815.0
2014-11-04,19.5,19.635,19.1,19.34,357601.0,0.0,1.0,19.5,19.635,19.1,19.34,357601.0
2014-11-03,19.63,19.9,19.55,19.57,234505.0,0.0,1.0,19.63,19.9,19.55,19.57,234505.0
2014-10-31,19.75,19.86,19.63,19.7,515989.0,0.0,1.0,19.75,19.86,19.63,19.7,515989.0
2014-10-30,19.52,19.71,19.485,19.64,258198.0,0.0,1.0,19.52,19.71,19.485,19.64,258198.0
2014-10-29,19.5,19.7,19.48,19.55,249509.0,0.0,1.0,19.5,19.7,19.48,19.55,249509.0
2014-10-28,19.39,19.63,19.32,19.585,289539.0,0.0,1.0,19.39,19.63,19.32,19.585,289539.0
2014-10-27,19.41,19.45,19.21,19.37,96946.0,0.0,1.0,19.41,19.45,19.21,19.37,96946.0
2014-10-24,19.45,19.49,19.32,19.47,92162.0,0.0,1.0,19.45,19.49,19.32,19.47,92162.0
2014-10-23,19.5,19.59,19.3,19.42,239370.0,0.0,1.0,19.5,19.59,19.3,19.42,239370.0
2014-10-22,19.4,19.59,19.33,19.42,211271.0,0.0,1.0,19.4,19.59,19.33,19.42,211271.0
2014-10-21,19.33,19.48,19.18,19.39,344444.0,0.0,1.0,19.33,19.48,19.18,19.39,344444.0
2014-10-20,19.25,19.405,19.2,19.39,336636.0,0.0,1.0,19.25,19.405,19.2,19.39,336636.0
2014-10-17,19.55,19.55,19.22,19.24,272870.0,0.0,1.0,19.55,19.55,19.22,19.24,272870.0
2014-10-16,19.23,19.55,19.11,19.42,450445.0,0.0,1.0,19.23,19.55,19.11,19.42,450445.0
2014-10-15,19.29,19.42,19.04,19.35,455558.0,0.0,1.0,19.29,19.42,19.04,19.35,455558.0
2014-10-14,19.42,19.49,19.25,19.33,396104.0,0.0,1.0,19.42,19.49,19.25,19.33,396104.0
2014-10-13,19.38,19.64,19.21,19.24,2257583.0,0.0,1.0,19.38,19.64,19.21,19.24,2257583.0
2014-10-10,19.33,19.65,19.33,19.46,2854207.0,0.0,1.0,19.33,19.65,19.33,19.46,2854207.0
2014-10-09,19.46,19.77,19.35,19.49,6607208.0,0.0,1.0,19.46,19.77,19.35,19.49,6607208.0
2014-10-08,16.57,16.78,16.3,16.71,195039.0,0.0,1.0,16.57,16.78,16.3,16.71,195039.0
2014-10-07,16.6,16.92,16.51,16.61,208887.0,0.0,1.0,16.6,16.92,16.51,16.61,208887.0
2014-10-06,16.72,16.87,16.64,16.72,159388.0,0.0,1.0,16.72,16.87,16.64,16.72,159388.0
2014-10-03,16.62,16.87,16.57,16.74,123899.0,0.0,1.0,16.62,16.87,16.57,16.74,123899.0
2014-10-01,16.79,17.0,16.42,16.69,258518.0,0.0,1.0,16.79,17.0,16.42,16.69,258518.0
2014-09-30,17.13,17.23,16.78,16.78,312196.0,0.0,1.0,17.13,17.23,16.78,16.78,312196.0
2014-09-29,17.06,17.39,16.93,17.19,597146.0,0.0,1.0,17.06,17.39,16.93,17.19,597146.0
2014-09-26,16.98,17.3601,16.92,17.2,175416.0,0.0,1.0,16.98,17.3601,16.92,17.2,175416.0
2014-09-25,17.1,17.27,16.77,17.01,190638.0,0.0,1.0,17.1,17.27,16.77,17.01,190638.0
2014-09-24,17.0,17.5575,16.9,17.08,403878.0,0.0,1.0,17.0,17.5575,16.9,17.08,403878.0
2014-09-23,17.3,17.582,16.71,16.92,246928.0,0.0,1.0,17.3,17.582,16.71,16.92,246928.0
2014-09-22,17.8,17.8,17.4,17.41,255195.0,0.0,1.0,17.8,17.8,17.4,17.41,255195.0
2014-09-19,17.91,18.15,17.65,17.87,897526.0,0.0,1.0,17.91,18.15,17.65,17.87,897526.0
2014-09-18,17.81,18.0,17.75,17.9,118721.0,0.0,1.0,17.81,18.0,17.75,17.9,118721.0
2014-09-17,17.97,18.07,17.84,17.84,203551.0,0.0,1.0,17.97,18.07,17.84,17.84,203551.0
2014-09-16,18.1,18.26,17.96,18.0,324436.0,0.0,1.0,18.1,18.26,17.96,18.0,324436.0
2014-09-15,18.22,18.48,17.98,18.13,508826.0,0.0,1.0,18.22,18.48,17.98,18.13,508826.0
2014-09-12,17.78,18.0,17.67,17.96,509757.0,0.0,1.0,17.78,18.0,17.67,17.96,509757.0
2014-09-11,17.83,17.99,17.66,17.8,555276.0,0.0,1.0,17.83,17.99,17.66,17.8,555276.0
2014-09-10,17.72,18.04,17.71,17.92,127367.0,0.0,1.0,17.72,18.04,17.71,17.92,127367.0
2014-09-09,17.86,18.01,17.7,17.77,92354.0,0.0,1.0,17.86,18.01,17.7,17.77,92354.0
2014-09-08,17.85,18.07,17.85,17.93,98171.0,0.0,1.0,17.85,18.07,17.85,17.93,98171.0
2014-09-05,17.63,17.98,17.61,17.8,78622.0,0.0,1.0,17.63,17.98,17.61,17.8,78622.0
2014-09-04,17.91,18.08,17.62,17.68,119136.0,0.0,1.0,17.91,18.08,17.62,17.68,119136.0
2014-09-03,17.97,18.0,17.734,17.83,188720.0,0.0,1.0,17.97,18.0,17.734,17.83,188720.0
2014-09-02,18.05,18.094,17.84,17.88,194264.0,0.0,1.0,18.05,18.094,17.84,17.88,194264.0
2014-08-29,17.77,18.1,17.6501,18.07,152644.0,0.0,1.0,17.77,18.1,17.6501,18.07,152644.0
2014-08-28,17.91,18.11,17.6,17.77,161918.0,0.0,1.0,17.91,18.11,17.6,17.77,161918.0
2014-08-27,17.94,18.13,17.66,17.77,216225.0,0.0,1.0,17.94,18.13,17.66,17.77,216225.0
2014-08-26,18.16,18.35,17.9,17.96,114559.0,0.0,1.0,18.16,18.35,17.9,17.96,114559.0
2014-08-25,18.32,18.45,17.51,18.06,336307.0,0.0,1.0,18.32,18.45,17.51,18.06,336307.0
2014-08-22,18.47,18.55,18.25,18.27,145857.0,0.0,1.0,18.47,18.55,18.25,18.27,145857.0
2014-08-21,18.44,18.6,18.22,18.44,97420.0,0.0,1.0,18.44,18.6,18.22,18.44,97420.0
2014-08-20,18.3,18.705,18.2,18.53,107429.0,0.0,1.0,18.3,18.705,18.2,18.53,107429.0
2014-08-19,18.73,18.76,18.11,18.44,346955.0,0.0,1.0,18.73,18.76,18.11,18.44,346955.0
2014-08-18,18.88,18.88,18.63,18.83,242572.0,0.0,1.0,18.88,18.88,18.63,18.83,242572.0
2014-08-15,18.58,18.93,18.3924,18.79,310406.0,0.0,1.0,18.58,18.93,18.3924,18.79,310406.0
2014-08-14,17.98,18.53,17.98,18.41,275664.0,0.0,1.0,17.98,18.53,17.98,18.41,275664.0
2014-08-13,17.65,18.23,17.57,18.0,237854.0,0.0,1.0,17.65,18.23,17.57,18.0,237854.0
2014-08-12,17.4,17.7,17.24,17.62,244967.0,0.0,1.0,17.4,17.7,17.24,17.62,244967.0
2014-08-11,18.28,18.41,17.375,17.42,1307696.0,0.0,1.0,18.28,18.41,17.375,17.42,1307696.0
2014-08-08,18.45,18.52,18.02,18.22,214241.0,0.0,1.0,18.45,18.52,18.02,18.22,214241.0
2014-08-07,18.45,18.5621,18.23,18.35,255959.0,0.0,1.0,18.45,18.5621,18.23,18.35,255959.0
2014-08-06,18.24,18.65,18.11,18.45,407219.0,0.0,1.0,18.24,18.65,18.11,18.45,407219.0
2014-08-05,18.5,18.5,18.08,18.23,273536.0,0.0,1.0,18.5,18.5,18.08,18.23,273536.0
