Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,58.55,59.62,57.77,58.38,378652.0,0.0,1.0,58.55,59.62,57.77,58.38,378652.0
2016-11-16,57.2,58.28,56.7,58.24,590659.0,0.0,1.0,57.2,58.28,56.7,58.24,590659.0
2016-11-15,60.0,60.32,57.82,57.88,959112.0,0.0,1.0,60.0,60.32,57.82,57.88,959112.0
2016-11-14,58.6,60.43,57.4334,60.09,756766.0,0.0,1.0,58.6,60.43,57.4334,60.09,756766.0
2016-11-11,55.07,57.69,55.07,57.53,748845.0,0.0,1.0,55.07,57.69,55.07,57.53,748845.0
2016-11-10,56.88,57.12,53.2103,55.01,864788.0,0.0,1.0,56.88,57.12,53.2103,55.01,864788.0
2016-11-09,51.74,57.14,50.5,53.2,1961778.0,0.0,1.0,51.74,57.14,50.5,53.2,1961778.0
2016-11-08,47.43,48.46,47.2483,47.97,140208.0,0.0,1.0,47.43,48.46,47.2483,47.97,140208.0
2016-11-07,47.62,48.48,47.44,47.68,231515.0,0.0,1.0,47.62,48.48,47.44,47.68,231515.0
2016-11-04,46.63,47.29,46.02,46.47,431266.0,0.0,1.0,46.63,47.29,46.02,46.47,431266.0
2016-11-03,46.58,47.13,45.86,46.53,260865.0,0.0,1.0,46.58,47.13,45.86,46.53,260865.0
2016-11-02,47.11,47.42,46.43,46.48,332168.0,0.0,1.0,47.11,47.42,46.43,46.48,332168.0
2016-11-01,49.67,49.9,47.12,47.22,398554.0,0.0,1.0,49.67,49.9,47.12,47.22,398554.0
2016-10-31,47.44,49.39,47.38,49.16,511856.0,0.0,1.0,47.44,49.39,47.38,49.16,511856.0
2016-10-28,43.0,47.45,43.0,47.26,890181.0,0.0,1.0,43.0,47.45,43.0,47.26,890181.0
2016-10-27,44.54,44.58,42.59,42.71,392492.0,0.0,1.0,44.54,44.58,42.59,42.71,392492.0
2016-10-26,43.64,44.52,43.14,44.36,299396.0,0.0,1.0,43.64,44.52,43.14,44.36,299396.0
2016-10-25,44.53,44.53,43.74,43.83,208205.0,0.0,1.0,44.53,44.53,43.74,43.83,208205.0
2016-10-24,44.2,44.75,43.46,44.49,253328.0,0.0,1.0,44.2,44.75,43.46,44.49,253328.0
2016-10-21,42.92,43.63,42.72,43.53,283631.0,0.0,1.0,42.92,43.63,42.72,43.53,283631.0
2016-10-20,43.52,43.78,43.3,43.41,307668.0,0.0,1.0,43.52,43.78,43.3,43.41,307668.0
2016-10-19,44.42,44.43,43.47,43.98,361215.0,0.0,1.0,44.42,44.43,43.47,43.98,361215.0
2016-10-18,45.72,45.72,43.905,44.57,220225.0,0.0,1.0,45.72,45.72,43.905,44.57,220225.0
2016-10-17,44.66,45.0,44.17,44.75,307203.0,0.0,1.0,44.66,45.0,44.17,44.75,307203.0
2016-10-14,45.76,46.08,44.61,44.71,233234.0,0.0,1.0,45.76,46.08,44.61,44.71,233234.0
2016-10-13,45.75,45.81,45.08,45.63,162542.0,0.0,1.0,45.75,45.81,45.08,45.63,162542.0
2016-10-12,46.4,46.4,45.69,46.39,127557.0,0.0,1.0,46.4,46.4,45.69,46.39,127557.0
2016-10-11,48.09,48.09,46.115,46.28,192984.0,0.0,1.0,48.09,48.09,46.115,46.28,192984.0
2016-10-10,48.76,49.61,48.34,48.45,174487.0,0.0,1.0,48.76,49.61,48.34,48.45,174487.0
2016-10-07,49.24,49.35,48.41,48.47,260953.0,0.0,1.0,49.24,49.35,48.41,48.47,260953.0
2016-10-06,49.06,49.4,48.35,49.09,139934.0,0.0,1.0,49.06,49.4,48.35,49.09,139934.0
2016-10-05,48.56,49.441,48.16,49.15,172072.0,0.0,1.0,48.56,49.441,48.16,49.15,172072.0
2016-10-04,48.39,48.88,47.83,48.17,211650.0,0.0,1.0,48.39,48.88,47.83,48.17,211650.0
