Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-04-24,20.83,20.97,20.76,20.8,257579.0,0.0,1.0,20.83,20.97,20.76,20.8,257579.0
2015-04-23,20.7,20.89,20.64,20.85,195289.0,0.0,1.0,20.7,20.89,20.64,20.85,195289.0
2015-04-22,20.5,20.81,20.33,20.77,308331.0,0.0,1.0,20.5,20.81,20.33,20.77,308331.0
2015-04-21,20.47,20.6,20.314,20.54,230353.0,0.0,1.0,20.47,20.6,20.314,20.54,230353.0
2015-04-20,20.57,20.78,20.32,20.39,396436.0,0.0,1.0,20.57,20.78,20.32,20.39,396436.0
2015-04-17,20.65,20.655,20.26,20.48,384749.0,0.0,1.0,20.65,20.655,20.26,20.48,384749.0
2015-04-16,20.8,21.01,20.71,20.74,330706.0,0.0,1.0,20.8,21.01,20.71,20.74,330706.0
2015-04-15,21.42,21.47,20.85,20.88,534749.0,0.0,1.0,21.42,21.47,20.85,20.88,534749.0
2015-04-14,21.31,21.59,21.31,21.39,541135.0,0.0,1.0,21.31,21.59,21.31,21.39,541135.0
2015-04-13,21.53,21.61,21.28,21.33,523716.0,0.0,1.0,21.53,21.61,21.28,21.33,523716.0
2015-04-10,22.7,22.7,20.52,21.55,2224440.0,0.0,1.0,22.7,22.7,20.52,21.55,2224440.0
2015-04-09,22.92,23.08,22.59,22.76,297373.0,0.0,1.0,22.92,23.08,22.59,22.76,297373.0
2015-04-08,22.9,23.02,22.8,22.97,754204.0,0.0,1.0,22.9,23.02,22.8,22.97,754204.0
2015-04-07,23.03,23.2,22.87,22.9,545434.0,0.0,1.0,23.03,23.2,22.87,22.9,545434.0
2015-04-06,22.88,23.11,22.8,23.05,847460.0,0.0,1.0,22.88,23.11,22.8,23.05,847460.0
2015-04-02,23.03,23.26,22.85,22.92,818591.0,0.0,1.0,23.03,23.26,22.85,22.92,818591.0
2015-04-01,23.23,23.28,22.91,23.01,579162.0,0.0,1.0,23.23,23.28,22.91,23.01,579162.0
2015-03-31,23.09,23.39,22.94,23.19,662626.0,0.0,1.0,23.09,23.39,22.94,23.19,662626.0
2015-03-30,23.0,23.27,22.96,23.06,500406.0,0.0,1.0,23.0,23.27,22.96,23.06,500406.0
2015-03-27,22.85,23.04,22.77,22.92,409849.0,0.0,1.0,22.85,23.04,22.77,22.92,409849.0
2015-03-26,22.91,22.93,22.6683,22.82,353445.0,0.0,1.0,22.91,22.93,22.6683,22.82,353445.0
2015-03-25,22.87,23.03,22.78,22.92,781824.0,0.0,1.0,22.87,23.03,22.78,22.92,781824.0
2015-03-24,22.29,22.87,22.24,22.85,499500.0,0.0,1.0,22.29,22.87,22.24,22.85,499500.0
2015-03-23,22.08,22.35,22.06,22.27,305580.0,0.0,1.0,22.08,22.35,22.06,22.27,305580.0
2015-03-20,21.95,22.3,21.9,22.12,583740.0,0.0,1.0,21.95,22.3,21.9,22.12,583740.0
2015-03-19,21.85,21.95,21.7,21.83,372362.0,0.0,1.0,21.85,21.95,21.7,21.83,372362.0
2015-03-18,21.8,22.0,21.58,21.85,389632.0,0.0,1.0,21.8,22.0,21.58,21.85,389632.0
2015-03-17,21.59,21.85,21.56,21.78,422002.0,0.0,1.0,21.59,21.85,21.56,21.78,422002.0
2015-03-16,21.7,22.01,21.55,21.58,418157.0,0.0,1.0,21.7,22.01,21.55,21.58,418157.0
2015-03-13,21.44,21.67,21.26,21.62,365535.0,0.0,1.0,21.44,21.67,21.26,21.62,365535.0
2015-03-12,21.39,21.61,21.08,21.36,513517.0,0.0,1.0,21.39,21.61,21.08,21.36,513517.0
2015-03-11,20.5,21.5,20.5,21.23,949604.0,0.0,1.0,20.5,21.5,20.5,21.23,949604.0
2015-03-10,20.07,20.58,20.07,20.51,863534.0,0.0,1.0,20.07,20.58,20.07,20.51,863534.0
2015-03-09,20.03,20.27,20.01,20.21,287030.0,0.0,1.0,20.03,20.27,20.01,20.21,287030.0
2015-03-06,19.95,20.2,19.79,19.95,654908.0,0.0,1.0,19.95,20.2,19.79,19.95,654908.0
2015-03-05,19.46,19.98,19.3,19.91,566449.0,0.0,1.0,19.46,19.98,19.3,19.91,566449.0
2015-03-04,19.24,19.45,19.18,19.32,474471.0,0.0,1.0,19.24,19.45,19.18,19.32,474471.0
2015-03-03,19.39,19.51,19.0947,19.35,166623.0,0.0,1.0,19.39,19.51,19.0947,19.35,166623.0
2015-03-02,19.26,19.62,19.25,19.48,210167.0,0.0,1.0,19.26,19.62,19.25,19.48,210167.0
2015-02-27,19.26,19.44,19.25,19.3,190857.0,0.0,1.0,19.26,19.44,19.25,19.3,190857.0
2015-02-26,19.24,19.39,19.13,19.34,186856.0,0.0,1.0,19.24,19.39,19.13,19.34,186856.0
2015-02-25,19.11,19.33,19.11,19.22,234098.0,0.0,1.0,19.11,19.33,19.11,19.22,234098.0
2015-02-24,19.21,19.26,19.0,19.17,196390.0,0.0,1.0,19.21,19.26,19.0,19.17,196390.0
2015-02-23,19.1,19.19,18.92,19.15,450601.0,0.0,1.0,19.1,19.19,18.92,19.15,450601.0
2015-02-20,18.91,19.09,18.88,19.06,1160588.0,0.0,1.0,18.91,19.09,18.88,19.06,1160588.0
2015-02-19,18.97,19.13,18.82,19.07,313801.0,0.0,1.0,18.97,19.13,18.82,19.07,313801.0
2015-02-18,19.0,19.06,18.85,18.96,341769.0,0.0,1.0,19.0,19.06,18.85,18.96,341769.0
2015-02-17,18.9,19.08,18.78,18.9,372250.0,0.0,1.0,18.9,19.08,18.78,18.9,372250.0
2015-02-13,18.67,18.97,18.77,18.91,369304.0,0.0,1.0,18.67,18.97,18.77,18.91,369304.0
2015-02-12,18.92,18.97,18.65,18.8,541722.0,0.0,1.0,18.92,18.97,18.65,18.8,541722.0
2015-02-11,18.69,18.9,18.5,18.72,594841.0,0.0,1.0,18.69,18.9,18.5,18.72,594841.0
2015-02-10,18.69,18.78,18.49,18.6,497920.0,0.0,1.0,18.69,18.78,18.49,18.6,497920.0
2015-02-09,18.53,18.92,18.43,18.47,444845.0,0.0,1.0,18.53,18.92,18.43,18.47,444845.0
2015-02-06,18.58,18.93,18.55,18.68,840402.0,0.0,1.0,18.58,18.93,18.55,18.68,840402.0
2015-02-05,18.47,18.66,18.24,18.62,578421.0,0.0,1.0,18.47,18.66,18.24,18.62,578421.0
2015-02-04,18.19,18.69,18.17,18.48,768497.0,0.0,1.0,18.19,18.69,18.17,18.48,768497.0
2015-02-03,17.64,18.21,17.58,18.17,968479.0,0.0,1.0,17.64,18.21,17.58,18.17,968479.0
2015-02-02,16.97,17.8,16.85,17.4,838351.0,0.0,1.0,16.97,17.8,16.85,17.4,838351.0
2015-01-30,16.9,17.21,16.71,16.8,663786.0,0.0,1.0,16.9,17.21,16.71,16.8,663786.0
2015-01-29,16.8,17.24,16.8,17.09,213183.0,0.0,1.0,16.8,17.24,16.8,17.09,213183.0
2015-01-28,17.4,17.53,16.98,17.01,203490.0,0.0,1.0,17.4,17.53,16.98,17.01,203490.0
2015-01-27,17.35,17.43,17.3,17.36,161617.0,0.0,1.0,17.35,17.43,17.3,17.36,161617.0
2015-01-26,17.79,17.83,17.42,17.55,261970.0,0.0,1.0,17.79,17.83,17.42,17.55,261970.0
2015-01-23,17.75,17.9,17.5,17.77,721074.0,0.0,1.0,17.75,17.9,17.5,17.77,721074.0
2015-01-22,17.32,17.79,17.132,17.69,297517.0,0.0,1.0,17.32,17.79,17.132,17.69,297517.0
2015-01-21,17.24,17.45,17.05,17.17,255903.0,0.0,1.0,17.24,17.45,17.05,17.17,255903.0
2015-01-20,17.35,17.33,17.0401,17.22,247116.0,0.0,1.0,17.35,17.33,17.0401,17.22,247116.0
2015-01-16,17.13,17.31,16.93,17.27,202435.0,0.0,1.0,17.13,17.31,16.93,17.27,202435.0
2015-01-15,17.98,18.41,17.07,17.17,260656.0,0.0,1.0,17.98,18.41,17.07,17.17,260656.0
2015-01-14,17.25,17.38,17.035,17.2,129826.0,0.0,1.0,17.25,17.38,17.035,17.2,129826.0
2015-01-13,17.4,17.58,17.08,17.39,154414.0,0.0,1.0,17.4,17.58,17.08,17.39,154414.0
2015-01-12,17.3,17.48,17.08,17.26,229077.0,0.0,1.0,17.3,17.48,17.08,17.26,229077.0
2015-01-08,17.3,17.64,17.25,17.29,271370.0,0.0,1.0,17.3,17.64,17.25,17.29,271370.0
2015-01-06,17.85,18.05,17.27,17.51,174365.0,0.0,1.0,17.85,18.05,17.27,17.51,174365.0
2015-01-05,18.04,18.19,17.71,17.92,141199.0,0.0,1.0,18.04,18.19,17.71,17.92,141199.0
2015-01-02,18.495,18.545,18.11,18.15,204471.0,0.0,1.0,18.495,18.545,18.11,18.15,204471.0
2014-12-31,18.57,18.75,18.28,18.3,190015.0,0.0,1.0,18.57,18.75,18.28,18.3,190015.0
2014-12-30,18.41,18.55,18.0747,18.43,115241.0,0.0,1.0,18.41,18.55,18.0747,18.43,115241.0
2014-12-29,18.33,18.49,18.23,18.38,129924.0,0.0,1.0,18.33,18.49,18.23,18.38,129924.0
2014-12-26,18.14,18.38,18.1,18.34,92574.0,0.0,1.0,18.14,18.38,18.1,18.34,92574.0
2014-12-24,18.07,18.2,17.88,18.2,81181.0,0.0,1.0,18.07,18.2,17.88,18.2,81181.0
2014-12-23,17.55,18.17,17.55,17.92,258915.0,0.0,1.0,17.55,18.17,17.55,17.92,258915.0
2014-12-22,17.48,17.72,17.32,17.62,220402.0,0.0,1.0,17.48,17.72,17.32,17.62,220402.0
2014-12-19,17.42,17.65,17.12,17.51,1053945.0,0.0,1.0,17.42,17.65,17.12,17.51,1053945.0
2014-12-18,17.17,17.64,17.13,17.38,219932.0,0.0,1.0,17.17,17.64,17.13,17.38,219932.0
2014-12-17,16.49,17.0,16.24,16.99,257490.0,0.0,1.0,16.49,17.0,16.24,16.99,257490.0
2014-12-16,16.2,16.84,16.2,16.5,249330.0,0.0,1.0,16.2,16.84,16.2,16.5,249330.0
2014-12-15,16.63,16.64,16.2,16.23,238128.0,0.0,1.0,16.63,16.64,16.2,16.23,238128.0
2014-12-12,16.96,17.04,16.4,16.53,259099.0,0.0,1.0,16.96,17.04,16.4,16.53,259099.0
2014-12-11,17.32,17.45,17.09,17.19,278008.0,0.0,1.0,17.32,17.45,17.09,17.19,278008.0
2014-12-10,17.45,17.56,17.1101,17.29,324621.0,0.0,1.0,17.45,17.56,17.1101,17.29,324621.0
2014-12-09,16.54,17.5,16.47,17.49,245067.0,0.0,1.0,16.54,17.5,16.47,17.49,245067.0
2014-12-08,16.84,17.16,16.675,16.72,105045.0,0.0,1.0,16.84,17.16,16.675,16.72,105045.0
2014-12-05,16.67,17.0,16.67,16.94,164727.0,0.0,1.0,16.67,17.0,16.67,16.94,164727.0
2014-12-04,16.89,16.93,16.56,16.68,158043.0,0.0,1.0,16.89,16.93,16.56,16.68,158043.0
2014-12-03,16.73,17.15,16.73,16.92,201613.0,0.0,1.0,16.73,17.15,16.73,16.92,201613.0
2014-12-02,16.45,16.86,16.3051,16.77,158684.0,0.0,1.0,16.45,16.86,16.3051,16.77,158684.0
2014-12-01,16.56,16.68,16.39,16.41,207967.0,0.0,1.0,16.56,16.68,16.39,16.41,207967.0
2014-11-28,17.0,17.106,16.65,16.7,74608.0,0.0,1.0,17.0,17.106,16.65,16.7,74608.0
2014-11-26,16.88,17.03,16.84,16.94,170754.0,0.0,1.0,16.88,17.03,16.84,16.94,170754.0
2014-11-25,16.94,17.15,16.88,16.92,98650.0,0.0,1.0,16.94,17.15,16.88,16.92,98650.0
2014-11-24,16.71,16.95,16.63,16.92,175635.0,0.0,1.0,16.71,16.95,16.63,16.92,175635.0
2014-11-21,16.82,16.88,16.59,16.71,331443.0,0.0,1.0,16.82,16.88,16.59,16.71,331443.0
2014-11-20,16.34,16.56,16.3,16.54,157391.0,0.0,1.0,16.34,16.56,16.3,16.54,157391.0
2014-11-19,16.45,16.54,16.24,16.41,135658.0,0.0,1.0,16.45,16.54,16.24,16.41,135658.0
2014-11-18,16.33,16.56,16.23,16.5,151253.0,0.0,1.0,16.33,16.56,16.23,16.5,151253.0
2014-11-17,16.35,16.45,16.205,16.22,144120.0,0.0,1.0,16.35,16.45,16.205,16.22,144120.0
2014-11-14,16.65,16.7399,16.39,16.41,184730.0,0.0,1.0,16.65,16.7399,16.39,16.41,184730.0
2014-11-13,16.74,16.89,16.665,16.68,172447.0,0.0,1.0,16.74,16.89,16.665,16.68,172447.0
2014-11-12,16.61,16.81,16.54,16.76,154322.0,0.0,1.0,16.61,16.81,16.54,16.76,154322.0
2014-11-11,16.82,16.86,16.53,16.71,286637.0,0.0,1.0,16.82,16.86,16.53,16.71,286637.0
2014-11-10,16.8,16.85,16.68,16.81,204898.0,0.0,1.0,16.8,16.85,16.68,16.81,204898.0
2014-11-07,16.83,16.85,16.7,16.83,221894.0,0.0,1.0,16.83,16.85,16.7,16.83,221894.0
2014-11-06,16.88,16.91,16.7,16.8,2517536.0,0.0,1.0,16.88,16.91,16.7,16.8,2517536.0
2014-11-05,17.01,17.1,16.66,16.85,335703.0,0.0,1.0,17.01,17.1,16.66,16.85,335703.0
2014-11-04,16.96,17.22,16.82,16.94,174279.0,0.0,1.0,16.96,17.22,16.82,16.94,174279.0
2014-11-03,17.08,17.21,16.85,17.0,429521.0,0.0,1.0,17.08,17.21,16.85,17.0,429521.0
2014-10-31,17.01,17.0,16.65,16.96,386853.0,0.0,1.0,17.01,17.0,16.65,16.96,386853.0
2014-10-30,16.31,16.7,16.28,16.64,329514.0,0.0,1.0,16.31,16.7,16.28,16.64,329514.0
2014-10-29,16.4,16.7,15.75,16.26,1483666.0,0.0,1.0,16.4,16.7,15.75,16.26,1483666.0
2014-10-28,16.98,17.21,16.91,17.18,672116.0,0.0,1.0,16.98,17.21,16.91,17.18,672116.0
2014-10-27,16.64,16.87,16.5,16.84,223212.0,0.0,1.0,16.64,16.87,16.5,16.84,223212.0
2014-10-24,16.77,16.87,16.595,16.85,239169.0,0.0,1.0,16.77,16.87,16.595,16.85,239169.0
2014-10-23,16.4,16.837,16.34,16.69,1564846.0,0.0,1.0,16.4,16.837,16.34,16.69,1564846.0
2014-10-22,16.65,16.74,16.29,16.35,3524537.0,0.0,1.0,16.65,16.74,16.29,16.35,3524537.0
2014-10-21,16.32,16.72,16.25,16.67,312418.0,0.0,1.0,16.32,16.72,16.25,16.67,312418.0
2014-10-20,16.48,16.54,16.09,16.17,378637.0,0.0,1.0,16.48,16.54,16.09,16.17,378637.0
2014-10-17,16.14,16.715,16.19,16.54,631246.0,0.0,1.0,16.14,16.715,16.19,16.54,631246.0
2014-10-16,15.81,16.17,15.73,16.03,372291.0,0.0,1.0,15.81,16.17,15.73,16.03,372291.0
2014-10-15,15.65,16.07,15.34,15.94,786618.0,0.0,1.0,15.65,16.07,15.34,15.94,786618.0
2014-10-14,15.84,16.13,15.73,15.88,569646.0,0.0,1.0,15.84,16.13,15.73,15.88,569646.0
2014-10-13,15.17,15.77,15.11,15.62,963735.0,0.0,1.0,15.17,15.77,15.11,15.62,963735.0
2014-10-10,15.35,15.53,15.12,15.17,336152.0,0.0,1.0,15.35,15.53,15.12,15.17,336152.0
