Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,37.77,39.205,36.72,36.88,102781.0,0.0,1.0,37.77,39.205,36.72,36.88,102781.0
2016-11-16,40.02,40.95,37.53,37.84,155275.0,0.0,1.0,40.02,40.95,37.53,37.84,155275.0
2016-11-15,42.21,43.215,38.56,43.13,107687.0,0.0,1.0,42.21,43.215,38.56,43.13,107687.0
2016-11-14,42.43,43.01,41.245,42.65,110748.0,0.0,1.0,42.43,43.01,41.245,42.65,110748.0
2016-11-11,39.67,41.85,39.06,41.69,115697.0,0.0,1.0,39.67,41.85,39.06,41.69,115697.0
2016-11-10,37.64,39.92,37.05,39.64,75608.0,0.0,1.0,37.64,39.92,37.05,39.64,75608.0
2016-11-09,33.42,36.97,33.0,36.86,57370.0,0.0,1.0,33.42,36.97,33.0,36.86,57370.0
2016-11-08,33.0,33.7,32.85,33.12,57779.0,0.0,1.0,33.0,33.7,32.85,33.12,57779.0
2016-11-07,33.21,33.77,32.54,33.0,72049.0,0.0,1.0,33.21,33.77,32.54,33.0,72049.0
2016-11-04,31.88,33.03,31.78,32.51,124119.0,0.0,1.0,31.88,33.03,31.78,32.51,124119.0
2016-11-03,31.05,32.01,31.0201,31.93,36838.0,0.0,1.0,31.05,32.01,31.0201,31.93,36838.0
2016-11-02,31.38,32.01,31.04,31.14,70020.0,0.0,1.0,31.38,32.01,31.04,31.14,70020.0
2016-11-01,32.2,32.74,31.16,31.2,66974.0,0.0,1.0,32.2,32.74,31.16,31.2,66974.0
2016-10-31,32.05,32.4,31.54,32.17,84282.0,0.0,1.0,32.05,32.4,31.54,32.17,84282.0
2016-10-28,32.57,32.92,31.92,31.94,71401.0,0.0,1.0,32.57,32.92,31.92,31.94,71401.0
2016-10-27,32.94,32.94,32.0,32.71,207444.0,0.0,1.0,32.94,32.94,32.0,32.71,207444.0
2016-10-26,33.42,33.43,32.69,32.75,41759.0,0.0,1.0,33.42,33.43,32.69,32.75,41759.0
2016-10-25,35.01,35.08,32.605,33.46,48492.0,0.0,1.0,35.01,35.08,32.605,33.46,48492.0
2016-10-24,36.09,36.09,34.93,35.04,71847.0,0.0,1.0,36.09,36.09,34.93,35.04,71847.0
