Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,38.3,39.05,38.3,39.0,201197.0,0.0,1.0,38.3,39.05,38.3,39.0,201197.0
2016-11-16,38.35,38.45,38.15,38.35,225327.0,0.0,1.0,38.35,38.45,38.15,38.35,225327.0
2016-11-15,39.05,39.1,38.075,38.45,211635.0,0.0,1.0,39.05,39.1,38.075,38.45,211635.0
2016-11-14,38.9,40.055,38.5,39.55,369235.0,0.0,1.0,38.9,40.055,38.5,39.55,369235.0
2016-11-11,37.1,38.8,36.95,38.35,518987.0,0.0,1.0,37.1,38.8,36.95,38.35,518987.0
2016-11-10,35.75,37.15,35.45,37.0,378417.0,0.0,1.0,35.75,37.15,35.45,37.0,378417.0
2016-11-09,34.6,35.15,34.2,35.15,257692.0,0.0,1.0,34.6,35.15,34.2,35.15,257692.0
2016-11-08,33.7,34.35,33.7,34.1,150509.0,0.0,1.0,33.7,34.35,33.7,34.1,150509.0
2016-11-07,33.6,34.15,33.6,33.9,227251.0,0.0,1.0,33.6,34.15,33.6,33.9,227251.0
2016-11-04,33.7,34.15,33.3,33.3,224791.0,0.0,1.0,33.7,34.15,33.3,33.3,224791.0
2016-11-03,34.75,34.8,33.8,33.85,242847.0,0.0,1.0,34.75,34.8,33.8,33.85,242847.0
2016-11-02,35.5,35.9,34.85,34.9,400328.0,0.0,1.0,35.5,35.9,34.85,34.9,400328.0
2016-11-01,35.6,38.1,35.6,36.1,168636.0,0.0,1.0,35.6,38.1,35.6,36.1,168636.0
2016-10-31,35.6,36.1,35.3,35.95,200047.0,0.0,1.0,35.6,36.1,35.3,35.95,200047.0
2016-10-28,35.6,35.9,35.3,35.6,116449.0,0.0,1.0,35.6,35.9,35.3,35.6,116449.0
2016-10-27,36.3,36.3,35.6,35.65,165474.0,0.0,1.0,36.3,36.3,35.6,35.65,165474.0
2016-10-26,36.55,36.8,35.95,36.05,176437.0,0.0,1.0,36.55,36.8,35.95,36.05,176437.0
2016-10-25,36.95,36.95,36.4,36.6,52712.0,0.0,1.0,36.95,36.95,36.4,36.6,52712.0
2016-10-24,36.5,37.05,36.475,37.05,95668.0,0.0,1.0,36.5,37.05,36.475,37.05,95668.0
2016-10-21,36.2,36.35,36.1,36.25,144142.0,0.0,1.0,36.2,36.35,36.1,36.25,144142.0
2016-10-20,37.25,37.3,36.55,36.6,88744.0,0.0,1.0,37.25,37.3,36.55,36.6,88744.0
2016-10-19,37.6,37.6,37.15,37.3,107985.0,0.0,1.0,37.6,37.6,37.15,37.3,107985.0
2016-10-18,37.85,37.995,37.3,37.5,87153.0,0.0,1.0,37.85,37.995,37.3,37.5,87153.0
2016-10-17,37.7,37.75,37.375,37.45,62289.0,0.0,1.0,37.7,37.75,37.375,37.45,62289.0
2016-10-14,37.63,37.7925,37.43,37.55,89363.0,0.0,1.0,37.63,37.7925,37.43,37.55,89363.0
2016-10-13,37.27,37.455,37.12,37.22,142709.0,0.0,1.0,37.27,37.455,37.12,37.22,142709.0
