Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,28.7,29.025,28.25,28.9,339049.0,0.0,1.0,28.7,29.025,28.25,28.9,339049.0
2016-11-16,26.9,28.85,26.9,28.7,453159.0,0.0,1.0,26.9,28.85,26.9,28.7,453159.0
2016-11-15,26.65,27.35,26.35,26.9,394063.0,0.0,1.0,26.65,27.35,26.35,26.9,394063.0
2016-11-14,27.0,27.5,25.95,26.65,296151.0,0.0,1.0,27.0,27.5,25.95,26.65,296151.0
2016-11-11,28.15,28.3,27.25,27.45,361906.0,0.0,1.0,28.15,28.3,27.25,27.45,361906.0
2016-11-10,27.25,28.55,27.05,28.25,379968.0,0.0,1.0,27.25,28.55,27.05,28.25,379968.0
2016-11-09,27.2,27.38,26.475,26.95,385314.0,0.0,1.0,27.2,27.38,26.475,26.95,385314.0
2016-11-08,28.0,28.0,26.95,27.05,158452.0,0.0,1.0,28.0,28.0,26.95,27.05,158452.0
2016-11-07,27.4,28.25,27.225,28.0,245455.0,0.0,1.0,27.4,28.25,27.225,28.0,245455.0
2016-11-04,26.8,27.35,26.8,27.05,260759.0,0.0,1.0,26.8,27.35,26.8,27.05,260759.0
2016-11-03,27.0,27.35,26.75,26.85,224077.0,0.0,1.0,27.0,27.35,26.75,26.85,224077.0
2016-11-02,26.95,27.0,26.45,26.85,130803.0,0.0,1.0,26.95,27.0,26.45,26.85,130803.0
2016-11-01,27.5,27.55,26.8,26.95,146669.0,0.0,1.0,27.5,27.55,26.8,26.95,146669.0
2016-10-31,27.3,27.6,26.9,27.55,185689.0,0.0,1.0,27.3,27.6,26.9,27.55,185689.0
2016-10-28,26.9,27.24,26.5,26.85,185644.0,0.0,1.0,26.9,27.24,26.5,26.85,185644.0
2016-10-27,28.2,28.6,26.65,26.75,170044.0,0.0,1.0,28.2,28.6,26.65,26.75,170044.0
2016-10-26,26.5,28.45,26.5,28.2,435598.0,0.0,1.0,26.5,28.45,26.5,28.2,435598.0
2016-10-25,26.0,27.25,25.5,27.15,471467.0,0.0,1.0,26.0,27.25,25.5,27.15,471467.0
2016-10-24,24.55,24.9,24.55,24.9,101972.0,0.0,1.0,24.55,24.9,24.55,24.9,101972.0
2016-10-21,24.22,24.47,24.2,24.33,53155.0,0.0,1.0,24.22,24.47,24.2,24.33,53155.0
2016-10-20,24.72,24.92,24.39,24.45,75922.0,0.0,1.0,24.72,24.92,24.39,24.45,75922.0
2016-10-19,24.56,24.82,24.55,24.81,61414.0,0.0,1.0,24.56,24.82,24.55,24.81,61414.0
2016-10-18,24.9,24.9,24.5,24.56,74138.0,0.0,1.0,24.9,24.9,24.5,24.56,74138.0
2016-10-17,24.57,24.73,24.38,24.64,83591.0,0.0,1.0,24.57,24.73,24.38,24.64,83591.0
2016-10-14,24.77,24.9,24.48,24.51,92006.0,0.0,1.0,24.77,24.9,24.48,24.51,92006.0
2016-10-13,24.69,24.79,24.49,24.58,68890.0,0.0,1.0,24.69,24.79,24.49,24.58,68890.0
2016-10-12,24.74,25.22,24.03,24.94,110922.0,0.0,1.0,24.74,25.22,24.03,24.94,110922.0
2016-10-11,24.9,24.95,24.45,24.73,252361.0,0.0,1.0,24.9,24.95,24.45,24.73,252361.0
2016-10-10,25.0,25.26,24.89,24.9,185224.0,0.0,1.0,25.0,25.26,24.89,24.9,185224.0
2016-10-07,25.2,25.21,24.9,24.97,145880.0,0.0,1.0,25.2,25.21,24.9,24.97,145880.0
2016-10-06,25.51,25.51,25.16,25.19,58183.0,0.0,1.0,25.51,25.51,25.16,25.19,58183.0
2016-10-05,25.7,25.82,25.47,25.48,59114.0,0.0,1.0,25.7,25.82,25.47,25.48,59114.0
2016-10-04,25.34,25.64,25.34,25.63,79393.0,0.0,1.0,25.34,25.64,25.34,25.63,79393.0
2016-10-03,24.85,25.37,24.85,25.34,122033.0,0.0,1.0,24.85,25.37,24.85,25.34,122033.0
2016-09-30,24.96,25.2094,24.85,25.06,102848.0,0.0,1.0,24.96,25.2094,24.85,25.06,102848.0
2016-09-29,25.29,25.38,24.85,24.85,84708.0,0.0,1.0,25.29,25.38,24.85,24.85,84708.0
2016-09-28,25.15,25.45,24.92,25.43,129080.0,0.0,1.0,25.15,25.45,24.92,25.43,129080.0
2016-09-27,24.79,25.04,24.75,24.94,217841.0,0.0,1.0,24.79,25.04,24.75,24.94,217841.0
2016-09-26,24.91,25.18,24.32,24.96,150468.0,0.0,1.0,24.91,25.18,24.32,24.96,150468.0
2016-09-23,25.63,25.71,25.17,25.18,196392.0,0.0,1.0,25.63,25.71,25.17,25.18,196392.0
2016-09-22,25.71,25.88,25.44,25.79,185782.0,0.0,1.0,25.71,25.88,25.44,25.79,185782.0
2016-09-21,25.77,25.99,25.39,25.5,108888.0,0.0,1.0,25.77,25.99,25.39,25.5,108888.0
2016-09-20,25.7,25.82,25.51,25.77,106362.0,0.0,1.0,25.7,25.82,25.51,25.77,106362.0
2016-09-19,25.57,25.96,25.37,25.5,109329.0,0.0,1.0,25.57,25.96,25.37,25.5,109329.0
2016-09-16,25.25,25.28,25.08,25.18,213555.0,0.0,1.0,25.25,25.28,25.08,25.18,213555.0
2016-09-15,25.08,25.43,25.08,25.36,92360.0,0.0,1.0,25.08,25.43,25.08,25.36,92360.0
2016-09-14,25.01,25.43,25.0,25.03,176672.0,0.0,1.0,25.01,25.43,25.0,25.03,176672.0
2016-09-13,25.7,25.7,24.93,25.12,258810.0,0.0,1.0,25.7,25.7,24.93,25.12,258810.0
2016-09-12,25.71,25.99,25.6233,25.85,144266.0,0.0,1.0,25.71,25.99,25.6233,25.85,144266.0
2016-09-09,26.29,26.765,25.86,25.88,131475.0,0.0,1.0,26.29,26.765,25.86,25.88,131475.0
2016-09-08,26.93,27.21,26.83,27.15,185057.0,0.0,1.0,26.93,27.21,26.83,27.15,185057.0
2016-09-07,26.2,26.94,25.98,26.93,169756.0,0.0,1.0,26.2,26.94,25.98,26.93,169756.0
