Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,58.07,58.42,57.8101,58.1,1617915.0,0.0,1.0,58.07,58.42,57.8101,58.1,1617915.0
2016-11-16,58.1,58.32,57.03,57.68,1832660.0,0.0,1.0,58.1,58.32,57.03,57.68,1832660.0
2016-11-15,59.16,59.16,57.46,58.29,2627457.0,0.0,1.0,59.16,59.16,57.46,58.29,2627457.0
2016-11-14,58.98,60.05,58.905,59.02,3235565.0,0.0,1.0,58.98,60.05,58.905,59.02,3235565.0
2016-11-11,59.19,59.77,58.82,59.0,3250393.0,0.0,1.0,59.19,59.77,58.82,59.0,3250393.0
2016-11-10,58.89,61.35,58.83,59.44,4395062.0,0.0,1.0,58.89,61.35,58.83,59.44,4395062.0
2016-11-09,56.06,58.965,55.72,58.78,3413540.0,0.0,1.0,56.06,58.965,55.72,58.78,3413540.0
2016-11-08,56.58,57.14,56.11,57.0,1844359.0,0.0,1.0,56.58,57.14,56.11,57.0,1844359.0
2016-11-07,56.85,57.09,56.295,56.52,2649562.0,0.0,1.0,56.85,57.09,56.295,56.52,2649562.0
2016-11-04,55.98,56.54,55.48,55.88,1425232.0,0.0,1.0,55.98,56.54,55.48,55.88,1425232.0
2016-11-03,56.0,56.66,55.83,55.92,1420409.0,0.0,1.0,56.0,56.66,55.83,55.92,1420409.0
2016-11-02,56.17,56.68,55.79,55.98,1675408.0,0.0,1.0,56.17,56.68,55.79,55.98,1675408.0
2016-11-01,57.35,57.37,55.715,56.33,1552709.0,0.0,1.0,57.35,57.37,55.715,56.33,1552709.0
2016-10-31,56.36,58.35,55.79,57.02,4967004.0,0.0,1.0,56.36,58.35,55.79,57.02,4967004.0
2016-10-28,55.61,56.67,55.42,56.07,1451808.0,0.0,1.0,55.61,56.67,55.42,56.07,1451808.0
2016-10-27,56.91,56.91,55.43,55.51,2176283.0,0.0,1.0,56.91,56.91,55.43,55.51,2176283.0
2016-10-26,56.29,56.96,56.19,56.55,1772070.0,0.0,1.0,56.29,56.96,56.19,56.55,1772070.0
2016-10-25,56.75,56.88,55.955,56.6,2831676.0,0.0,1.0,56.75,56.88,55.955,56.6,2831676.0
2016-10-24,56.53,57.43,56.45,57.1,2230946.0,0.0,1.0,56.53,57.43,56.45,57.1,2230946.0
2016-10-21,55.13,56.43,55.0,56.37,2474198.0,0.0,1.0,55.13,56.43,55.0,56.37,2474198.0
2016-10-20,54.84,56.49,54.45,55.61,3898023.0,0.0,1.0,54.84,56.49,54.45,55.61,3898023.0
2016-10-19,54.43,55.35,54.43,54.75,5163751.0,0.0,1.0,54.43,55.35,54.43,54.75,5163751.0
2016-10-18,50.74,54.55,49.57,54.19,7595141.0,0.0,1.0,50.74,54.55,49.57,54.19,7595141.0
2016-10-17,49.85,50.27,49.595,49.7,2348134.0,0.0,1.0,49.85,50.27,49.595,49.7,2348134.0
2016-10-14,50.79,50.9,49.655,49.83,2188458.0,0.0,1.0,50.79,50.9,49.655,49.83,2188458.0
2016-10-13,49.05,50.91,48.55,50.42,3030069.0,0.0,1.0,49.05,50.91,48.55,50.42,3030069.0
2016-10-12,49.84,50.44,49.73,50.19,1067276.0,0.0,1.0,49.84,50.44,49.73,50.19,1067276.0
2016-10-11,50.33,50.59,49.76,50.02,1039292.0,0.0,1.0,50.33,50.59,49.76,50.02,1039292.0
2016-10-10,50.35,50.94,50.33,50.52,942659.0,0.0,1.0,50.35,50.94,50.33,50.52,942659.0
2016-10-07,50.38,50.49,49.395,50.0,1679618.0,0.0,1.0,50.38,50.49,49.395,50.0,1679618.0
2016-10-06,51.04,51.255,50.0,50.16,4185551.0,0.0,1.0,51.04,51.255,50.0,50.16,4185551.0
2016-10-05,50.54,51.76,50.54,51.3,2033013.0,0.0,1.0,50.54,51.76,50.54,51.3,2033013.0
2016-10-04,51.05,51.46,50.405,50.52,1425111.0,0.0,1.0,51.05,51.46,50.405,50.52,1425111.0
2016-10-03,52.43,52.73,50.83,51.0,2808337.0,0.0,1.0,52.43,52.73,50.83,51.0,2808337.0
2016-09-30,52.91,53.08,51.955,52.59,1727565.0,0.0,1.0,52.91,53.08,51.955,52.59,1727565.0
2016-09-29,52.56,53.4,52.26,52.48,1778996.0,0.0,1.0,52.56,53.4,52.26,52.48,1778996.0
