Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,39.05,39.75,38.35,38.75,489648.0,0.0,1.0,39.05,39.75,38.35,38.75,489648.0
2016-11-16,39.0,39.45,38.8,38.85,272987.0,0.0,1.0,39.0,39.45,38.8,38.85,272987.0
2016-11-15,39.35,39.75,38.85,39.05,542547.0,0.0,1.0,39.35,39.75,38.85,39.05,542547.0
2016-11-14,38.3,40.2,38.3,39.55,516969.0,0.0,1.0,38.3,40.2,38.3,39.55,516969.0
2016-11-11,37.05,38.15,36.5,37.9,493024.0,0.0,1.0,37.05,38.15,36.5,37.9,493024.0
2016-11-10,37.1,38.5,36.8,37.0,494576.0,0.0,1.0,37.1,38.5,36.8,37.0,494576.0
2016-11-09,33.3,36.7,32.45,36.65,1055844.0,0.0,1.0,33.3,36.7,32.45,36.65,1055844.0
2016-11-08,30.75,34.55,30.75,33.7,1858373.0,0.0,1.0,30.75,34.55,30.75,33.7,1858373.0
2016-11-07,31.5,33.8,31.1,31.25,1774178.0,0.0,1.0,31.5,33.8,31.1,31.25,1774178.0
2016-11-04,36.7,37.6,35.9,36.0,732579.0,0.0,1.0,36.7,37.6,35.9,36.0,732579.0
2016-11-03,36.7,37.8,36.45,36.5,291650.0,0.0,1.0,36.7,37.8,36.45,36.5,291650.0
2016-11-02,36.9,37.35,36.3,36.75,354387.0,0.0,1.0,36.9,37.35,36.3,36.75,354387.0
2016-11-01,37.45,38.0,36.6,36.8,440211.0,0.0,1.0,37.45,38.0,36.6,36.8,440211.0
2016-10-31,37.4,37.775,36.8,37.7,387326.0,0.0,1.0,37.4,37.775,36.8,37.7,387326.0
2016-10-28,37.05,37.65,36.95,37.2,300932.0,0.0,1.0,37.05,37.65,36.95,37.2,300932.0
2016-10-27,37.6,37.6,36.85,37.15,342336.0,0.0,1.0,37.6,37.6,36.85,37.15,342336.0
2016-10-26,38.1,38.35,37.5,37.55,217873.0,0.0,1.0,38.1,38.35,37.5,37.55,217873.0
2016-10-25,37.95,38.3,37.2,38.2,353416.0,0.0,1.0,37.95,38.3,37.2,38.2,353416.0
2016-10-24,38.15,38.55,37.55,38.1,185866.0,0.0,1.0,38.15,38.55,37.55,38.1,185866.0
2016-10-21,37.85,38.275,37.7,37.9,189671.0,0.0,1.0,37.85,38.275,37.7,37.9,189671.0
2016-10-20,38.45,38.8,37.95,38.1,195301.0,0.0,1.0,38.45,38.8,37.95,38.1,195301.0
