Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,5.4,5.55,5.25,5.2501,53525.0,0.0,1.0,5.4,5.55,5.25,5.2501,53525.0
2016-11-16,5.55,5.65,5.35,5.4,26266.0,0.0,1.0,5.55,5.65,5.35,5.4,26266.0
2016-11-15,5.7,5.82,5.35,5.5,144906.0,0.0,1.0,5.7,5.82,5.35,5.5,144906.0
2016-11-14,5.65,5.75,5.45,5.6,82311.0,0.0,1.0,5.65,5.75,5.45,5.6,82311.0
2016-11-11,5.75,5.825,5.55,5.55,84317.0,0.0,1.0,5.75,5.825,5.55,5.55,84317.0
2016-11-10,5.65,5.95,5.65,5.9,36272.0,0.0,1.0,5.65,5.95,5.65,5.9,36272.0
2016-11-09,5.4,5.7,5.2589,5.6,49937.0,0.0,1.0,5.4,5.7,5.2589,5.6,49937.0
2016-11-08,5.2,5.5,5.1,5.45,45539.0,0.0,1.0,5.2,5.5,5.1,5.45,45539.0
2016-11-07,5.35,5.35,5.15,5.25,59178.0,0.0,1.0,5.35,5.35,5.15,5.25,59178.0
2016-11-04,5.25,5.3,5.2,5.2,12170.0,0.0,1.0,5.25,5.3,5.2,5.2,12170.0
2016-11-03,5.25,5.3,5.2,5.2,5735.0,0.0,1.0,5.25,5.3,5.2,5.2,5735.0
2016-11-02,5.3,5.3,5.2,5.2,13870.0,0.0,1.0,5.3,5.3,5.2,5.2,13870.0
2016-11-01,5.3,5.35,5.2,5.3,14855.0,0.0,1.0,5.3,5.35,5.2,5.3,14855.0
2016-10-31,5.2,5.35,5.15,5.35,81813.0,0.0,1.0,5.2,5.35,5.15,5.35,81813.0
2016-10-28,5.35,5.351,5.25,5.25,49396.0,0.0,1.0,5.35,5.351,5.25,5.25,49396.0
2016-10-27,5.4,5.45,5.3,5.3,22377.0,0.0,1.0,5.4,5.45,5.3,5.3,22377.0
2016-10-26,5.45,5.5,5.3,5.35,23082.0,0.0,1.0,5.45,5.5,5.3,5.35,23082.0
2016-10-25,5.7,5.75,5.4,5.5,76638.0,0.0,1.0,5.7,5.75,5.4,5.5,76638.0
