Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,48.38,48.39,47.98,48.16,395708.0,0.0,1.0,48.38,48.39,47.98,48.16,395708.0
2016-11-16,48.75,48.78,48.14,48.31,379654.0,0.0,1.0,48.75,48.78,48.14,48.31,379654.0
2016-11-15,48.0,48.98,47.73,48.98,814411.0,0.0,1.0,48.0,48.98,47.73,48.98,814411.0
2016-11-14,47.76,48.39,47.76,48.02,668678.0,0.0,1.0,47.76,48.39,47.76,48.02,668678.0
2016-11-11,46.95,47.62,46.95,47.54,614177.0,0.0,1.0,46.95,47.62,46.95,47.54,614177.0
2016-11-10,48.12,48.23,46.92,47.17,1527324.0,0.0,1.0,48.12,48.23,46.92,47.17,1527324.0
2016-11-09,45.92,48.05,45.44,47.73,977412.0,0.0,1.0,45.92,48.05,45.44,47.73,977412.0
2016-11-08,46.0,46.41,45.57,46.27,620765.0,0.0,1.0,46.0,46.41,45.57,46.27,620765.0
2016-11-07,46.25,46.44,45.81,46.13,603595.0,0.0,1.0,46.25,46.44,45.81,46.13,603595.0
2016-11-04,45.39,45.9,44.72,45.62,1052682.0,0.0,1.0,45.39,45.9,44.72,45.62,1052682.0
2016-11-03,44.91,45.57,44.64,45.41,1330391.0,0.0,1.0,44.91,45.57,44.64,45.41,1330391.0
2016-11-02,44.9,45.29,44.61,44.77,1009920.0,0.0,1.0,44.9,45.29,44.61,44.77,1009920.0
2016-11-01,45.75,45.81,44.78,44.91,662718.0,0.0,1.0,45.75,45.81,44.78,44.91,662718.0
2016-10-31,45.13,45.58,45.01,45.49,824323.0,0.11,1.0,45.13,45.58,45.01,45.49,824323.0
2016-10-28,45.02,45.76,44.96,45.05,645932.0,0.0,1.0,44.911399122807,45.649614035088,44.851543859649,44.941326754386,645932.0
2016-10-27,45.45,45.54,44.89,45.0,524295.0,0.0,1.0,45.340361842105,45.430144736842,44.781712719298,44.891447368421,524295.0
2016-10-26,44.75,45.47,44.75,45.33,789508.0,0.0,1.0,44.642050438596,45.360313596491,44.642050438596,45.220651315789,789508.0
2016-10-25,44.46,45.06,44.38,44.94,821687.0,0.0,1.0,44.35275,44.951302631579,44.272942982456,44.831592105263,821687.0
2016-10-24,44.24,44.85,44.04,44.53,953971.0,0.0,1.0,44.133280701754,44.741809210526,43.933763157895,44.422581140351,953971.0
2016-10-21,43.55,44.2,43.21,43.66,1341039.0,0.0,1.0,43.444945175439,44.093377192982,43.105765350877,43.554679824561,1341039.0
2016-10-20,46.09,46.1,44.0,44.06,1595524.0,0.0,1.0,45.978817982456,45.988793859649,43.893859649123,43.953714912281,1595524.0
2016-10-19,42.65,42.95,42.5,42.52,581445.0,0.0,1.0,42.54711622807,42.84639254386,42.397478070175,42.417429824561,581445.0
2016-10-18,42.46,42.69,41.91,42.52,997096.0,0.0,1.0,42.357574561404,42.587019736842,41.808901315789,42.417429824561,997096.0
2016-10-17,42.24,42.47,41.99,42.04,689082.0,0.0,1.0,42.138105263158,42.367550438596,41.888708333333,41.938587719298,689082.0
2016-10-14,42.43,42.73,42.08,42.2,438248.0,0.0,1.0,42.327646929825,42.626923245614,41.97849122807,42.098201754386,438248.0
2016-10-13,41.76,42.29,41.03,42.14,642731.0,0.0,1.0,41.659263157895,42.187984649123,40.931024122807,42.038346491228,642731.0
2016-10-12,42.43,42.64,42.11,42.28,527627.0,0.0,1.0,42.327646929825,42.537140350877,42.008418859649,42.17800877193,527627.0
2016-10-11,43.28,43.3,42.1,42.46,664294.0,0.0,1.0,43.175596491228,43.195548245614,41.998442982456,42.357574561404,664294.0
2016-10-10,43.62,44.09,43.46,43.5,549498.0,0.0,1.0,43.514776315789,43.98364254386,43.355162280702,43.395065789474,549498.0
2016-10-07,44.31,44.65,43.36,43.42,806510.0,0.0,1.0,44.203111842105,44.542291666667,43.255403508772,43.31525877193,806510.0
2016-10-06,44.74,44.89,44.47,44.81,360658.0,0.0,1.0,44.632074561404,44.781712719298,44.362725877193,44.701905701754,360658.0
2016-10-05,44.34,44.92,44.23,44.79,428683.0,0.0,1.0,44.233039473684,44.811640350877,44.123304824561,44.681953947368,428683.0
2016-10-04,44.12,44.49,43.98,44.09,395788.0,0.0,1.0,44.013570175439,44.382677631579,43.873907894737,43.98364254386,395788.0
2016-10-03,44.21,44.43,43.87,43.97,381847.0,0.0,1.0,44.103353070175,44.322822368421,43.764173245614,43.863932017544,381847.0
2016-09-30,43.6,44.54,43.31,44.3,600068.0,0.0,1.0,43.494824561404,44.432557017544,43.205524122807,44.193135964912,600068.0
2016-09-29,43.78,44.0212,43.2,43.35,195857.0,0.0,1.0,43.674390350877,43.915008508772,43.095789473684,43.245427631579,195857.0
2016-09-28,43.7,44.09,43.39,43.93,214463.0,0.0,1.0,43.594583333333,43.98364254386,43.285331140351,43.824028508772,214463.0
2016-09-27,43.26,43.85,43.11,43.67,157313.0,0.0,1.0,43.155644736842,43.744221491228,43.006006578947,43.564655701754,157313.0
2016-09-26,43.36,43.7,43.08,43.32,188774.0,0.0,1.0,43.255403508772,43.594583333333,42.976078947368,43.2155,188774.0
2016-09-23,43.36,43.66,43.17,43.51,267925.0,0.0,1.0,43.255403508772,43.554679824561,43.065861842105,43.405041666667,267925.0
2016-09-22,43.28,44.005,43.28,43.68,399973.0,0.0,1.0,43.175596491228,43.898847587719,43.175596491228,43.574631578947,399973.0
2016-09-21,42.84,43.17,42.6161,43.08,153144.0,0.0,1.0,42.736657894737,43.065861842105,42.513298004386,42.976078947368,153144.0
2016-09-20,43.25,43.25,42.68,42.74,430120.0,0.0,1.0,43.145668859649,43.145668859649,42.577043859649,42.636899122807,430120.0
2016-09-19,42.97,43.4,42.8,42.96,254168.0,0.0,1.0,42.866344298246,43.295307017544,42.696754385965,42.856368421053,254168.0
2016-09-16,43.58,43.71,42.84,42.89,518769.0,0.0,1.0,43.474872807018,43.604559210526,42.736657894737,42.786537280702,518769.0
2016-09-15,43.18,43.89,43.03,43.84,278613.0,0.0,1.0,43.075837719298,43.784125,42.926199561404,43.734245614035,278613.0
2016-09-14,43.91,44.25,43.09,43.19,439846.0,0.0,1.0,43.804076754386,44.143256578947,42.986054824561,43.085813596491,439846.0
2016-09-13,44.73,44.86,43.98,44.17,389187.0,0.0,1.0,44.622098684211,44.751785087719,43.873907894737,44.063449561404,389187.0
2016-09-12,43.88,45.24,43.6201,45.04,433466.0,0.0,1.0,43.774149122807,45.130868421053,43.514876074561,44.931350877193,433466.0
2016-09-09,45.0,45.13,44.04,44.06,442185.0,0.0,1.0,44.891447368421,45.02113377193,43.933763157895,43.953714912281,442185.0
2016-09-08,45.5,45.72,45.35,45.47,384970.0,0.0,1.0,45.39024122807,45.609710526316,45.240603070175,45.360313596491,384970.0
2016-09-07,45.04,45.76,45.01,45.68,515958.0,0.0,1.0,44.931350877193,45.649614035088,44.901423245614,45.569807017544,515958.0
2016-09-06,45.42,45.5,45.0,45.12,268714.0,0.0,1.0,45.310434210526,45.39024122807,44.891447368421,45.011157894737,268714.0
2016-09-02,45.12,45.51,45.005,45.47,208836.0,0.0,1.0,45.011157894737,45.400217105263,44.896435307018,45.360313596491,208836.0
2016-09-01,44.76,44.92,44.19,44.84,420046.0,0.0,1.0,44.652026315789,44.811640350877,44.083401315789,44.731833333333,420046.0
