Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,18.6,18.8,18.6,18.65,103529.0,0.0,1.0,18.6,18.8,18.6,18.65,103529.0
2016-11-16,18.65,18.75,18.1,18.7,86374.0,0.0,1.0,18.65,18.75,18.1,18.7,86374.0
2016-11-15,17.95,18.85,17.65,18.65,149967.0,0.0,1.0,17.95,18.85,17.65,18.65,149967.0
2016-11-14,17.75,18.05,17.75,18.0,126023.0,0.0,1.0,17.75,18.05,17.75,18.0,126023.0
2016-11-11,17.65,17.8,17.475,17.7,225421.0,0.0,1.0,17.65,17.8,17.475,17.7,225421.0
2016-11-10,17.0,17.6,16.85,17.6,121726.0,0.0,1.0,17.0,17.6,16.85,17.6,121726.0
2016-11-09,16.65,16.85,16.6,16.8,125856.0,0.0,1.0,16.65,16.85,16.6,16.8,125856.0
2016-11-08,16.75,16.9,16.6,16.65,42464.0,0.0,1.0,16.75,16.9,16.6,16.65,42464.0
2016-11-07,16.65,17.0,16.65,16.9,49296.0,0.0,1.0,16.65,17.0,16.65,16.9,49296.0
2016-11-04,16.55,16.8,16.55,16.65,83425.0,0.0,1.0,16.55,16.8,16.55,16.65,83425.0
2016-11-03,16.6,16.7,16.45,16.65,38392.0,0.0,1.0,16.6,16.7,16.45,16.65,38392.0
2016-11-02,16.75,16.8,16.45,16.55,68175.0,0.0,1.0,16.65,16.699701492537,16.351791044776,16.451194029851,68175.0
2016-11-01,16.75,16.85,16.7,16.75,62642.0,0.0,1.0,16.65,16.749402985075,16.600298507463,16.65,62642.0
2016-10-31,16.85,16.85,16.75,16.8,38722.0,0.0,1.0,16.749402985075,16.749402985075,16.65,16.699701492537,38722.0
2016-10-28,16.75,17.24,16.67,16.81,38200.0,0.0,1.0,16.65,17.137074626866,16.57047761194,16.709641791045,38200.0
2016-10-27,16.98,16.98,16.61,16.68,37911.0,0.0,1.0,16.878626865672,16.878626865672,16.510835820896,16.580417910448,37911.0
2016-10-26,16.77,16.85,16.57,16.59,30834.0,0.0,1.0,16.669880597015,16.749402985075,16.471074626866,16.490955223881,30834.0
2016-10-25,16.645,16.78,16.6259,16.75,26022.0,0.0,1.0,16.545626865672,16.679820895522,16.526640895522,16.65,26022.0
2016-10-24,16.7,16.84,16.58,16.78,22616.0,0.0,1.0,16.600298507463,16.739462686567,16.481014925373,16.679820895522,22616.0
2016-10-21,16.6,16.67,16.4755,16.58,15121.0,0.0,1.0,16.500895522388,16.57047761194,16.37713880597,16.481014925373,15121.0
2016-10-20,16.75,16.9,16.65,16.75,45302.0,0.0,1.0,16.65,16.799104477612,16.550597014925,16.65,45302.0
2016-10-19,16.6,16.83,16.55,16.7,45975.0,0.0,1.0,16.500895522388,16.72952238806,16.451194029851,16.600298507463,45975.0
2016-10-18,16.572,16.71,16.57,16.64,31656.0,0.0,1.0,16.473062686567,16.61023880597,16.471074626866,16.540656716418,31656.0
2016-10-17,16.52,16.67,16.49,16.63,27347.0,0.0,1.0,16.421373134328,16.57047761194,16.391552238806,16.53071641791,27347.0
2016-10-14,16.49,16.66,16.4601,16.58,26506.0,0.0,1.0,16.391552238806,16.560537313433,16.361830746269,16.481014925373,26506.0
2016-10-13,16.88,16.9814,16.33,16.4,37216.0,0.0,1.0,16.779223880597,16.880018507463,16.232507462687,16.302089552239,37216.0
2016-10-12,16.8,17.2,16.79,17.0,82169.0,0.0,1.0,16.699701492537,17.097313432836,16.68976119403,16.898507462687,82169.0
2016-10-11,16.77,16.8,16.67,16.75,36144.0,0.0,1.0,16.669880597015,16.699701492537,16.57047761194,16.65,36144.0
2016-10-10,16.6,16.8,16.6,16.77,31544.0,0.0,1.0,16.500895522388,16.699701492537,16.500895522388,16.669880597015,31544.0
2016-10-07,16.52,16.63,16.47,16.59,26885.0,0.0,1.0,16.421373134328,16.53071641791,16.371671641791,16.490955223881,26885.0
2016-10-06,16.69,16.69,16.45,16.64,24068.0,0.0,1.0,16.590358208955,16.590358208955,16.351791044776,16.540656716418,24068.0
2016-10-05,16.63,16.76,16.59,16.63,32650.0,0.0,1.0,16.53071641791,16.659940298507,16.490955223881,16.53071641791,32650.0
