Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,78.2,78.6,77.25,78.3,386306.0,0.0,1.0,78.2,78.6,77.25,78.3,386306.0
2016-11-16,78.05,78.85,77.1,78.05,355281.0,0.0,1.0,78.05,78.85,77.1,78.05,355281.0
2016-11-15,76.75,78.8,74.105,78.65,380545.0,0.0,1.0,76.75,78.8,74.105,78.65,380545.0
2016-11-14,75.0,80.45,74.52,77.45,583258.0,0.0,1.0,75.0,80.45,74.52,77.45,583258.0
2016-11-11,73.25,75.0,73.0,74.7,870763.0,0.0,1.0,73.25,75.0,73.0,74.7,870763.0
2016-11-10,71.0,73.95,70.475,73.55,603233.0,0.0,1.0,71.0,73.95,70.475,73.55,603233.0
2016-11-09,67.5,71.0,66.8866,70.15,630684.0,0.0,1.0,67.5,71.0,66.8866,70.15,630684.0
2016-11-08,66.8,67.45,65.95,67.0,290712.0,0.0,1.0,66.8,67.45,65.95,67.0,290712.0
2016-11-07,66.25,67.35,65.95,67.15,296331.0,0.0,1.0,66.25,67.35,65.95,67.15,296331.0
2016-11-04,64.9,65.75,64.7,64.75,221140.0,0.0,1.0,64.9,65.75,64.7,64.75,221140.0
2016-11-03,65.55,65.75,64.7,64.9,193937.0,0.0,1.0,65.55,65.75,64.7,64.9,193937.0
2016-11-02,65.6,65.6,64.9,65.1,422749.0,0.0,1.0,65.6,65.6,64.9,65.1,422749.0
2016-11-01,65.9,66.25,65.2,65.9,383012.0,0.0,1.0,65.9,66.25,65.2,65.9,383012.0
2016-10-31,66.2,66.2,65.4,65.65,488031.0,0.0,1.0,66.2,66.2,65.4,65.65,488031.0
2016-10-28,65.35,66.0988,64.4,65.625,575320.0,0.0,1.0,65.35,66.0988,64.4,65.625,575320.0
2016-10-27,65.0,66.5,62.655,65.55,1376418.0,0.0,1.0,65.0,66.5,62.655,65.55,1376418.0
2016-10-26,69.65,70.475,69.35,69.95,283596.0,0.0,1.0,69.65,70.475,69.35,69.95,283596.0
2016-10-25,70.5,71.0,69.75,70.0,562142.0,0.0,1.0,70.5,71.0,69.75,70.0,562142.0
2016-10-24,69.85,70.6,69.45,70.4,204158.0,0.0,1.0,69.85,70.6,69.45,70.4,204158.0
2016-10-21,68.65,69.65,68.65,69.55,121869.0,0.0,1.0,68.65,69.65,68.65,69.55,121869.0
2016-10-20,69.1,70.15,68.8,69.25,128078.0,0.0,1.0,69.1,70.15,68.8,69.25,128078.0
2016-10-19,68.8,69.7,68.55,69.45,232342.0,0.0,1.0,68.8,69.7,68.55,69.45,232342.0
2016-10-18,69.45,69.8,67.7,68.45,141997.0,0.0,1.0,69.45,69.8,67.7,68.45,141997.0
2016-10-17,68.2,68.5,67.6,67.65,145640.0,0.0,1.0,68.2,68.5,67.6,67.65,145640.0
2016-10-14,67.87,68.69,67.72,68.34,210052.0,0.0,1.0,67.87,68.69,67.72,68.34,210052.0
2016-10-13,69.28,69.28,66.51,66.99,468430.0,0.0,1.0,69.28,69.28,66.51,66.99,468430.0
2016-10-12,70.47,70.67,69.59,69.75,248410.0,0.0,1.0,70.47,70.67,69.59,69.75,248410.0
2016-10-11,70.45,71.07,70.0,70.67,422137.0,0.0,1.0,70.45,71.07,70.0,70.67,422137.0
2016-10-10,70.72,71.5,70.4,70.45,224671.0,0.0,1.0,70.72,71.5,70.4,70.45,224671.0
2016-10-07,70.76,70.8,69.58,70.72,361563.0,0.0,1.0,70.76,70.8,69.58,70.72,361563.0
2016-10-06,69.57,70.01,68.885,70.01,460001.0,0.0,1.0,69.57,70.01,68.885,70.01,460001.0
2016-10-05,67.37,69.27,67.07,69.27,474462.0,0.0,1.0,67.37,69.27,67.07,69.27,474462.0
2016-10-04,66.91,67.41,66.56,66.97,311153.0,0.0,1.0,66.91,67.41,66.56,66.97,311153.0
2016-10-03,66.64,67.01,66.15,66.59,355932.0,0.0,1.0,66.64,67.01,66.15,66.59,355932.0
2016-09-30,65.94,67.35,65.72,67.12,335787.0,0.0,1.0,65.94,67.35,65.72,67.12,335787.0
2016-09-29,67.02,67.14,65.34,65.79,389820.0,0.0,1.0,67.02,67.14,65.34,65.79,389820.0
2016-09-28,66.09,66.77,65.5,66.69,346430.0,0.36,1.0,66.09,66.77,65.5,66.69,346430.0
