Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,50.75,51.95,50.65,51.8,121636.0,0.0,1.0,50.75,51.95,50.65,51.8,121636.0
2016-11-16,49.9,50.9,49.8,50.65,149562.0,0.0,1.0,49.9,50.9,49.8,50.65,149562.0
2016-11-15,50.2,50.4,49.95,50.15,66236.0,0.0,1.0,50.2,50.4,49.95,50.15,66236.0
2016-11-14,50.4,51.1,50.05,50.2,124435.0,0.0,1.0,50.4,51.1,50.05,50.2,124435.0
2016-11-11,49.9,51.75,47.83,50.2,247299.0,0.0,1.0,49.9,51.75,47.83,50.2,247299.0
2016-11-10,50.75,50.75,49.5,49.7,172209.0,0.0,1.0,50.75,50.75,49.5,49.7,172209.0
2016-11-09,49.8,50.25,48.05,49.9,165796.0,0.0,1.0,49.8,50.25,48.05,49.9,165796.0
2016-11-08,49.9,50.0,49.6,49.7,69244.0,0.0,1.0,49.9,50.0,49.6,49.7,69244.0
2016-11-07,49.1,50.65,48.7,49.9,132662.0,0.0,1.0,49.1,50.65,48.7,49.9,132662.0
2016-11-04,49.05,49.65,48.8,48.85,134847.0,0.0,1.0,49.05,49.65,48.8,48.85,134847.0
2016-11-03,48.45,49.6,48.25,48.95,113393.0,0.0,1.0,48.45,49.6,48.25,48.95,113393.0
2016-11-02,47.0,49.65,46.95,48.3,184010.0,0.0,1.0,47.0,49.65,46.95,48.3,184010.0
2016-11-01,46.4,46.55,45.6,46.05,63868.0,0.0,1.0,46.4,46.55,45.6,46.05,63868.0
2016-10-31,46.7,47.0,46.4,46.4,61857.0,0.0,1.0,46.7,47.0,46.4,46.4,61857.0
2016-10-28,46.45,46.65,46.3,46.5,36186.0,0.0,1.0,46.45,46.65,46.3,46.5,36186.0
2016-10-27,46.15,46.75,46.075,46.4,60211.0,0.0,1.0,46.15,46.75,46.075,46.4,60211.0
2016-10-26,46.2,46.75,45.5,46.05,66699.0,0.0,1.0,46.2,46.75,45.5,46.05,66699.0
2016-10-25,46.4,46.55,46.125,46.35,37128.0,0.0,1.0,46.4,46.55,46.125,46.35,37128.0
2016-10-24,45.7,46.5,45.7,46.5,48558.0,0.0,1.0,45.7,46.5,45.7,46.5,48558.0
2016-10-21,45.2,45.65,45.1,45.6,47275.0,0.0,1.0,45.2,45.65,45.1,45.6,47275.0
2016-10-20,45.05,45.65,44.9,45.45,60754.0,0.0,1.0,45.05,45.65,44.9,45.45,60754.0
2016-10-19,45.05,45.3,44.7,45.2,41265.0,0.0,1.0,45.05,45.3,44.7,45.2,41265.0
2016-10-18,44.55,45.15,44.2,44.9,131430.0,0.0,1.0,44.55,45.15,44.2,44.9,131430.0
2016-10-17,44.3,44.65,44.1,44.35,19938.0,0.0,1.0,44.3,44.65,44.1,44.35,19938.0
2016-10-14,44.67,45.0,44.38,44.38,29622.0,0.0,1.0,44.67,45.0,44.38,44.38,29622.0
2016-10-13,44.51,44.79,44.0,44.39,46498.0,0.0,1.0,44.51,44.79,44.0,44.39,46498.0
2016-10-12,44.76,45.0,44.57,44.67,35635.0,0.0,1.0,44.76,45.0,44.57,44.67,35635.0
2016-10-11,44.77,44.91,43.97,44.68,81913.0,0.0,1.0,44.77,44.91,43.97,44.68,81913.0
2016-10-10,44.63,45.0,44.58,44.84,83194.0,0.0,1.0,44.63,45.0,44.58,44.84,83194.0
2016-10-07,44.94,45.01,44.36,44.62,74275.0,0.0,1.0,44.94,45.01,44.36,44.62,74275.0
2016-10-06,44.6,45.0,44.42,44.96,66866.0,0.0,1.0,44.6,45.0,44.42,44.96,66866.0
2016-10-05,45.25,45.47,44.62,44.71,63729.0,0.0,1.0,45.25,45.47,44.62,44.71,63729.0
2016-10-04,45.0,45.83,44.3,45.25,96096.0,0.0,1.0,45.0,45.83,44.3,45.25,96096.0
2016-10-03,44.18,45.08,43.66,45.0192,76838.0,0.0,1.0,44.18,45.08,43.66,45.0192,76838.0
2016-09-30,44.02,44.7,43.87,44.32,100069.0,0.0,1.0,44.02,44.7,43.87,44.32,100069.0
2016-09-29,44.33,44.36,43.6,43.76,79172.0,0.0,1.0,44.33,44.36,43.6,43.76,79172.0
2016-09-28,44.13,44.43,44.06,44.24,68184.0,0.0,1.0,44.13,44.43,44.06,44.24,68184.0
2016-09-27,44.23,44.5687,43.92,44.0,56284.0,0.0,1.0,44.23,44.5687,43.92,44.0,56284.0
2016-09-26,44.99,44.99,44.14,44.2,71956.0,0.0,1.0,44.99,44.99,44.14,44.2,71956.0
2016-09-23,45.17,45.25,44.75,44.99,44227.0,0.0,1.0,45.17,45.25,44.75,44.99,44227.0
2016-09-22,44.09,45.44,44.09,45.4,91412.0,0.0,1.0,44.09,45.44,44.09,45.4,91412.0
2016-09-21,44.22,44.38,43.91,43.94,64991.0,0.0,1.0,44.22,44.38,43.91,43.94,64991.0
2016-09-20,43.93,44.44,43.85,43.92,36740.0,0.0,1.0,43.93,44.44,43.85,43.92,36740.0
2016-09-19,43.47,44.1,43.47,43.95,55197.0,0.0,1.0,43.47,44.1,43.47,43.95,55197.0
2016-09-16,43.5,43.63,42.51,43.55,117437.0,0.0,1.0,43.5,43.63,42.51,43.55,117437.0
2016-09-15,43.0,43.49,42.75,43.49,34213.0,0.0,1.0,43.0,43.49,42.75,43.49,34213.0
2016-09-14,43.17,43.32,42.74,42.86,80191.0,0.0,1.0,43.17,43.32,42.74,42.86,80191.0
2016-09-13,43.02,43.28,42.685,42.95,76480.0,0.0,1.0,43.02,43.28,42.685,42.95,76480.0
