Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,19.71,20.58,19.71,20.34,131560.0,0.0,1.0,19.71,20.58,19.71,20.34,131560.0
2016-11-16,19.56,19.925,19.48,19.84,181547.0,0.0,1.0,19.56,19.925,19.48,19.84,181547.0
2016-11-15,21.15,21.5,19.61,19.63,203642.0,0.0,1.0,21.15,21.5,19.61,19.63,203642.0
2016-11-14,19.25,21.45,19.22,21.15,323591.0,0.0,1.0,19.25,21.45,19.22,21.15,323591.0
2016-11-11,18.16,19.24,18.064,18.91,104763.0,0.0,1.0,18.16,19.24,18.064,18.91,104763.0
2016-11-10,18.3,18.42,17.66,18.16,100640.0,0.0,1.0,18.3,18.42,17.66,18.16,100640.0
2016-11-09,17.05,18.22,16.9053,18.19,73344.0,0.0,1.0,17.05,18.22,16.9053,18.19,73344.0
2016-11-08,17.31,17.56,17.31,17.4,82472.0,0.0,1.0,17.31,17.56,17.31,17.4,82472.0
2016-11-07,17.55,17.69,17.2,17.24,67756.0,0.0,1.0,17.55,17.69,17.2,17.24,67756.0
2016-11-04,16.97,17.48,16.9,17.23,70582.0,0.0,1.0,16.97,17.48,16.9,17.23,70582.0
2016-11-03,17.26,17.47,15.761,16.97,130517.0,0.0,1.0,17.26,17.47,15.761,16.97,130517.0
2016-11-02,17.71,18.22,17.01,17.32,145407.0,0.0,1.0,17.71,18.22,17.01,17.32,145407.0
2016-11-01,17.92,18.12,17.5307,17.69,79298.0,0.0,1.0,17.92,18.12,17.5307,17.69,79298.0
2016-10-31,17.81,18.14,17.71,17.89,85797.0,0.0,1.0,17.81,18.14,17.71,17.89,85797.0
2016-10-28,18.66,18.698,17.79,17.83,84797.0,0.0,1.0,18.66,18.698,17.79,17.83,84797.0
2016-10-27,18.01,18.63,17.89,18.58,84730.0,0.0,1.0,18.01,18.63,17.89,18.58,84730.0
2016-10-26,17.89,18.15,17.52,17.99,55142.0,0.0,1.0,17.89,18.15,17.52,17.99,55142.0
2016-10-25,18.29,18.319,17.9001,17.99,74864.0,0.0,1.0,18.29,18.319,17.9001,17.99,74864.0
2016-10-24,18.1,18.3,18.05,18.22,72404.0,0.0,1.0,18.1,18.3,18.05,18.22,72404.0
2016-10-21,17.59,17.92,17.47,17.88,78084.0,0.0,1.0,17.59,17.92,17.47,17.88,78084.0
2016-10-20,17.66,17.75,17.42,17.71,99347.0,0.0,1.0,17.66,17.75,17.42,17.71,99347.0
