Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,12.61,13.5,12.61,13.49,506836.0,0.0,1.0,12.61,13.5,12.61,13.49,506836.0
2016-11-16,14.1,14.1,12.65,12.72,690423.0,0.0,1.0,14.1,14.1,12.65,12.72,690423.0
2016-11-15,14.6,14.75,13.88,14.1,620345.0,0.0,1.0,14.6,14.75,13.88,14.1,620345.0
2016-11-14,13.9,14.69,13.6356,14.53,725636.0,0.0,1.0,13.9,14.69,13.6356,14.53,725636.0
2016-11-11,14.0,14.01,13.44,13.63,724161.0,0.0,1.0,14.0,14.01,13.44,13.63,724161.0
2016-11-10,14.23,15.059,13.7,14.05,1693274.0,0.0,1.0,14.23,15.059,13.7,14.05,1693274.0
2016-11-09,12.4,13.72,12.34,13.56,1662923.0,0.0,1.0,12.4,13.72,12.34,13.56,1662923.0
2016-11-08,12.6,12.72,11.5445,11.75,831629.0,0.0,1.0,12.6,12.72,11.5445,11.75,831629.0
2016-11-07,11.01,12.48,10.88,11.98,1397630.0,0.0,1.0,11.01,12.48,10.88,11.98,1397630.0
2016-11-04,10.03,11.12,10.02,10.69,771908.0,0.0,1.0,10.03,11.12,10.02,10.69,771908.0
2016-11-03,10.8,10.94,10.01,10.02,912376.0,0.0,1.0,10.8,10.94,10.01,10.02,912376.0
2016-11-02,11.25,11.36,10.25,10.31,900381.0,0.0,1.0,11.25,11.36,10.25,10.31,900381.0
2016-11-01,10.82,11.22,10.5,11.15,505669.0,0.0,1.0,10.82,11.22,10.5,11.15,505669.0
2016-10-31,10.93,11.03,10.58,10.81,434752.0,0.0,1.0,10.93,11.03,10.58,10.81,434752.0
2016-10-28,10.75,11.05,10.37,10.76,344382.0,0.0,1.0,10.75,11.05,10.37,10.76,344382.0
2016-10-27,11.3,11.3102,10.79,10.82,423237.0,0.0,1.0,11.3,11.3102,10.79,10.82,423237.0
2016-10-26,11.19,11.5223,11.11,11.18,223726.0,0.0,1.0,11.19,11.5223,11.11,11.18,223726.0
2016-10-25,11.24,11.4799,11.17,11.19,279346.0,0.0,1.0,11.24,11.4799,11.17,11.19,279346.0
2016-10-24,11.52,11.91,11.25,11.29,265228.0,0.0,1.0,11.52,11.91,11.25,11.29,265228.0
