Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,2.19,2.26,2.08,2.19,7958.0,0.0,1.0,2.19,2.26,2.08,2.19,7958.0
2016-11-16,2.2,2.3,2.13,2.18,84600.0,0.0,1.0,2.2,2.3,2.13,2.18,84600.0
2016-11-15,2.04,2.21,2.0211,2.13,102833.0,0.0,1.0,2.04,2.21,2.0211,2.13,102833.0
2016-11-14,2.12,2.2595,2.12,2.16,30587.0,0.0,1.0,2.12,2.2595,2.12,2.16,30587.0
2016-11-11,2.12,2.16,2.0942,2.16,17656.0,0.0,1.0,2.12,2.16,2.0942,2.16,17656.0
2016-11-10,2.1289,2.15,2.05,2.15,8631.0,0.0,1.0,2.1289,2.15,2.05,2.15,8631.0
2016-11-09,2.1,2.15,2.0506,2.15,3480.0,0.0,1.0,2.1,2.15,2.0506,2.15,3480.0
2016-11-08,2.02,2.15,2.0,2.15,8132.0,0.0,1.0,2.02,2.15,2.0,2.15,8132.0
2016-11-07,2.09,2.14,2.0,2.0,26444.0,0.0,1.0,2.09,2.14,2.0,2.0,26444.0
2016-11-04,2.15,2.18,2.0755,2.11,20490.0,0.0,1.0,2.15,2.18,2.0755,2.11,20490.0
2016-11-03,2.19,2.33,2.1,2.13,38535.0,0.0,1.0,2.19,2.33,2.1,2.13,38535.0
2016-11-02,2.04,2.21,2.04,2.17,70077.0,0.0,1.0,2.04,2.21,2.04,2.17,70077.0
2016-11-01,2.03,2.21,2.03,2.15,149047.0,0.0,1.0,2.03,2.21,2.03,2.15,149047.0
2016-10-31,2.05,2.66,1.9386,2.2,2480791.0,0.0,1.0,2.05,2.66,1.9386,2.2,2480791.0
2016-10-28,1.78,1.7963,1.76,1.76,1565.0,0.0,1.0,1.78,1.7963,1.76,1.76,1565.0
2016-10-27,1.72,1.79,1.7,1.75,2711.0,0.0,1.0,1.72,1.79,1.7,1.75,2711.0
2016-10-26,1.758,1.85,1.72,1.72,21702.0,0.0,1.0,1.758,1.85,1.72,1.72,21702.0
2016-10-25,1.83,1.85,1.765,1.85,3507.0,0.0,1.0,1.83,1.85,1.765,1.85,3507.0
2016-10-24,1.84,1.9,1.77,1.79,20638.0,0.0,1.0,1.84,1.9,1.77,1.79,20638.0
2016-10-21,1.88,1.94,1.8401,1.86,40000.0,0.0,1.0,1.88,1.94,1.8401,1.86,40000.0
2016-10-20,1.8201,1.94,1.8201,1.9,60144.0,0.0,1.0,1.8201,1.94,1.8201,1.9,60144.0
2016-10-19,1.87,1.87,1.81,1.87,11760.0,0.0,1.0,1.87,1.87,1.81,1.87,11760.0
2016-10-18,1.88,1.88,1.85,1.86,1658.0,0.0,1.0,1.88,1.88,1.85,1.86,1658.0
2016-10-17,1.8301,1.9,1.83,1.86,2251.0,0.0,1.0,1.8301,1.9,1.83,1.86,2251.0
2016-10-14,1.82,1.9,1.82,1.86,20779.0,0.0,1.0,1.82,1.9,1.82,1.86,20779.0
2016-10-13,1.83,1.93,1.81,1.81,1815.0,0.0,1.0,1.83,1.93,1.81,1.81,1815.0
2016-10-12,1.91,1.92,1.81,1.88,30702.0,0.0,1.0,1.91,1.92,1.81,1.88,30702.0
2016-10-11,1.86,1.95,1.81,1.85,12505.0,0.0,1.0,1.86,1.95,1.81,1.85,12505.0
2016-10-10,1.91,1.94,1.8728,1.9,22964.0,0.0,1.0,1.91,1.94,1.8728,1.9,22964.0
2016-10-07,1.82,1.94,1.803,1.93,82924.0,0.0,1.0,1.82,1.94,1.803,1.93,82924.0
2016-10-06,1.8,1.85,1.75,1.78,29394.0,0.0,1.0,1.8,1.85,1.75,1.78,29394.0
2016-10-05,1.85,1.85,1.78,1.8,3383.0,0.0,1.0,1.85,1.85,1.78,1.8,3383.0
2016-10-04,1.79,1.9,1.79,1.81,14075.0,0.0,1.0,1.79,1.9,1.79,1.81,14075.0
2016-10-03,1.8,1.8,1.78,1.79,7687.0,0.0,1.0,1.8,1.8,1.78,1.79,7687.0
2016-09-30,1.81,1.89,1.7901,1.81,4860.0,0.0,1.0,1.81,1.89,1.7901,1.81,4860.0
2016-09-29,1.79,1.84,1.79,1.8066,1048.0,0.0,1.0,1.79,1.84,1.79,1.8066,1048.0
