Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,9.24,9.3886,9.2,9.28,126549.0,0.0,1.0,9.24,9.3886,9.2,9.28,126549.0
2016-11-16,8.95,9.21,8.92,9.2,292192.0,0.0,1.0,8.95,9.21,8.92,9.2,292192.0
2016-11-15,8.92,9.02,8.89,8.96,98648.0,0.0,1.0,8.92,9.02,8.89,8.96,98648.0
2016-11-14,9.3,9.3,8.955,9.03,218763.0,0.0,1.0,9.3,9.3,8.955,9.03,218763.0
2016-11-11,8.94,9.31,8.161,9.27,321755.0,0.0,1.0,8.94,9.31,8.161,9.27,321755.0
2016-11-10,9.03,9.1754,8.84,8.91,235805.0,0.0,1.0,9.03,9.1754,8.84,8.91,235805.0
2016-11-09,8.61,8.98,8.07,8.89,348598.0,0.0,1.0,8.61,8.98,8.07,8.89,348598.0
2016-11-08,8.48,8.57,8.41,8.52,104288.0,0.0,1.0,8.48,8.57,8.41,8.52,104288.0
2016-11-07,8.46,8.59,8.42,8.47,113387.0,0.0,1.0,8.46,8.59,8.42,8.47,113387.0
2016-11-04,8.4,8.44,8.28,8.32,144073.0,0.0,1.0,8.4,8.44,8.28,8.32,144073.0
2016-11-03,8.58,8.58,8.28,8.34,128572.0,0.0,1.0,8.58,8.58,8.28,8.34,128572.0
2016-11-02,8.76,8.76,8.48,8.53,105239.0,0.0,1.0,8.76,8.76,8.48,8.53,105239.0
2016-11-01,8.78,8.965,8.63,8.73,165293.0,0.0,1.0,8.78,8.965,8.63,8.73,165293.0
2016-10-31,8.61,8.81,8.59,8.81,166183.0,0.0,1.0,8.61,8.81,8.59,8.81,166183.0
2016-10-28,8.5,8.98,8.5,8.6,97543.0,0.0,1.0,8.5,8.98,8.5,8.6,97543.0
2016-10-27,8.88,8.88,8.475,8.53,160628.0,0.0,1.0,8.88,8.88,8.475,8.53,160628.0
2016-10-26,8.91,8.97,8.84,8.85,85123.0,0.0,1.0,8.91,8.97,8.84,8.85,85123.0
2016-10-25,9.07,9.07,8.88,8.95,131351.0,0.0,1.0,9.07,9.07,8.88,8.95,131351.0
2016-10-24,8.99,9.12,8.96,9.08,229307.0,0.0,1.0,8.99,9.12,8.96,9.08,229307.0
2016-10-21,9.09,9.21,8.9,8.98,121553.0,0.0,1.0,9.09,9.21,8.9,8.98,121553.0
2016-10-20,9.04,9.2,8.9586,9.19,147412.0,0.0,1.0,9.04,9.2,8.9586,9.19,147412.0
2016-10-19,9.01,9.13,8.95,9.06,117709.0,0.0,1.0,9.01,9.13,8.95,9.06,117709.0
2016-10-18,9.04,9.08,8.97,9.02,97967.0,0.0,1.0,9.04,9.08,8.97,9.02,97967.0
2016-10-17,8.91,9.02,8.87,8.93,136329.0,0.0,1.0,8.91,9.02,8.87,8.93,136329.0
2016-10-14,8.83,8.96,8.74,8.88,129517.0,0.0,1.0,8.83,8.96,8.74,8.88,129517.0
2016-10-13,8.87,8.87,8.7,8.84,142725.0,0.0,1.0,8.87,8.87,8.7,8.84,142725.0
2016-10-12,8.8,8.94,8.78,8.87,87759.0,0.0,1.0,8.8,8.94,8.78,8.87,87759.0
2016-10-11,8.97,8.97,8.775,8.81,93556.0,0.0,1.0,8.97,8.97,8.775,8.81,93556.0
2016-10-10,8.9,9.02,8.9,8.95,188775.0,0.0,1.0,8.9,9.02,8.9,8.95,188775.0
2016-10-07,8.97,9.08,8.8073,8.89,160898.0,0.0,1.0,8.97,9.08,8.8073,8.89,160898.0
2016-10-06,9.12,9.12,8.9,9.0,219586.0,0.0,1.0,9.12,9.12,8.9,9.0,219586.0
2016-10-05,9.24,9.24,9.02,9.065,120472.0,0.0,1.0,9.24,9.24,9.02,9.065,120472.0
2016-10-04,9.24,9.36,9.15,9.18,174387.0,0.0,1.0,9.24,9.36,9.15,9.18,174387.0
2016-10-03,9.42,9.42,9.18,9.25,149780.0,0.0,1.0,9.42,9.42,9.18,9.25,149780.0
2016-09-30,9.4,9.52,8.968,9.42,268129.0,0.0,1.0,9.4,9.52,8.968,9.42,268129.0
2016-09-29,9.4,9.405,9.22,9.33,273039.0,0.0,1.0,9.4,9.405,9.22,9.33,273039.0
2016-09-28,9.08,9.4,9.03,9.38,367612.0,0.0,1.0,9.08,9.4,9.03,9.38,367612.0
2016-09-27,8.96,9.12,8.95,9.03,269504.0,0.0,1.0,8.96,9.12,8.95,9.03,269504.0
2016-09-26,8.78,8.99,8.751,8.93,207528.0,0.0,1.0,8.78,8.99,8.751,8.93,207528.0
2016-09-23,8.93,8.96,8.8,8.91,220707.0,0.0,1.0,8.93,8.96,8.8,8.91,220707.0
2016-09-22,8.63,8.975,8.58,8.97,348077.0,0.0,1.0,8.63,8.975,8.58,8.97,348077.0
2016-09-21,8.47,8.61,8.465,8.6,245315.0,0.0,1.0,8.47,8.61,8.465,8.6,245315.0
2016-09-20,8.64,8.66,8.382,8.44,279810.0,0.0,1.0,8.64,8.66,8.382,8.44,279810.0
2016-09-19,8.59,8.65,8.48,8.6,178383.0,0.0,1.0,8.59,8.65,8.48,8.6,178383.0
2016-09-16,8.44,8.585,8.39,8.54,447234.0,0.0,1.0,8.44,8.585,8.39,8.54,447234.0
2016-09-15,8.35,8.5,8.26,8.45,288078.0,0.0,1.0,8.35,8.5,8.26,8.45,288078.0
2016-09-14,8.35,8.37,8.2,8.29,346559.0,0.0,1.0,8.35,8.37,8.2,8.29,346559.0
2016-09-13,8.31,8.4,8.11,8.28,245514.0,0.0,1.0,8.31,8.4,8.11,8.28,245514.0
2016-09-12,8.14,8.44,8.14,8.39,470450.0,0.0,1.0,8.14,8.44,8.14,8.39,470450.0
2016-09-09,8.09,8.48,8.09,8.15,1054710.0,0.0,1.0,8.09,8.48,8.09,8.15,1054710.0
2016-09-08,8.88,8.95,8.21,8.25,8176742.0,0.0,1.0,8.88,8.95,8.21,8.25,8176742.0
2016-09-07,9.38,9.39,8.9,8.92,188941.0,0.0,1.0,9.38,9.39,8.9,8.92,188941.0
2016-09-06,9.05,9.39,8.96,9.37,146556.0,0.0,1.0,9.05,9.39,8.96,9.37,146556.0
2016-09-02,9.0,9.21,8.92,9.06,121362.0,0.0,1.0,9.0,9.21,8.92,9.06,121362.0
2016-09-01,8.85,9.0,8.75,8.99,413447.0,0.0,1.0,8.85,9.0,8.75,8.99,413447.0
2016-08-31,8.93,8.95,8.8,8.87,165536.0,0.0,1.0,8.93,8.95,8.8,8.87,165536.0
2016-08-30,8.77,8.98,8.77,8.91,87784.0,0.0,1.0,8.77,8.98,8.77,8.91,87784.0
2016-08-29,8.99,9.0,8.77,8.82,165881.0,0.0,1.0,8.99,9.0,8.77,8.82,165881.0
2016-08-26,9.09,9.1499,8.8868,8.97,131869.0,0.0,1.0,9.09,9.1499,8.8868,8.97,131869.0
2016-08-25,8.92,9.218,8.92,9.12,141337.0,0.0,1.0,8.92,9.218,8.92,9.12,141337.0
2016-08-24,9.21,9.21,8.93,8.98,319878.0,0.0,1.0,9.21,9.21,8.93,8.98,319878.0
2016-08-23,8.86,9.28,8.86,9.2,205227.0,0.0,1.0,8.86,9.28,8.86,9.2,205227.0
2016-08-22,8.86,9.04,8.54,8.91,103822.0,0.0,1.0,8.86,9.04,8.54,8.91,103822.0
2016-08-19,9.03,9.2521,8.87,8.94,146260.0,0.0,1.0,9.03,9.2521,8.87,8.94,146260.0
2016-08-18,9.29,9.31,9.0,9.03,148062.0,0.0,1.0,9.29,9.31,9.0,9.03,148062.0
2016-08-17,9.23,9.45,9.16,9.24,142905.0,0.0,1.0,9.23,9.45,9.16,9.24,142905.0
2016-08-16,8.65,10.08,8.55,9.27,857000.0,0.0,1.0,8.65,10.08,8.55,9.27,857000.0
2016-08-15,8.45,8.579,8.11,8.46,57793.0,0.0,1.0,8.45,8.579,8.11,8.46,57793.0
2016-08-12,8.49,8.58,8.36,8.45,43613.0,0.0,1.0,8.49,8.58,8.36,8.45,43613.0
2016-08-11,8.49,8.58,8.42,8.49,43544.0,0.0,1.0,8.49,8.58,8.42,8.49,43544.0
2016-08-10,8.48,8.52,8.36,8.44,62681.0,0.0,1.0,8.48,8.52,8.36,8.44,62681.0
2016-08-09,8.32,8.545,8.32,8.48,50589.0,0.0,1.0,8.32,8.545,8.32,8.48,50589.0
2016-08-08,8.28,8.34,8.12,8.33,45719.0,0.0,1.0,8.28,8.34,8.12,8.33,45719.0
2016-08-05,8.2,8.33,8.16,8.28,120544.0,0.0,1.0,8.2,8.33,8.16,8.28,120544.0
2016-08-04,8.33,8.33,8.12,8.16,48869.0,0.0,1.0,8.33,8.33,8.12,8.16,48869.0
2016-08-03,8.33,8.35,8.25,8.32,55764.0,0.0,1.0,8.33,8.35,8.25,8.32,55764.0
2016-08-02,8.59,8.65,8.28,8.33,59248.0,0.0,1.0,8.59,8.65,8.28,8.33,59248.0
2016-08-01,8.55,8.9,8.47,8.59,144953.0,0.0,1.0,8.55,8.9,8.47,8.59,144953.0
2016-07-29,8.55,8.63,8.37,8.51,74376.0,0.0,1.0,8.55,8.63,8.37,8.51,74376.0
2016-07-28,8.53,8.6,8.34,8.59,101322.0,0.0,1.0,8.53,8.6,8.34,8.59,101322.0
2016-07-27,8.49,8.77,8.36,8.56,183720.0,0.0,1.0,8.49,8.77,8.36,8.56,183720.0
2016-07-26,8.58,8.73,8.4,8.48,79713.0,0.0,1.0,8.58,8.73,8.4,8.48,79713.0
2016-07-25,8.5,8.72,8.5,8.58,58358.0,0.0,1.0,8.5,8.72,8.5,8.58,58358.0
2016-07-22,8.58,8.86,8.57,8.64,59645.0,0.0,1.0,8.58,8.86,8.57,8.64,59645.0
2016-07-21,8.72,8.74,8.55,8.65,74066.0,0.0,1.0,8.72,8.74,8.55,8.65,74066.0
2016-07-20,8.75,8.78,8.64,8.74,83413.0,0.0,1.0,8.75,8.78,8.64,8.74,83413.0
2016-07-19,8.9,8.97,8.71,8.74,57720.0,0.0,1.0,8.9,8.97,8.71,8.74,57720.0
2016-07-18,8.89,8.99,8.85,8.9,58801.0,0.0,1.0,8.89,8.99,8.85,8.9,58801.0
2016-07-15,8.97,8.97,8.64,8.88,142409.0,0.0,1.0,8.97,8.97,8.64,8.88,142409.0
2016-07-14,9.05,9.14,8.89,8.9,116668.0,0.0,1.0,9.05,9.14,8.89,8.9,116668.0
2016-07-13,8.86,9.02,8.7175,9.01,91015.0,0.0,1.0,8.86,9.02,8.7175,9.01,91015.0
2016-07-12,8.93,9.09,8.77,8.79,219225.0,0.0,1.0,8.93,9.09,8.77,8.79,219225.0
2016-07-11,8.85,8.8911,8.77,8.86,180571.0,0.0,1.0,8.85,8.8911,8.77,8.86,180571.0
2016-07-08,8.71,8.89,8.64,8.8,213227.0,0.0,1.0,8.71,8.89,8.64,8.8,213227.0
2016-07-07,8.76,8.81,8.5,8.62,125036.0,0.0,1.0,8.76,8.81,8.5,8.62,125036.0
2016-07-06,8.41,8.72,8.41,8.7,101537.0,0.0,1.0,8.41,8.72,8.41,8.7,101537.0
2016-07-05,8.37,8.52,8.0784,8.47,139979.0,0.0,1.0,8.37,8.52,8.0784,8.47,139979.0
2016-07-01,8.28,8.42,8.27,8.41,76126.0,0.0,1.0,8.28,8.42,8.27,8.41,76126.0
2016-06-30,8.08,8.28,8.03,8.27,99109.0,0.0,1.0,8.08,8.28,8.03,8.27,99109.0
2016-06-29,7.87,8.1,7.79,8.09,132202.0,0.0,1.0,7.87,8.1,7.79,8.09,132202.0
