Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-12-04,22.89,22.95,22.88,22.91,642792.0,0.0,1.0,22.89,22.95,22.88,22.91,642792.0
2015-12-03,22.92,22.95,22.85,22.88,596195.0,0.0,1.0,22.92,22.95,22.85,22.88,596195.0
2015-12-02,22.91,22.95,22.9,22.92,247013.0,0.0,1.0,22.91,22.95,22.9,22.92,247013.0
2015-12-01,22.91,22.95,22.88,22.93,492717.0,0.0,1.0,22.91,22.95,22.88,22.93,492717.0
2015-11-30,22.84,22.92,22.84,22.89,434664.0,0.0,1.0,22.84,22.92,22.84,22.89,434664.0
2015-11-27,22.9,22.91,22.87,22.9,548087.0,0.0,1.0,22.9,22.91,22.87,22.9,548087.0
2015-11-25,22.78,22.9,22.78,22.9,342893.0,0.0,1.0,22.78,22.9,22.78,22.9,342893.0
2015-11-24,22.75,22.81,22.745,22.76,430471.0,0.0,1.0,22.75,22.81,22.745,22.76,430471.0
2015-11-23,22.7,22.8,22.7,22.78,227190.0,0.0,1.0,22.7,22.8,22.7,22.78,227190.0
2015-11-20,22.6,22.83,22.58,22.72,923418.0,0.0,1.0,22.6,22.83,22.58,22.72,923418.0
2015-11-19,22.55,22.58,22.4,22.44,318754.0,0.0,1.0,22.55,22.58,22.4,22.44,318754.0
2015-11-18,22.51,22.62,22.45,22.6,108119.0,0.0,1.0,22.51,22.62,22.45,22.6,108119.0
2015-11-17,22.64,22.64,22.46,22.47,254187.0,0.0,1.0,22.64,22.64,22.46,22.47,254187.0
2015-11-16,22.46,22.6,22.46,22.59,149649.0,0.0,1.0,22.46,22.6,22.46,22.59,149649.0
2015-11-13,22.65,22.79,22.49,22.52,230386.0,0.0,1.0,22.65,22.79,22.49,22.52,230386.0
2015-11-12,22.65,22.71,22.65,22.66,120302.0,0.0,1.0,22.65,22.71,22.65,22.66,120302.0
2015-11-11,22.71,22.77,22.55,22.68,54412.0,0.0,1.0,22.71,22.77,22.55,22.68,54412.0
2015-11-10,22.6,22.75,22.6,22.71,81546.0,0.0,1.0,22.6,22.75,22.6,22.71,81546.0
2015-11-09,22.71,22.76,22.59,22.65,130043.0,0.0,1.0,22.71,22.76,22.59,22.65,130043.0
2015-11-06,22.48,22.8,22.45,22.74,198058.0,0.0,1.0,22.48,22.8,22.45,22.74,198058.0
2015-11-05,22.66,22.74,22.66,22.7,194545.0,0.0,1.0,22.66,22.74,22.66,22.7,194545.0
2015-11-04,22.74,22.74,22.67,22.7,217654.0,0.0,1.0,22.74,22.74,22.67,22.7,217654.0
