Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,10.02,10.185,10.01,10.07,53881.0,0.0,1.0,10.02,10.185,10.01,10.07,53881.0
2016-11-16,10.02,10.185,9.96,10.04,111982.0,0.0,1.0,10.02,10.185,9.96,10.04,111982.0
2016-11-15,9.9,10.12,9.7,10.02,42574.0,0.0,1.0,9.9,10.12,9.7,10.02,42574.0
2016-11-14,10.16,10.28,9.98,10.01,70613.0,0.0,1.0,10.16,10.28,9.98,10.01,70613.0
2016-11-11,10.2,10.29,10.03,10.18,161375.0,0.0,1.0,10.2,10.29,10.03,10.18,161375.0
2016-11-10,10.17,10.32,10.09,10.13,109695.0,0.0,1.0,10.17,10.32,10.09,10.13,109695.0
2016-11-09,9.61,10.19,9.27,10.14,98902.0,0.0,1.0,9.61,10.19,9.27,10.14,98902.0
2016-11-08,9.7,9.86,9.69,9.75,54276.0,0.0,1.0,9.7,9.86,9.69,9.75,54276.0
2016-11-07,9.64,9.93,9.369,9.79,105842.0,0.0,1.0,9.64,9.93,9.369,9.79,105842.0
2016-11-04,9.5,10.12,9.2501,9.75,123959.0,0.0,1.0,9.5,10.12,9.2501,9.75,123959.0
2016-11-03,10.53,10.6,10.18,10.24,65827.0,0.0,1.0,10.53,10.6,10.18,10.24,65827.0
2016-11-02,10.39,10.48,10.28,10.45,41080.0,0.0,1.0,10.39,10.48,10.28,10.45,41080.0
2016-11-01,10.52,10.6,10.36,10.38,54966.0,0.0,1.0,10.52,10.6,10.36,10.38,54966.0
2016-10-31,10.57,10.6065,10.4309,10.55,38335.0,0.0,1.0,10.57,10.6065,10.4309,10.55,38335.0
2016-10-28,10.58,10.61,10.53,10.56,35541.0,0.0,1.0,10.58,10.61,10.53,10.56,35541.0
2016-10-27,10.58,10.58,10.1435,10.55,35068.0,0.0,1.0,10.58,10.58,10.1435,10.55,35068.0
2016-10-26,10.59,10.615,10.45,10.5,21817.0,0.0,1.0,10.59,10.615,10.45,10.5,21817.0
2016-10-25,10.37,10.63,10.2564,10.6,48209.0,0.0,1.0,10.37,10.63,10.2564,10.6,48209.0
2016-10-24,10.55,10.67,10.0,10.59,22989.0,0.0,1.0,10.55,10.67,10.0,10.59,22989.0
2016-10-21,10.52,10.7,10.5196,10.59,19766.0,0.0,1.0,10.52,10.7,10.5196,10.59,19766.0
2016-10-20,10.69,10.69,9.93,10.61,83489.0,0.0,1.0,10.69,10.69,9.93,10.61,83489.0
2016-10-19,10.53,10.74,10.361,10.69,39472.0,0.0,1.0,10.53,10.74,10.361,10.69,39472.0
2016-10-18,10.68,10.68,10.51,10.51,36140.0,0.0,1.0,10.68,10.68,10.51,10.51,36140.0
2016-10-17,10.7,10.74,10.58,10.61,45852.0,0.0,1.0,10.7,10.74,10.58,10.61,45852.0
2016-10-14,10.85,10.89,10.67,10.72,139104.0,0.0,1.0,10.85,10.89,10.67,10.72,139104.0
