Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-12-31,41.3,41.31,37.83,38.29,622572.0,0.0,1.0,41.3,41.31,37.83,38.29,622572.0
2015-12-30,41.91,41.91,41.28,41.28,58775.0,0.0,1.0,41.91,41.91,41.28,41.28,58775.0
2015-12-29,41.97,41.99,41.61,41.78,48504.0,0.0,1.0,41.97,41.99,41.61,41.78,48504.0
2015-12-28,42.24,42.71,41.56,41.9,41330.0,0.0,1.0,42.24,42.71,41.56,41.9,41330.0
2015-12-24,41.53,42.595,41.53,42.24,21683.0,0.0,1.0,41.53,42.595,41.53,42.24,21683.0
2015-12-23,40.7,41.64,40.57,41.56,37547.0,0.0,1.0,40.7,41.64,40.57,41.56,37547.0
2015-12-22,40.2011,42.36,40.2011,40.7,32273.0,0.0,1.0,40.2011,42.36,40.2011,40.7,32273.0
2015-12-21,39.7,41.72,39.7,40.48,67987.0,0.0,1.0,39.7,41.72,39.7,40.48,67987.0
2015-12-18,44.48,44.48,40.5211,41.51,104800.0,0.0,1.0,44.48,44.48,40.5211,41.51,104800.0
2015-12-17,49.9,49.9,44.276,44.93,80123.0,0.0,1.0,49.9,49.9,44.276,44.93,80123.0
2015-12-16,50.0,51.447,49.7001,50.81,183976.0,0.0,1.0,50.0,51.447,49.7001,50.81,183976.0
2015-12-15,48.33,48.75,48.21,48.61,70237.0,0.0,1.0,48.33,48.75,48.21,48.61,70237.0
2015-12-14,47.72,48.3932,47.38,48.16,46550.0,0.0,1.0,47.72,48.3932,47.38,48.16,46550.0
2015-12-11,48.35,48.85,47.33,47.43,54849.0,0.0,1.0,48.35,48.85,47.33,47.43,54849.0
2015-12-10,48.65,48.9899,48.445,48.51,35795.0,0.0,1.0,48.65,48.9899,48.445,48.51,35795.0
2015-12-09,49.1,49.3599,48.54,48.56,40244.0,0.0,1.0,49.1,49.3599,48.54,48.56,40244.0
2015-12-08,49.13,49.47,48.9001,49.17,32352.0,0.0,1.0,49.13,49.47,48.9001,49.17,32352.0
2015-12-07,49.6,49.74,48.907,49.14,30267.0,0.0,1.0,49.6,49.74,48.907,49.14,30267.0
2015-12-04,49.96,50.0,49.46,49.61,30296.0,0.0,1.0,49.96,50.0,49.46,49.61,30296.0
2015-12-03,50.15,50.27,49.58,49.69,27569.0,0.0,1.0,50.15,50.27,49.58,49.69,27569.0
