Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-05-21,10.99,11.01,10.99,11.01,325132.0,0.0,1.0,10.99,11.01,10.99,11.01,325132.0
2015-05-20,11.0,11.01,10.99,10.99,665465.0,0.0,1.0,11.0,11.01,10.99,10.99,665465.0
2015-05-19,11.0,11.01,10.99,11.01,136248.0,0.0,1.0,11.0,11.01,10.99,11.01,136248.0
2015-05-18,11.0,11.01,10.99,11.01,330845.0,0.0,1.0,11.0,11.01,10.99,11.01,330845.0
2015-05-15,10.99,11.01,10.99,11.0,79661.0,0.0,1.0,10.99,11.01,10.99,11.0,79661.0
2015-05-14,11.01,11.01,11.0,11.0,160553.0,0.0,1.0,11.01,11.01,11.0,11.0,160553.0
2015-05-13,11.0,11.01,10.99,11.01,133975.0,0.0,1.0,11.0,11.01,10.99,11.01,133975.0
2015-05-12,11.0,11.01,10.99,10.99,115089.0,0.0,1.0,11.0,11.01,10.99,10.99,115089.0
2015-05-11,11.0,11.03,11.0,11.01,159076.0,0.0,1.0,11.0,11.03,11.0,11.01,159076.0
2015-05-08,11.02,11.02,10.98,11.02,624010.0,0.0,1.0,11.02,11.02,10.98,11.02,624010.0
2015-05-07,11.0,11.0,10.98,10.99,806522.0,0.0,1.0,11.0,11.0,10.98,10.99,806522.0
2015-05-06,11.0,11.0,10.975,10.99,1427080.0,0.0,1.0,11.0,11.0,10.975,10.99,1427080.0
2015-05-05,11.01,11.035,10.99,11.0,808500.0,0.0,1.0,11.01,11.035,10.99,11.0,808500.0
2015-05-04,11.0,11.02,11.0,11.02,160084.0,0.0,1.0,11.0,11.02,11.0,11.02,160084.0
2015-05-01,11.02,11.04,11.0,11.0,457893.0,0.0,1.0,11.02,11.04,11.0,11.0,457893.0
2015-04-30,10.99,11.04,10.99,11.03,1055275.0,0.0,1.0,10.99,11.04,10.99,11.03,1055275.0
2015-04-29,11.0,11.03,11.0,11.01,376957.0,0.0,1.0,11.0,11.03,11.0,11.01,376957.0
2015-04-28,11.01,11.02,11.0,11.02,195599.0,0.0,1.0,11.01,11.02,11.0,11.02,195599.0
2015-04-27,11.02,11.1,11.0,11.01,359008.0,0.0,1.0,11.02,11.1,11.0,11.01,359008.0
2015-04-24,11.03,11.04,11.02,11.02,93764.0,0.0,1.0,11.03,11.04,11.02,11.02,93764.0
2015-04-23,11.02,11.05,11.02,11.03,133809.0,0.0,1.0,11.02,11.05,11.02,11.03,133809.0
2015-04-22,11.01,11.08,11.01,11.02,79130.0,0.0,1.0,11.01,11.08,11.01,11.02,79130.0
2015-04-21,11.02,11.04,11.0,11.03,264272.0,0.0,1.0,11.02,11.04,11.0,11.03,264272.0
2015-04-20,11.02,11.03,11.0,11.03,339801.0,0.0,1.0,11.02,11.03,11.0,11.03,339801.0
2015-04-17,11.0,11.01,10.99,11.0,627881.0,0.0,1.0,11.0,11.01,10.99,11.0,627881.0
2015-04-16,10.99,11.07,10.99,11.01,852309.0,0.0,1.0,10.99,11.07,10.99,11.01,852309.0
2015-04-15,10.96,11.03,10.96,11.01,2837764.0,0.0,1.0,10.96,11.03,10.96,11.01,2837764.0
2015-04-14,10.95,10.95,10.94,10.95,712820.0,0.0,1.0,10.95,10.95,10.94,10.95,712820.0
2015-04-13,10.94,10.95,10.94,10.94,313771.0,0.0,1.0,10.94,10.95,10.94,10.94,313771.0
2015-04-10,10.95,10.95,10.94,10.95,151188.0,0.0,1.0,10.95,10.95,10.94,10.95,151188.0
2015-04-09,10.92,10.95,10.92,10.95,757392.0,0.0,1.0,10.92,10.95,10.92,10.95,757392.0
2015-04-08,10.93,10.94,10.92,10.93,1414923.0,0.0,1.0,10.93,10.94,10.92,10.93,1414923.0
2015-04-07,10.93,10.94,10.92,10.93,2536855.0,0.0,1.0,10.93,10.94,10.92,10.93,2536855.0
2015-04-06,10.93,10.95,10.92,10.95,1597361.0,0.0,1.0,10.93,10.95,10.92,10.95,1597361.0
2015-04-02,10.93,10.94,10.92,10.93,1138320.0,0.0,1.0,10.93,10.94,10.92,10.93,1138320.0
2015-04-01,10.93,10.94,10.93,10.93,686785.0,0.0,1.0,10.93,10.94,10.93,10.93,686785.0
2015-03-31,10.93,10.95,10.93,10.95,637825.0,0.0,1.0,10.93,10.95,10.93,10.95,637825.0
2015-03-30,10.93,10.95,10.92,10.95,4092770.0,0.0,1.0,10.93,10.95,10.92,10.95,4092770.0
2015-03-27,10.94,10.95,10.92,10.93,6746956.0,0.0,1.0,10.94,10.95,10.92,10.93,6746956.0
2015-03-26,10.95,10.98,10.92,10.93,7415930.0,0.0,1.0,10.95,10.98,10.92,10.93,7415930.0
2015-03-25,10.93,11.02,10.92,10.95,36453161.0,0.0,1.0,10.93,11.02,10.92,10.95,36453161.0
2015-03-24,7.57,7.68,7.43,7.5,160158.0,0.0,1.0,7.57,7.68,7.43,7.5,160158.0
2015-03-23,7.49,7.65,7.37,7.62,122825.0,0.0,1.0,7.49,7.65,7.37,7.62,122825.0
2015-03-20,7.42,7.69,7.32,7.55,238674.0,0.0,1.0,7.42,7.69,7.32,7.55,238674.0
2015-03-19,7.26,7.43,7.23,7.42,70556.0,0.0,1.0,7.26,7.43,7.23,7.42,70556.0
2015-03-18,7.29,7.32,7.24,7.3,121288.0,0.0,1.0,7.29,7.32,7.24,7.3,121288.0
2015-03-17,7.36,7.41,7.25,7.35,95717.0,0.0,1.0,7.36,7.41,7.25,7.35,95717.0
2015-03-16,7.46,7.51,7.34,7.4,79666.0,0.0,1.0,7.46,7.51,7.34,7.4,79666.0
2015-03-13,7.2,7.5371,7.12,7.44,132420.0,0.0,1.0,7.2,7.5371,7.12,7.44,132420.0
2015-03-12,7.18,7.32,7.08,7.3,180807.0,0.0,1.0,7.18,7.32,7.08,7.3,180807.0
2015-03-11,6.76,7.4,6.74,7.12,353229.0,0.0,1.0,6.76,7.4,6.74,7.12,353229.0
2015-03-10,6.84,6.86,6.69,6.73,205898.0,0.0,1.0,6.84,6.86,6.69,6.73,205898.0
2015-03-09,6.9,6.94,6.84,6.88,99846.0,0.0,1.0,6.9,6.94,6.84,6.88,99846.0
2015-03-06,6.82,7.08,6.78,6.95,370392.0,0.0,1.0,6.82,7.08,6.78,6.95,370392.0
2015-03-05,6.75,6.9,6.75,6.83,122621.0,0.0,1.0,6.75,6.9,6.75,6.83,122621.0
2015-03-04,6.75,6.79,6.73,6.75,132320.0,0.0,1.0,6.75,6.79,6.73,6.75,132320.0
2015-03-03,6.82,6.85,6.75,6.79,84597.0,0.0,1.0,6.82,6.85,6.75,6.79,84597.0
2015-03-02,6.84,6.92,6.765,6.92,77488.0,0.0,1.0,6.84,6.92,6.765,6.92,77488.0
2015-02-27,6.85,6.96,6.8,6.82,171442.0,0.0,1.0,6.85,6.96,6.8,6.82,171442.0
2015-02-26,6.79,6.9,6.74,6.89,144035.0,0.0,1.0,6.79,6.9,6.74,6.89,144035.0
2015-02-25,6.85,6.89,6.75,6.84,181079.0,0.0,1.0,6.85,6.89,6.75,6.84,181079.0
2015-02-24,6.81,6.91,6.774,6.84,259349.0,0.0,1.0,6.81,6.91,6.774,6.84,259349.0
2015-02-23,6.75,6.86,6.75,6.79,122197.0,0.0,1.0,6.75,6.86,6.75,6.79,122197.0
2015-02-20,6.86,6.87,6.79,6.79,259393.0,0.0,1.0,6.86,6.87,6.79,6.79,259393.0
2015-02-19,6.9,6.91,6.82,6.9,154911.0,0.0,1.0,6.9,6.91,6.82,6.9,154911.0
2015-02-18,6.89,6.94,6.88,6.89,115273.0,0.0,1.0,6.89,6.94,6.88,6.89,115273.0
2015-02-17,6.95,6.98,6.87,6.88,205352.0,0.0,1.0,6.95,6.98,6.87,6.88,205352.0
2015-02-13,6.96,7.04,6.96,6.99,213516.0,0.0,1.0,6.96,7.04,6.96,6.99,213516.0
2015-02-12,7.03,7.08,6.99,7.0,173613.0,0.0,1.0,7.03,7.08,6.99,7.0,173613.0
2015-02-11,6.96,7.05,6.95,7.0,160839.0,0.0,1.0,6.96,7.05,6.95,7.0,160839.0
2015-02-10,7.05,7.05,6.97,6.97,259926.0,0.0,1.0,7.05,7.05,6.97,6.97,259926.0
2015-02-09,7.12,7.16,7.03,7.04,127740.0,0.0,1.0,7.12,7.16,7.03,7.04,127740.0
2015-02-06,7.23,7.33,7.19,7.19,228599.0,0.0,1.0,7.23,7.33,7.19,7.19,228599.0
2015-02-04,7.34,7.43,7.14,7.25,98997.0,0.0,1.0,7.34,7.43,7.14,7.25,98997.0
2015-02-03,7.09,7.48,7.05,7.35,200615.0,0.0,1.0,7.09,7.48,7.05,7.35,200615.0
2015-02-02,6.87,7.11,6.78,7.07,142117.0,0.0,1.0,6.87,7.11,6.78,7.07,142117.0
2015-01-30,6.66,6.99,6.66,6.89,415250.0,0.0,1.0,6.66,6.99,6.66,6.89,415250.0
2015-01-29,6.79,7.0,6.76,7.0,115325.0,0.0,1.0,6.79,7.0,6.76,7.0,115325.0
2015-01-28,6.86,6.87,6.73,6.75,185928.0,0.0,1.0,6.86,6.87,6.73,6.75,185928.0
2015-01-26,7.02,7.02,6.8,6.81,297172.0,0.0,1.0,7.02,7.02,6.8,6.81,297172.0
2015-01-23,6.89,7.16,6.86,7.06,238735.0,0.0,1.0,6.89,7.16,6.86,7.06,238735.0
2015-01-22,6.92,6.98,6.85,6.98,377210.0,0.0,1.0,6.92,6.98,6.85,6.98,377210.0
2015-01-21,6.82,6.9,6.81,6.84,117319.0,0.0,1.0,6.82,6.9,6.81,6.84,117319.0
2015-01-20,6.91,6.95,6.82,6.85,147892.0,0.0,1.0,6.91,6.95,6.82,6.85,147892.0
2015-01-15,6.96,6.96,6.84,6.89,117179.0,0.0,1.0,6.96,6.96,6.84,6.89,117179.0
2015-01-14,6.93,7.05,6.9,6.94,176783.0,0.0,1.0,6.93,7.05,6.9,6.94,176783.0
2015-01-12,6.88,6.89,6.76,6.81,79628.0,0.0,1.0,6.88,6.89,6.76,6.81,79628.0
2015-01-08,6.76,6.81,6.71,6.77,410088.0,0.0,1.0,6.76,6.81,6.71,6.77,410088.0
2015-01-06,6.98,6.98,6.74,6.74,197784.0,0.0,1.0,6.98,6.98,6.74,6.74,197784.0
2015-01-05,6.84,7.06,6.84,6.93,202732.0,0.0,1.0,6.84,7.06,6.84,6.93,202732.0
2015-01-02,7.05,7.095,6.945,6.95,132230.0,0.0,1.0,7.05,7.095,6.945,6.95,132230.0
2014-12-31,7.07,7.09,7.01,7.03,130880.0,0.0,1.0,7.07,7.09,7.01,7.03,130880.0
2014-12-30,7.23,7.26,7.04,7.07,264222.0,0.0,1.0,7.23,7.26,7.04,7.07,264222.0
2014-12-26,7.2,7.23,7.11,7.21,60987.0,0.0,1.0,7.2,7.23,7.11,7.21,60987.0
2014-12-24,6.98,7.16,6.97,7.15,38707.0,0.0,1.0,6.98,7.16,6.97,7.15,38707.0
2014-12-23,6.8,6.97,6.76,6.94,133385.0,0.0,1.0,6.8,6.97,6.76,6.94,133385.0
2014-12-22,6.74,6.8,6.7,6.78,175499.0,0.0,1.0,6.74,6.8,6.7,6.78,175499.0
2014-12-19,6.9,6.93,6.77,6.79,389569.0,0.0,1.0,6.9,6.93,6.77,6.79,389569.0
2014-12-18,6.69,6.96,6.65,6.94,193490.0,0.0,1.0,6.69,6.96,6.65,6.94,193490.0
2014-12-17,6.47,6.63,6.45,6.62,272301.0,0.0,1.0,6.47,6.63,6.45,6.62,272301.0
2014-12-16,6.46,6.57,6.41,6.44,400624.0,0.0,1.0,6.46,6.57,6.41,6.44,400624.0
2014-12-15,6.57,6.59,6.43,6.44,307465.0,0.0,1.0,6.57,6.59,6.43,6.44,307465.0
2014-12-12,6.55,6.65,6.55,6.56,176289.0,0.0,1.0,6.55,6.65,6.55,6.56,176289.0
2014-12-10,6.75,6.798,6.678,6.74,98377.0,0.0,1.0,6.75,6.798,6.678,6.74,98377.0
2014-12-09,6.7,6.78,6.68,6.76,246935.0,0.0,1.0,6.7,6.78,6.68,6.76,246935.0
2014-12-05,6.89,6.96,6.843,6.85,221302.0,0.0,1.0,6.89,6.96,6.843,6.85,221302.0
2014-12-04,6.78,6.93,6.78,6.9,136338.0,0.0,1.0,6.78,6.93,6.78,6.9,136338.0
2014-12-02,6.7,6.86,6.64,6.85,122457.0,0.0,1.0,6.7,6.86,6.64,6.85,122457.0
2014-12-01,6.66,6.75,6.63,6.7,131858.0,0.0,1.0,6.66,6.75,6.63,6.7,131858.0
2014-11-28,6.75,6.78,6.668,6.7,80459.0,0.0,1.0,6.75,6.78,6.668,6.7,80459.0
2014-11-26,6.81,6.81,6.7,6.78,67815.0,0.0,1.0,6.81,6.81,6.7,6.78,67815.0
2014-11-25,6.77,6.8499,6.76,6.82,35244.0,0.0,1.0,6.77,6.8499,6.76,6.82,35244.0
2014-11-24,6.72,6.805,6.65,6.79,543174.0,0.0,1.0,6.72,6.805,6.65,6.79,543174.0
2014-11-21,6.65,6.74,6.59,6.68,110008.0,0.0,1.0,6.65,6.74,6.59,6.68,110008.0
2014-11-20,6.41,6.61,6.4,6.61,75814.0,0.0,1.0,6.41,6.61,6.4,6.61,75814.0
