Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,53.68,54.63,52.34,54.51,3585327.0,0.0,1.0,53.68,54.63,52.34,54.51,3585327.0
2016-11-16,52.85,53.9899,52.59,53.78,3246198.0,0.0,1.0,52.85,53.9899,52.59,53.78,3246198.0
2016-11-15,53.28,53.93,52.09,52.86,4830234.0,0.0,1.0,53.28,53.93,52.09,52.86,4830234.0
2016-11-14,53.76,57.27,53.72,53.79,9935435.0,0.0,1.0,53.76,57.27,53.72,53.79,9935435.0
2016-11-11,50.97,53.87,50.54,53.22,10427455.0,0.0,1.0,50.97,53.87,50.54,53.22,10427455.0
2016-11-10,49.19,52.91,49.05,50.97,18517924.0,0.0,1.0,49.19,52.91,49.05,50.97,18517924.0
2016-11-09,43.19,46.25,43.001,45.7,6646984.0,0.0,1.0,43.19,46.25,43.001,45.7,6646984.0
2016-11-08,43.91,44.45,43.17,43.97,3433547.0,0.0,1.0,43.91,44.45,43.17,43.97,3433547.0
2016-11-07,43.4,43.92,43.235,43.84,3183833.0,0.0,1.0,43.4,43.92,43.235,43.84,3183833.0
2016-11-04,42.78,43.6,42.12,42.82,2717412.0,0.0,1.0,42.78,43.6,42.12,42.82,2717412.0
2016-11-03,43.45,44.02,42.63,42.69,3133534.0,0.0,1.0,43.45,44.02,42.63,42.69,3133534.0
2016-11-02,42.75,43.27,42.15,43.15,3736082.0,0.0,1.0,42.75,43.27,42.15,43.15,3736082.0
2016-11-01,43.7,44.28,43.265,43.69,2145718.0,0.0,1.0,43.7,44.28,43.265,43.69,2145718.0
2016-10-31,44.27,44.5,43.55,43.75,2013247.0,0.0,1.0,44.27,44.5,43.55,43.75,2013247.0
2016-10-28,43.68,44.5,43.52,44.12,2213824.0,0.0,1.0,43.68,44.5,43.52,44.12,2213824.0
2016-10-27,43.91,44.27,43.35,43.7,2911895.0,0.0,1.0,43.91,44.27,43.35,43.7,2911895.0
2016-10-26,43.42,44.53,43.32,43.75,1952706.0,0.0,1.0,43.42,44.53,43.32,43.75,1952706.0
