Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-08,0.179,,,0.146,0.0,0.0,1.0,0.179,,,0.146,0.0
2015-01-07,0.179,0.179,0.14,0.146,6962172.0,0.0,1.0,0.179,0.179,0.14,0.146,6962172.0
2015-01-06,0.198,0.198,0.161,0.164,4056171.0,0.0,1.0,0.198,0.198,0.161,0.164,4056171.0
2015-01-05,0.1989,0.1989,0.175,0.1812,3806230.0,0.0,1.0,0.1989,0.1989,0.175,0.1812,3806230.0
2015-01-02,0.2,0.209,0.1837,0.1901,3987858.0,0.0,1.0,0.2,0.209,0.1837,0.1901,3987858.0
2014-12-31,0.18,0.1997,0.1799,0.1982,4674637.0,0.0,1.0,0.18,0.1997,0.1799,0.1982,4674637.0
2014-12-30,0.21,0.21,0.1755,0.18,7334981.0,0.0,1.0,0.21,0.21,0.1755,0.18,7334981.0
2014-12-29,0.21,0.22,0.2,0.2037,4178022.0,0.0,1.0,0.21,0.22,0.2,0.2037,4178022.0
2014-12-26,0.21,0.22,0.2031,0.22,4370262.0,0.0,1.0,0.21,0.22,0.2031,0.22,4370262.0
2014-12-24,0.213,0.22,0.19,0.2011,3643831.0,0.0,1.0,0.213,0.22,0.19,0.2011,3643831.0
2014-12-23,0.2571,0.26,0.1901,0.195,14336603.0,0.0,1.0,0.2571,0.26,0.1901,0.195,14336603.0
2014-12-22,0.2917,0.2977,0.23,0.237,10352041.0,0.0,1.0,0.2917,0.2977,0.23,0.237,10352041.0
2014-12-19,0.3489,0.359,0.27,0.27,25499213.0,0.0,1.0,0.3489,0.359,0.27,0.27,25499213.0
2014-12-18,0.39,0.4,0.3,0.3411,8370951.0,0.0,1.0,0.39,0.4,0.3,0.3411,8370951.0
2014-12-17,0.29,0.37,0.274,0.37,9738144.0,0.0,1.0,0.29,0.37,0.274,0.37,9738144.0
2014-12-16,0.29,0.298,0.26,0.28,8909105.0,0.0,1.0,0.29,0.298,0.26,0.28,8909105.0
2014-12-15,0.3101,0.32,0.275,0.2801,3976480.0,0.0,1.0,0.3101,0.32,0.275,0.2801,3976480.0
2014-12-12,0.3207,0.327,0.28,0.3,4981353.0,0.0,1.0,0.3207,0.327,0.28,0.3,4981353.0
2014-12-11,0.3554,0.37,0.313,0.3198,2359595.0,0.0,1.0,0.3554,0.37,0.313,0.3198,2359595.0
2014-12-10,0.36,0.38,0.328,0.328,4476127.0,0.0,1.0,0.36,0.38,0.328,0.328,4476127.0
2014-12-09,0.31,0.3978,0.31,0.3801,4490688.0,0.0,1.0,0.31,0.3978,0.31,0.3801,4490688.0
2014-12-08,0.3906,0.3906,0.31,0.31,6985632.0,0.0,1.0,0.3906,0.3906,0.31,0.31,6985632.0
2014-12-05,0.4298,0.4399,0.3901,0.3989,3021768.0,0.0,1.0,0.4298,0.4399,0.3901,0.3989,3021768.0
2014-12-04,0.4501,0.47,0.42,0.4252,3240725.0,0.0,1.0,0.4501,0.47,0.42,0.4252,3240725.0
2014-12-02,0.48,0.53,0.41,0.4712,7328328.0,0.0,1.0,0.48,0.53,0.41,0.4712,7328328.0
2014-12-01,0.4181,0.5,0.37,0.45,10432084.0,0.0,1.0,0.4181,0.5,0.37,0.45,10432084.0
2014-11-28,0.5,0.5369,0.301,0.301,7242235.0,0.0,1.0,0.5,0.5369,0.301,0.301,7242235.0
2014-11-26,0.5815,0.6,0.5301,0.537,3649039.0,0.0,1.0,0.5815,0.6,0.5301,0.537,3649039.0
2014-11-25,0.6352,0.66,0.5747,0.591,3835160.0,0.0,1.0,0.6352,0.66,0.5747,0.591,3835160.0
2014-11-24,0.655,0.6799,0.6164,0.6201,2803044.0,0.0,1.0,0.655,0.6799,0.6164,0.6201,2803044.0
2014-11-21,0.634,0.6943,0.62,0.651,3396920.0,0.0,1.0,0.634,0.6943,0.62,0.651,3396920.0
2014-11-20,0.6001,0.634,0.596,0.6229,2699798.0,0.0,1.0,0.6001,0.634,0.596,0.6229,2699798.0
2014-11-19,0.6299,0.6474,0.59,0.62,1373642.0,0.0,1.0,0.6299,0.6474,0.59,0.62,1373642.0
2014-11-18,0.565,0.65,0.552,0.6376,3324550.0,0.0,1.0,0.565,0.65,0.552,0.6376,3324550.0
2014-11-17,0.63,0.65,0.55,0.5552,2847320.0,0.0,1.0,0.63,0.65,0.55,0.5552,2847320.0
2014-11-14,0.595,0.65,0.59,0.6456,2357345.0,0.0,1.0,0.595,0.65,0.59,0.6456,2357345.0
2014-11-13,0.56,0.6488,0.5563,0.6002,2107686.0,0.0,1.0,0.56,0.6488,0.5563,0.6002,2107686.0
2014-11-12,0.6149,0.6149,0.5506,0.5506,2724326.0,0.0,1.0,0.6149,0.6149,0.5506,0.5506,2724326.0
2014-11-11,0.57,0.64,0.535,0.6149,3386286.0,0.0,1.0,0.57,0.64,0.535,0.6149,3386286.0
2014-11-10,0.7,0.72,0.515,0.55,6155779.0,0.0,1.0,0.7,0.72,0.515,0.55,6155779.0
2014-11-07,0.5,0.92,0.4801,0.8,4961318.0,0.0,1.0,0.5,0.92,0.4801,0.8,4961318.0
2014-11-06,0.5067,0.52,0.4669,0.5199,1176547.0,0.0,1.0,0.5067,0.52,0.4669,0.5199,1176547.0
2014-11-04,0.521,0.55,0.48,0.48,2990287.0,0.0,1.0,0.521,0.55,0.48,0.48,2990287.0
2014-11-03,0.56,0.579,0.495,0.5,1920784.0,0.0,1.0,0.56,0.579,0.495,0.5,1920784.0
2014-10-31,0.46,0.5599,0.4504,0.5466,2820015.0,0.0,1.0,0.46,0.5599,0.4504,0.5466,2820015.0
2014-10-30,0.573,0.5799,0.4615,0.48,2634319.0,0.0,1.0,0.573,0.5799,0.4615,0.48,2634319.0
2014-10-29,0.55,0.58,0.514,0.56,1393484.0,0.0,1.0,0.55,0.58,0.514,0.56,1393484.0
2014-10-28,0.5119,0.57,0.49,0.5626,2601592.0,0.0,1.0,0.5119,0.57,0.49,0.5626,2601592.0
2014-10-24,0.6398,0.659,0.5426,0.5631,2858421.0,0.0,1.0,0.6398,0.659,0.5426,0.5631,2858421.0
2014-10-23,0.6413,0.6853,0.57,0.624,3806156.0,0.0,1.0,0.6413,0.6853,0.57,0.624,3806156.0
2014-10-22,0.75,0.76,0.63,0.63,5387364.0,0.0,1.0,0.75,0.76,0.63,0.63,5387364.0
2014-10-21,0.63,0.72,0.595,0.7183,6769063.0,0.0,1.0,0.63,0.72,0.595,0.7183,6769063.0
2014-10-20,0.5142,0.5785,0.48,0.578,3952469.0,0.0,1.0,0.5142,0.5785,0.48,0.578,3952469.0
2014-10-17,0.418,0.5295,0.418,0.4752,3099840.0,0.0,1.0,0.418,0.5295,0.418,0.4752,3099840.0
2014-10-16,0.37,0.46,0.3631,0.4504,3211941.0,0.0,1.0,0.37,0.46,0.3631,0.4504,3211941.0
2014-10-15,0.391,0.4193,0.363,0.409,3492712.0,0.0,1.0,0.391,0.4193,0.363,0.409,3492712.0
2014-10-14,0.4009,0.44,0.38,0.3909,4070813.0,0.0,1.0,0.4009,0.44,0.38,0.3909,4070813.0
2014-10-13,0.45,0.46,0.4013,0.4015,2914634.0,0.0,1.0,0.45,0.46,0.4013,0.4015,2914634.0
2014-10-10,0.4349,0.489,0.3912,0.4361,2179625.0,0.0,1.0,0.4349,0.489,0.3912,0.4361,2179625.0
2014-10-09,0.4215,0.47,0.4,0.4333,3545775.0,0.0,1.0,0.4215,0.47,0.4,0.4333,3545775.0
2014-10-08,0.4899,0.5,0.413,0.4788,4150202.0,0.0,1.0,0.4899,0.5,0.413,0.4788,4150202.0
2014-10-07,0.53,0.547,0.47,0.474,4552364.0,0.0,1.0,0.53,0.547,0.47,0.474,4552364.0
2014-10-06,0.5455,0.55,0.5131,0.52,1975671.0,0.0,1.0,0.5455,0.55,0.5131,0.52,1975671.0
2014-10-03,0.56,0.58,0.51,0.51,3137356.0,0.0,1.0,0.56,0.58,0.51,0.51,3137356.0
2014-10-01,0.6,0.63,0.5499,0.5499,3051359.0,0.0,1.0,0.6,0.63,0.5499,0.5499,3051359.0
2014-09-30,0.6,0.6792,0.5883,0.6028,3448977.0,0.0,1.0,0.6,0.6792,0.5883,0.6028,3448977.0
2014-09-29,0.6,0.6471,0.5128,0.5921,4638509.0,0.0,1.0,0.6,0.6471,0.5128,0.5921,4638509.0
2014-09-26,0.8724,0.88,0.6201,0.6351,11641585.0,0.0,1.0,0.8724,0.88,0.6201,0.6351,11641585.0
2014-09-25,0.92,0.94,0.882,0.9,1406273.0,0.0,1.0,0.92,0.94,0.882,0.9,1406273.0
2014-09-24,0.95,0.96,0.87,0.9407,2584962.0,0.0,1.0,0.95,0.96,0.87,0.9407,2584962.0
2014-09-23,0.92,0.97,0.8699,0.97,3866918.0,0.0,1.0,0.92,0.97,0.8699,0.97,3866918.0
2014-09-22,1.05,1.05,0.9,0.92,3783206.0,0.0,1.0,1.05,1.05,0.9,0.92,3783206.0
2014-09-19,1.03,1.13,0.97,1.04,17876787.0,0.0,1.0,1.03,1.13,0.97,1.04,17876787.0
2014-09-18,1.07,1.13,0.9518,0.9706,4508530.0,0.0,1.0,1.07,1.13,0.9518,0.9706,4508530.0
2014-09-17,1.01,1.1,1.0001,1.04,4420371.0,0.0,1.0,1.01,1.1,1.0001,1.04,4420371.0
2014-09-16,0.99,1.04,0.95,1.01,2572016.0,0.0,1.0,0.99,1.04,0.95,1.01,2572016.0
2014-09-15,0.94,1.01,0.85,0.944,3748855.0,0.0,1.0,0.94,1.01,0.85,0.944,3748855.0
2014-09-12,1.05,1.07,0.9,0.9101,5524801.0,0.0,1.0,1.05,1.07,0.9,0.9101,5524801.0
2014-09-11,1.07,1.09,1.03,1.03,4610751.0,0.0,1.0,1.07,1.09,1.03,1.03,4610751.0
2014-09-10,1.1,1.13,1.06,1.07,2426120.0,0.0,1.0,1.1,1.13,1.06,1.07,2426120.0
2014-09-09,1.16,1.17,1.09,1.11,2239032.0,0.0,1.0,1.16,1.17,1.09,1.11,2239032.0
2014-09-08,1.17,1.19,1.11,1.16,2336353.0,0.0,1.0,1.17,1.19,1.11,1.16,2336353.0
2014-09-05,1.15,1.21,1.11,1.19,3021923.0,0.0,1.0,1.15,1.21,1.11,1.19,3021923.0
2014-09-04,1.25,1.26,1.1,1.11,3994483.0,0.0,1.0,1.25,1.26,1.1,1.11,3994483.0
2014-09-03,1.27,1.31,1.21,1.24,3460812.0,0.0,1.0,1.27,1.31,1.21,1.24,3460812.0
2014-09-02,1.33,1.34,1.22,1.24,3648759.0,0.0,1.0,1.33,1.34,1.22,1.24,3648759.0
2014-08-29,1.3,1.36,1.27,1.33,2519789.0,0.0,1.0,1.3,1.36,1.27,1.33,2519789.0
2014-08-28,1.33,1.34,1.24,1.28,2148653.0,0.0,1.0,1.33,1.34,1.24,1.28,2148653.0
2014-08-27,1.24,1.36,1.23,1.3,7418802.0,0.0,1.0,1.24,1.36,1.23,1.3,7418802.0
2014-08-26,1.2,1.21,1.17,1.19,1446791.0,0.0,1.0,1.2,1.21,1.17,1.19,1446791.0
2014-08-25,1.34,1.37,1.18,1.22,3178468.0,0.0,1.0,1.34,1.37,1.18,1.22,3178468.0
2014-08-22,1.38,1.417,1.28,1.32,2421724.0,0.0,1.0,1.38,1.417,1.28,1.32,2421724.0
2014-08-21,1.32,1.39,1.32,1.37,2312312.0,0.0,1.0,1.32,1.39,1.32,1.37,2312312.0
2014-08-20,1.285,1.35,1.25,1.32,3665064.0,0.0,1.0,1.285,1.35,1.25,1.32,3665064.0
2014-08-19,1.17,1.3,1.14,1.26,3276849.0,0.0,1.0,1.17,1.3,1.14,1.26,3276849.0
2014-08-18,1.18,1.2,1.1,1.14,2499514.0,0.0,1.0,1.18,1.2,1.1,1.14,2499514.0
2014-08-15,1.12,1.22,1.03,1.17,5025718.0,0.0,1.0,1.12,1.22,1.03,1.17,5025718.0
2014-08-14,1.17,1.24,1.09,1.11,3557712.0,0.0,1.0,1.17,1.24,1.09,1.11,3557712.0
2014-08-13,1.23,1.25,1.05,1.16,6897471.0,0.0,1.0,1.23,1.25,1.05,1.16,6897471.0
2014-08-12,1.32,1.33,1.18,1.21,5446659.0,0.0,1.0,1.32,1.33,1.18,1.21,5446659.0
2014-08-11,1.28,1.36,1.26,1.3,4734319.0,0.0,1.0,1.28,1.36,1.26,1.3,4734319.0
2014-08-08,1.475,1.5,1.27,1.28,7427569.0,0.0,1.0,1.475,1.5,1.27,1.28,7427569.0
2014-08-07,1.59,1.62,1.37,1.41,4698888.0,0.0,1.0,1.59,1.62,1.37,1.41,4698888.0
2014-08-06,1.44,1.62,1.42,1.57,4077044.0,0.0,1.0,1.44,1.62,1.42,1.57,4077044.0
2014-08-05,1.68,1.69,1.39,1.5,9179487.0,0.0,1.0,1.68,1.69,1.39,1.5,9179487.0
2014-08-04,1.75,1.78,1.66,1.78,5392268.0,0.0,1.0,1.75,1.78,1.66,1.78,5392268.0
2014-08-01,1.9,1.9,1.79,1.8,1821655.0,0.0,1.0,1.9,1.9,1.79,1.8,1821655.0
2014-07-31,1.91,1.93,1.88,1.88,1773368.0,0.0,1.0,1.91,1.93,1.88,1.88,1773368.0
2014-07-30,2.0,2.05,1.91,1.93,1946384.0,0.0,1.0,2.0,2.05,1.91,1.93,1946384.0
2014-07-29,1.87,1.95,1.87,1.93,1640910.0,0.0,1.0,1.87,1.95,1.87,1.93,1640910.0
2014-07-28,2.03,2.07,1.81,1.88,4396164.0,0.0,1.0,2.03,2.07,1.81,1.88,4396164.0
2014-07-25,2.11,2.1259,2.02,2.03,1620309.0,0.0,1.0,2.11,2.1259,2.02,2.03,1620309.0
2014-07-24,2.09,2.12,2.06,2.1,2616740.0,0.0,1.0,2.09,2.12,2.06,2.1,2616740.0
2014-07-23,2.09,2.1201,2.04,2.07,3563142.0,0.0,1.0,2.09,2.1201,2.04,2.07,3563142.0
2014-07-22,2.02,2.1,2.0,2.08,1109783.0,0.0,1.0,2.02,2.1,2.0,2.08,1109783.0
2014-07-21,2.06,2.08,1.97,2.01,1107813.0,0.0,1.0,2.06,2.08,1.97,2.01,1107813.0
2014-07-18,2.02,2.07,2.01,2.06,1225653.0,0.0,1.0,2.02,2.07,2.01,2.06,1225653.0
2014-07-17,2.15,2.18,2.0,2.01,2289967.0,0.0,1.0,2.15,2.18,2.0,2.01,2289967.0
2014-07-16,2.29,2.31,2.11,2.11,2729782.0,0.0,1.0,2.29,2.31,2.11,2.11,2729782.0
2014-07-15,2.365,2.4,2.23,2.26,2334329.0,0.0,1.0,2.365,2.4,2.23,2.26,2334329.0
2014-07-14,2.35,2.36,2.27,2.36,1833287.0,0.0,1.0,2.35,2.36,2.27,2.36,1833287.0
2014-07-11,2.39,2.4,2.32,2.32,1515402.0,0.0,1.0,2.39,2.4,2.32,2.32,1515402.0
2014-07-10,2.38,2.44,2.35,2.38,1931529.0,0.0,1.0,2.38,2.44,2.35,2.38,1931529.0
