Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-10-01,74.98,74.98,74.98,74.98,40.0,0.0,1.0,74.98,74.98,74.98,74.98,40.0
2015-09-30,74.99,74.99,74.97,74.98,1039472.0,0.0,1.0,74.99,74.99,74.97,74.98,1039472.0
2015-09-29,74.96,75.0,74.95,74.99,1643602.0,0.0,1.0,74.96,75.0,74.95,74.99,1643602.0
2015-09-28,74.94,74.98,74.93,74.94,2829681.0,0.0,1.0,74.94,74.98,74.93,74.94,2829681.0
2015-09-25,74.95,74.97,74.92,74.93,1344678.0,0.0,1.0,74.95,74.97,74.92,74.93,1344678.0
2015-09-24,74.9,74.97,74.89,74.97,872258.0,0.0,1.0,74.9,74.97,74.89,74.97,872258.0
2015-09-23,74.89,74.94,74.88,74.92,1038001.0,0.0,1.0,74.89,74.94,74.88,74.92,1038001.0
2015-09-22,74.87,74.91,74.86,74.87,1105543.0,0.0,1.0,74.87,74.91,74.86,74.87,1105543.0
2015-09-21,74.92,74.95,74.86,74.86,964158.0,0.0,1.0,74.92,74.95,74.86,74.86,964158.0
2015-09-18,74.89,74.95,74.85,74.92,1375809.0,0.0,1.0,74.89,74.95,74.85,74.92,1375809.0
2015-09-17,74.85,74.92,74.82,74.92,1175391.0,0.0,1.0,74.85,74.92,74.82,74.92,1175391.0
2015-09-16,74.8,74.9,74.78,74.87,1011356.0,0.0,1.0,74.8,74.9,74.78,74.87,1011356.0
2015-09-15,74.76,74.8,74.76,74.8,538376.0,0.0,1.0,74.76,74.8,74.76,74.8,538376.0
2015-09-14,74.79,74.83,74.76,74.765,340014.0,0.0,1.0,74.79,74.83,74.76,74.765,340014.0
2015-09-11,74.76,74.79,74.76,74.79,440650.0,0.0,1.0,74.76,74.79,74.76,74.79,440650.0
2015-09-10,74.74,74.79,74.74,74.79,668778.0,0.0,1.0,74.74,74.79,74.74,74.79,668778.0
2015-09-09,74.79,74.8,74.73,74.73,859259.0,0.0,1.0,74.79,74.8,74.73,74.73,859259.0
2015-09-08,74.76,74.8,74.72,74.77,831432.0,0.0,1.0,74.76,74.8,74.72,74.77,831432.0
2015-09-04,74.69,74.78,74.69,74.71,485392.0,0.0,1.0,74.69,74.78,74.69,74.71,485392.0
2015-09-03,74.75,74.78,74.71,74.72,334163.0,0.0,1.0,74.75,74.78,74.71,74.72,334163.0
2015-09-02,74.73,74.78,74.69,74.77,509105.0,0.0,1.0,74.73,74.78,74.69,74.77,509105.0
2015-09-01,74.68,74.79,74.65,74.68,760304.0,0.0,1.0,74.68,74.79,74.65,74.68,760304.0
2015-08-31,74.66,74.79,74.66,74.72,556909.0,0.0,1.0,74.66,74.79,74.66,74.72,556909.0
2015-08-28,74.65,74.74,74.65,74.7,517691.0,0.0,1.0,74.65,74.74,74.65,74.7,517691.0
2015-08-27,74.75,74.75,74.65,74.69,627296.0,0.0,1.0,74.75,74.75,74.65,74.69,627296.0
