Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,14.16,14.38,14.16,14.25,203467.0,0.0,1.0,14.16,14.38,14.16,14.25,203467.0
2016-11-16,13.94,14.24,13.94,14.19,168872.0,0.0,1.0,13.94,14.24,13.94,14.19,168872.0
2016-11-15,13.78,14.05,13.7167,14.01,159451.0,0.0,1.0,13.78,14.05,13.7167,14.01,159451.0
2016-11-14,13.75,14.0,13.65,13.85,322619.0,0.0,1.0,13.75,14.0,13.65,13.85,322619.0
2016-11-11,13.58,13.9,13.57,13.7,385676.0,0.0,1.0,13.58,13.9,13.57,13.7,385676.0
2016-11-10,13.74,13.81,13.33,13.53,389779.0,0.0,1.0,13.74,13.81,13.33,13.53,389779.0
2016-11-09,13.14,13.71,13.1101,13.66,271765.0,0.0,1.0,13.14,13.71,13.1101,13.66,271765.0
2016-11-08,13.45,13.48,13.29,13.32,228794.0,0.0,1.0,13.45,13.48,13.29,13.32,228794.0
2016-11-07,13.44,13.63,13.4,13.46,480483.0,0.0,1.0,13.44,13.63,13.4,13.46,480483.0
2016-11-04,13.15,13.33,12.87,13.23,496965.0,0.0,1.0,13.15,13.33,12.87,13.23,496965.0
2016-11-03,12.66,12.8,12.63,12.76,214628.0,0.0,1.0,12.66,12.8,12.63,12.76,214628.0
2016-11-02,12.46,12.694,12.4,12.67,338759.0,0.0,1.0,12.46,12.694,12.4,12.67,338759.0
2016-11-01,12.67,12.76,12.43,12.5,240072.0,0.0,1.0,12.67,12.76,12.43,12.5,240072.0
2016-10-31,12.57,12.73,12.5201,12.68,160730.0,0.0,1.0,12.57,12.73,12.5201,12.68,160730.0
2016-10-28,12.52,12.63,12.44,12.57,127766.0,0.0,1.0,12.52,12.63,12.44,12.57,127766.0
2016-10-27,12.69,12.69,12.45,12.53,118308.0,0.0,1.0,12.69,12.69,12.45,12.53,118308.0
2016-10-26,12.7,12.755,12.64,12.64,99958.0,0.0,1.0,12.7,12.755,12.64,12.64,99958.0
2016-10-25,12.66,12.75,12.61,12.71,92429.0,0.0,1.0,12.66,12.75,12.61,12.71,92429.0
2016-10-24,12.35,12.7,12.35,12.63,115852.0,0.0,1.0,12.35,12.7,12.35,12.63,115852.0
2016-10-21,12.2,12.3,12.14,12.28,195180.0,0.0,1.0,12.2,12.3,12.14,12.28,195180.0
2016-10-20,12.28,12.34,12.24,12.25,243538.0,0.0,1.0,12.28,12.34,12.24,12.25,243538.0
2016-10-19,12.29,12.3899,12.24,12.26,141349.0,0.0,1.0,12.29,12.3899,12.24,12.26,141349.0
2016-10-18,12.24,12.25,12.17,12.2,131980.0,0.0,1.0,12.24,12.25,12.17,12.2,131980.0
2016-10-17,12.25,12.37,12.17,12.18,126928.0,0.0,1.0,12.25,12.37,12.17,12.18,126928.0
2016-10-14,12.47,12.52,12.25,12.26,226813.0,0.0,1.0,12.47,12.52,12.25,12.26,226813.0
2016-10-13,12.39,12.52,12.33,12.39,197787.0,0.0,1.0,12.39,12.52,12.33,12.39,197787.0
2016-10-12,12.42,12.59,12.35,12.45,172222.0,0.0,1.0,12.42,12.59,12.35,12.45,172222.0
2016-10-11,12.43,12.5,12.36,12.4,170927.0,0.0,1.0,12.43,12.5,12.36,12.4,170927.0
2016-10-10,12.49,12.6,12.45,12.48,190021.0,0.0,1.0,12.49,12.6,12.45,12.48,190021.0
2016-10-07,12.53,12.58,12.33,12.4,195925.0,0.0,1.0,12.53,12.58,12.33,12.4,195925.0
2016-10-06,12.66,12.7,12.23,12.47,240511.0,0.0,1.0,12.66,12.7,12.23,12.47,240511.0
2016-10-05,12.73,12.8,12.61,12.66,213477.0,0.0,1.0,12.73,12.8,12.61,12.66,213477.0
2016-10-04,13.01,13.01,12.62,12.72,225834.0,0.0,1.0,13.01,13.01,12.62,12.72,225834.0
