Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,43.75,44.6,43.26,43.89,82340.0,0.0,1.0,43.75,44.6,43.26,43.89,82340.0
2016-11-16,42.97,44.855,42.5,43.63,92854.0,0.0,1.0,42.97,44.855,42.5,43.63,92854.0
2016-11-15,42.9,43.18,41.977,43.07,59136.0,0.0,1.0,42.9,43.18,41.977,43.07,59136.0
2016-11-14,42.87,44.31,42.43,42.88,85337.0,0.0,1.0,42.87,44.31,42.43,42.88,85337.0
2016-11-11,40.25,42.54,40.25,42.27,152412.0,0.0,1.0,40.25,42.54,40.25,42.27,152412.0
2016-11-10,39.5,40.59,38.91,40.37,96341.0,0.0,1.0,39.5,40.59,38.91,40.37,96341.0
2016-11-09,36.5,38.895,36.48,38.69,104576.0,0.0,1.0,36.5,38.895,36.48,38.69,104576.0
2016-11-08,36.35,36.95,35.54,36.77,55242.0,0.0,1.0,36.35,36.95,35.54,36.77,55242.0
2016-11-07,35.94,36.6,35.66,36.55,57601.0,0.0,1.0,35.94,36.6,35.66,36.55,57601.0
2016-11-04,35.68,35.77,35.31,35.35,54222.0,0.0,1.0,35.68,35.77,35.31,35.35,54222.0
2016-11-03,35.62,35.91,35.555,35.64,32132.0,0.0,1.0,35.62,35.91,35.555,35.64,32132.0
2016-11-02,36.41,36.41,35.23,35.47,58723.0,0.0,1.0,36.41,36.41,35.23,35.47,58723.0
2016-11-01,36.9,36.95,36.05,36.37,51471.0,0.0,1.0,36.9,36.95,36.05,36.37,51471.0
2016-10-31,36.56,37.04,36.47,36.84,89012.0,0.0,1.0,36.56,37.04,36.47,36.84,89012.0
2016-10-28,37.04,37.07,36.285,36.74,62258.0,0.0,1.0,37.04,37.07,36.285,36.74,62258.0
2016-10-27,37.32,37.52,37.01,37.12,47413.0,0.0,1.0,37.32,37.52,37.01,37.12,47413.0
2016-10-26,37.04,37.92,36.8747,37.17,97688.0,0.0,1.0,37.04,37.92,36.8747,37.17,97688.0
2016-10-25,35.5,36.84,35.26,36.82,101025.0,0.0,1.0,35.5,36.84,35.26,36.82,101025.0
2016-10-24,35.0,35.24,34.86,35.13,37434.0,0.0,1.0,35.0,35.24,34.86,35.13,37434.0
2016-10-21,34.53,34.805,34.16,34.73,56335.0,0.19,1.0,34.53,34.805,34.16,34.73,56335.0
2016-10-20,34.99,35.26,34.77,34.98,27813.0,0.0,1.0,34.799619129439,35.068150057274,34.580816151203,34.789673539519,27813.0
2016-10-19,34.67,35.34,34.67,35.07,37673.0,0.0,1.0,34.481360252005,35.147714776632,34.481360252005,34.879183848797,37673.0
2016-10-18,34.48,34.53,34.055,34.5,65922.0,0.0,1.0,34.292394043528,34.342121993127,33.869706471936,34.312285223368,65922.0
2016-10-17,34.29,34.44,33.98,34.23,40896.0,0.0,1.0,34.103427835052,34.252611683849,33.795114547537,34.043754295533,40896.0
2016-10-14,34.61,34.76,34.32,34.41,59586.0,0.0,1.0,34.421686712486,34.570870561283,34.133264604811,34.222774914089,59586.0
2016-10-13,35.19,35.19,34.11,34.32,50967.0,0.0,1.0,34.998530927835,34.998530927835,33.924407216495,34.133264604811,50967.0
2016-10-12,35.09,35.51,35.02,35.28,42223.0,0.0,1.0,34.899075028637,35.316789805269,34.829455899198,35.088041237113,42223.0
2016-10-11,35.55,35.58,35.02,35.18,52128.0,0.0,1.0,35.356572164948,35.386408934708,34.829455899198,34.988585337915,52128.0
2016-10-10,35.28,35.64,35.25,35.46,26118.0,0.0,1.0,35.088041237113,35.446082474227,35.058204467354,35.26706185567,26118.0
2016-10-07,35.52,35.58,34.98,35.18,75361.0,0.0,1.0,35.326735395189,35.386408934708,34.789673539519,34.988585337915,75361.0
2016-10-06,35.45,35.79,35.4,35.64,41475.0,0.0,1.0,35.25711626575,35.595266323024,35.207388316151,35.446082474227,41475.0
2016-10-05,35.52,35.875,35.39,35.56,46977.0,0.0,1.0,35.326735395189,35.679803837342,35.197442726231,35.366517754868,46977.0
2016-10-04,35.18,35.7,35.0301,35.33,47758.0,0.0,1.0,34.988585337915,35.505756013746,34.839500945017,35.137769186712,47758.0
2016-10-03,35.2,35.27,34.96,35.17,36472.0,0.0,1.0,35.008476517755,35.078095647194,34.769782359679,34.978639747995,36472.0
2016-09-30,35.05,35.629,34.97,35.42,51179.0,0.0,1.0,34.859292668958,35.435142325315,34.779727949599,35.227279495991,51179.0
2016-09-29,35.63,35.63,34.79,34.89,26290.0,0.0,1.0,35.436136884307,35.436136884307,34.600707331042,34.700163230241,26290.0
2016-09-28,35.45,35.6,35.16,35.6,30907.0,0.0,1.0,35.25711626575,35.406300114548,34.968694158076,35.406300114548,30907.0
2016-09-27,34.92,35.48,34.83,35.34,37797.0,0.0,1.0,34.73,35.28695303551,34.640489690722,35.147714776632,37797.0
2016-09-26,35.55,35.55,34.9,34.91,47194.0,0.0,1.0,35.356572164948,35.356572164948,34.71010882016,34.72005441008,47194.0
2016-09-23,35.77,35.95,35.64,35.65,35772.0,0.0,1.0,35.575375143184,35.754395761741,35.446082474227,35.456028064147,35772.0
2016-09-22,35.69,36.05,35.505,36.03,77116.0,0.0,1.0,35.495810423826,35.853851660939,35.311817010309,35.8339604811,77116.0
2016-09-21,35.73,35.98,35.4101,35.53,80326.0,0.0,1.0,35.535592783505,35.784232531501,35.21743336197,35.336680985109,80326.0
2016-09-20,35.54,35.74,35.42,35.51,62853.0,0.0,1.0,35.346626575029,35.545538373425,35.227279495991,35.316789805269,62853.0
2016-09-19,35.33,35.69,35.235,35.43,38242.0,0.0,1.0,35.137769186712,35.495810423826,35.043286082474,35.237225085911,38242.0
2016-09-16,35.34,36.53,34.92,35.26,117559.0,0.0,1.0,35.147714776632,36.33123997709,34.73,35.068150057274,117559.0
2016-09-15,35.16,35.29,35.0,35.22,55103.0,0.0,1.0,34.968694158076,35.097986827033,34.809564719359,35.028367697595,55103.0
2016-09-14,35.33,35.62,34.95,34.98,45538.0,0.0,1.0,35.137769186712,35.426191294387,34.759836769759,34.789673539519,45538.0
2016-09-13,36.08,36.08,35.26,35.41,68874.0,0.0,1.0,35.883688430699,35.883688430699,35.068150057274,35.217333906071,68874.0
2016-09-12,35.84,36.15,35.54,36.15,68065.0,0.0,1.0,35.644994272623,35.953307560137,35.346626575029,35.953307560137,68065.0
2016-09-09,36.13,36.63,35.87,35.88,66021.0,0.0,1.0,35.933416380298,36.430695876289,35.674831042383,35.684776632302,66021.0
2016-09-08,36.14,36.53,36.08,36.29,71664.0,0.0,1.0,35.943361970218,36.33123997709,35.883688430699,36.092545819015,71664.0
2016-09-07,35.82,36.23,35.68,36.15,62594.0,0.0,1.0,35.625103092784,36.032872279496,35.485864833906,35.953307560137,62594.0
2016-09-06,36.14,36.18,35.5101,35.84,82334.0,0.0,1.0,35.943361970218,35.983144329897,35.316889261168,35.644994272623,82334.0
2016-09-02,35.75,36.04,35.5,36.03,136133.0,0.0,1.0,35.555483963345,35.843906071019,35.306844215349,35.8339604811,136133.0
2016-09-01,36.0,36.0,34.76,35.74,82124.0,0.0,1.0,35.80412371134,35.80412371134,34.570870561283,35.545538373425,82124.0
2016-08-31,36.03,36.33,35.51,35.84,92585.0,0.0,1.0,35.8339604811,36.132328178694,35.316789805269,35.644994272623,92585.0
2016-08-30,35.81,36.19,35.75,36.05,68606.0,0.0,1.0,35.615157502864,35.993089919817,35.555483963345,35.853851660939,68606.0
2016-08-29,35.72,36.03,35.72,35.87,44063.0,0.0,1.0,35.525647193585,35.8339604811,35.525647193585,35.674831042383,44063.0
2016-08-26,35.57,35.86,35.51,35.72,59258.0,0.0,1.0,35.376463344788,35.664885452463,35.316789805269,35.525647193585,59258.0
