Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,2.35,2.44,2.3,2.34,241340.0,0.0,1.0,2.35,2.44,2.3,2.34,241340.0
2016-11-16,2.42,2.48,2.38,2.3908,261976.0,0.0,1.0,2.42,2.48,2.38,2.3908,261976.0
2016-11-15,2.32,2.47,2.26,2.41,344857.0,0.0,1.0,2.32,2.47,2.26,2.41,344857.0
2016-11-14,2.4,2.49,2.23,2.33,458735.0,0.0,1.0,2.4,2.49,2.23,2.33,458735.0
2016-11-11,2.04,2.389,2.02,2.35,964355.0,0.0,1.0,2.04,2.389,2.02,2.35,964355.0
2016-11-10,1.94,2.09,1.85,2.02,451942.0,0.0,1.0,1.94,2.09,1.85,2.02,451942.0
2016-11-09,1.77,1.92,1.75,1.88,246044.0,0.0,1.0,1.77,1.92,1.75,1.88,246044.0
2016-11-08,1.81,1.84,1.76,1.81,102079.0,0.0,1.0,1.81,1.84,1.76,1.81,102079.0
2016-11-07,1.79,1.84,1.78,1.8,124252.0,0.0,1.0,1.79,1.84,1.78,1.8,124252.0
2016-11-04,1.72,1.84,1.72,1.79,154286.0,0.0,1.0,1.72,1.84,1.72,1.79,154286.0
2016-11-03,1.79,1.8,1.7,1.72,131701.0,0.0,1.0,1.79,1.8,1.7,1.72,131701.0
2016-11-02,1.79,1.79,1.73,1.78,277161.0,0.0,1.0,1.79,1.79,1.73,1.78,277161.0
2016-11-01,1.75,1.8,1.75,1.78,184697.0,0.0,1.0,1.75,1.8,1.75,1.78,184697.0
2016-10-31,1.84,1.84,1.74,1.78,275282.0,0.0,1.0,1.84,1.84,1.74,1.78,275282.0
2016-10-28,1.77,1.85,1.755,1.8,287318.0,0.0,1.0,1.77,1.85,1.755,1.8,287318.0
2016-10-27,1.95,1.96,1.72,1.83,554487.0,0.0,1.0,1.95,1.96,1.72,1.83,554487.0
2016-10-26,1.88,2.04,1.86,2.04,386065.0,0.0,1.0,1.88,2.04,1.86,2.04,386065.0
2016-10-25,2.0,2.04,1.89,1.89,155893.0,0.0,1.0,2.0,2.04,1.89,1.89,155893.0
2016-10-24,1.92,2.1,1.86,1.99,634570.0,0.0,1.0,1.92,2.1,1.86,1.99,634570.0
2016-10-21,1.85,1.9,1.84,1.87,87356.0,0.0,1.0,1.85,1.9,1.84,1.87,87356.0
2016-10-20,1.88,1.92,1.85,1.87,69273.0,0.0,1.0,1.88,1.92,1.85,1.87,69273.0
2016-10-19,1.85,1.93,1.8018,1.89,391089.0,0.0,1.0,1.85,1.93,1.8018,1.89,391089.0
2016-10-18,1.82,1.87,1.79,1.85,88888.0,0.0,1.0,1.82,1.87,1.79,1.85,88888.0
2016-10-17,1.84,1.84,1.76,1.81,41628.0,0.0,1.0,1.84,1.84,1.76,1.81,41628.0
2016-10-14,1.8,1.8799,1.76,1.84,73312.0,0.0,1.0,1.8,1.8799,1.76,1.84,73312.0
2016-10-13,1.82,1.865,1.8,1.81,63397.0,0.0,1.0,1.82,1.865,1.8,1.81,63397.0
2016-10-12,1.85,1.86,1.81,1.85,154036.0,0.0,1.0,1.85,1.86,1.81,1.85,154036.0
2016-10-11,1.85,1.87,1.8286,1.86,162062.0,0.0,1.0,1.85,1.87,1.8286,1.86,162062.0
2016-10-10,1.81,1.87,1.79,1.85,142593.0,0.0,1.0,1.81,1.87,1.79,1.85,142593.0
2016-10-07,1.81,1.86,1.78,1.79,73729.0,0.0,1.0,1.81,1.86,1.78,1.79,73729.0
2016-10-06,1.9,1.9053,1.805,1.83,111729.0,0.0,1.0,1.9,1.9053,1.805,1.83,111729.0
2016-10-05,1.87,1.95,1.82,1.9,176494.0,0.0,1.0,1.87,1.95,1.82,1.9,176494.0
2016-10-04,1.86,1.91,1.83,1.9,282698.0,0.0,1.0,1.86,1.91,1.83,1.9,282698.0
2016-10-03,1.84,1.88,1.84,1.86,92980.0,0.0,1.0,1.84,1.88,1.84,1.86,92980.0
2016-09-30,1.84,1.88,1.75,1.87,198661.0,0.0,1.0,1.84,1.88,1.75,1.87,198661.0
2016-09-29,1.91,1.91,1.8,1.81,109903.0,0.0,1.0,1.91,1.91,1.8,1.81,109903.0
2016-09-28,1.8,1.91,1.8,1.9,295668.0,0.0,1.0,1.8,1.91,1.8,1.9,295668.0
2016-09-27,1.7,1.85,1.7,1.84,502935.0,0.0,1.0,1.7,1.85,1.7,1.84,502935.0
2016-09-26,1.67,1.75,1.66,1.73,560118.0,0.0,1.0,1.67,1.75,1.66,1.73,560118.0
2016-09-23,1.49,1.7118,1.45,1.66,2165608.0,0.0,1.0,1.49,1.7118,1.45,1.66,2165608.0
2016-09-22,1.54,1.61,1.51,1.52,164343.0,0.0,1.0,1.54,1.61,1.51,1.52,164343.0
2016-09-21,1.57,1.6,1.52,1.54,143966.0,0.0,1.0,1.57,1.6,1.52,1.54,143966.0
2016-09-20,1.58,1.6,1.56,1.57,74752.0,0.0,1.0,1.58,1.6,1.56,1.57,74752.0
2016-09-19,1.6,1.67,1.57,1.6,144471.0,0.0,1.0,1.6,1.67,1.57,1.6,144471.0
2016-09-16,1.58,1.63,1.58,1.6,1236841.0,0.0,1.0,1.58,1.63,1.58,1.6,1236841.0
2016-09-15,1.54,1.6,1.54,1.57,118838.0,0.0,1.0,1.54,1.6,1.54,1.57,118838.0
2016-09-14,1.62,1.63,1.54,1.57,205494.0,0.0,1.0,1.62,1.63,1.54,1.57,205494.0
2016-09-13,1.66,1.69,1.58,1.6,159876.0,0.0,1.0,1.66,1.69,1.58,1.6,159876.0
2016-09-12,1.64,1.7,1.6,1.69,168387.0,0.0,1.0,1.64,1.7,1.6,1.69,168387.0
2016-09-09,1.7879,1.8,1.66,1.66,208605.0,0.0,1.0,1.7879,1.8,1.66,1.66,208605.0
2016-09-08,1.79,1.82,1.76,1.79,133411.0,0.0,1.0,1.79,1.82,1.76,1.79,133411.0
2016-09-07,1.82,1.83,1.79,1.79,102854.0,0.0,1.0,1.82,1.83,1.79,1.79,102854.0
2016-09-06,1.79,1.83,1.765,1.81,94411.0,0.0,1.0,1.79,1.83,1.765,1.81,94411.0
2016-09-02,1.82,1.82,1.7701,1.79,52425.0,0.0,1.0,1.82,1.82,1.7701,1.79,52425.0
2016-09-01,1.81,1.84,1.74,1.78,96198.0,0.0,1.0,1.81,1.84,1.74,1.78,96198.0
2016-08-31,1.84,1.84,1.78,1.78,94740.0,0.0,1.0,1.84,1.84,1.78,1.78,94740.0
2016-08-30,1.79,1.85,1.77,1.81,84993.0,0.0,1.0,1.79,1.85,1.77,1.81,84993.0
2016-08-29,1.81,1.83,1.79,1.8,101394.0,0.0,1.0,1.81,1.83,1.79,1.8,101394.0
2016-08-26,1.81,1.86,1.8,1.82,244384.0,0.0,1.0,1.81,1.86,1.8,1.82,244384.0
2016-08-25,1.83,1.9,1.805,1.82,194675.0,0.0,1.0,1.83,1.9,1.805,1.82,194675.0
2016-08-24,1.86,1.93,1.81,1.82,148123.0,0.0,1.0,1.86,1.93,1.81,1.82,148123.0
2016-08-23,1.85,1.94,1.8,1.9,223346.0,0.0,1.0,1.85,1.94,1.8,1.9,223346.0
2016-08-22,1.9,2.0,1.81,1.88,452131.0,0.0,1.0,1.9,2.0,1.81,1.88,452131.0
2016-08-19,1.77,2.04,1.73,1.99,662893.0,0.0,1.0,1.77,2.04,1.73,1.99,662893.0
2016-08-18,1.75,1.78,1.75,1.77,179034.0,0.0,1.0,1.75,1.78,1.75,1.77,179034.0
2016-08-17,1.72,1.76,1.69,1.74,87755.0,0.0,1.0,1.72,1.76,1.69,1.74,87755.0
2016-08-16,1.72,1.79,1.72,1.73,160890.0,0.0,1.0,1.72,1.79,1.72,1.73,160890.0
2016-08-15,1.78,1.79,1.72,1.74,130692.0,0.0,1.0,1.78,1.79,1.72,1.74,130692.0
2016-08-12,1.75,1.76,1.71,1.75,69634.0,0.0,1.0,1.75,1.76,1.71,1.75,69634.0
2016-08-11,1.75,1.79,1.74,1.75,162530.0,0.0,1.0,1.75,1.79,1.74,1.75,162530.0
2016-08-10,1.76,1.76,1.72,1.73,108599.0,0.0,1.0,1.76,1.76,1.72,1.73,108599.0
2016-08-09,1.72,1.78,1.69,1.75,133933.0,0.0,1.0,1.72,1.78,1.69,1.75,133933.0
2016-08-08,1.75,1.78,1.72,1.75,244829.0,0.0,1.0,1.75,1.78,1.72,1.75,244829.0
2016-08-05,1.72,1.75,1.71,1.75,124527.0,0.0,1.0,1.72,1.75,1.71,1.75,124527.0
2016-08-04,1.75,1.77,1.695,1.72,111820.0,0.0,1.0,1.75,1.77,1.695,1.72,111820.0
2016-08-03,1.66,1.75,1.66,1.75,108404.0,0.0,1.0,1.66,1.75,1.66,1.75,108404.0
2016-08-02,1.75,1.7901,1.665,1.69,196053.0,0.0,1.0,1.75,1.7901,1.665,1.69,196053.0
2016-08-01,1.75,1.86,1.67,1.75,406676.0,0.0,1.0,1.75,1.86,1.67,1.75,406676.0
2016-07-29,1.66,1.69,1.59,1.69,193980.0,0.0,1.0,1.66,1.69,1.59,1.69,193980.0
2016-07-28,1.65,1.72,1.64,1.68,250771.0,0.0,1.0,1.65,1.72,1.64,1.68,250771.0
