Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-06-10,71.37,71.75,71.36,71.73,3629641.0,0.0,1.0,71.37,71.75,71.36,71.73,3629641.0
2015-06-09,71.01,71.55,70.9,71.37,4180127.0,0.0,1.0,71.01,71.55,70.9,71.37,4180127.0
2015-06-08,71.13,71.26,70.81,71.08,4069782.0,0.0,1.0,71.13,71.26,70.81,71.08,4069782.0
2015-06-05,71.59,71.6,70.92,71.06,4728810.0,0.0,1.0,71.59,71.6,70.92,71.06,4728810.0
2015-06-04,71.49,71.75,71.48,71.54,2144992.0,0.0,1.0,71.49,71.75,71.48,71.54,2144992.0
2015-06-03,72.0,72.08,71.63,71.63,2770105.0,0.0,1.0,72.0,72.08,71.63,71.63,2770105.0
2015-06-02,71.95,72.15,71.71,71.88,4566376.0,0.0,1.0,71.95,72.15,71.71,71.88,4566376.0
2015-06-01,72.46,72.59,71.91,72.1,4663069.0,0.0,1.0,72.46,72.59,71.91,72.1,4663069.0
2015-05-29,72.27,72.6301,72.24,72.48,9929335.0,0.0,1.0,72.27,72.6301,72.24,72.48,9929335.0
2015-05-28,72.36,72.65,72.31,72.52,13984148.0,0.0,1.0,72.36,72.65,72.31,72.52,13984148.0
2015-05-27,72.8,73.02,72.68,72.82,27030977.0,0.0,1.0,72.8,73.02,72.68,72.82,27030977.0
2015-05-26,72.01,72.325,71.87,72.12,2873650.0,0.0,1.0,72.01,72.325,71.87,72.12,2873650.0
2015-05-22,71.99,72.25,71.91,72.01,3315964.0,0.0,1.0,71.99,72.25,71.91,72.01,3315964.0
2015-05-21,71.77,72.39,71.5,72.0,4522819.0,0.0,1.0,71.77,72.39,71.5,72.0,4522819.0
2015-05-20,72.03,72.27,71.75,71.75,4274420.0,0.0,1.0,72.03,72.27,71.75,71.75,4274420.0
2015-05-19,71.9,72.13,71.67,72.0,3191095.0,0.0,1.0,71.9,72.13,71.67,72.0,3191095.0
2015-05-18,71.87,72.18,71.73,71.83,2726100.0,0.0,1.0,71.87,72.18,71.73,71.83,2726100.0
2015-05-15,71.89,72.2,71.88,72.16,2697190.0,0.0,1.0,71.89,72.2,71.88,72.16,2697190.0
2015-05-14,71.9,71.97,71.67,71.92,1961525.0,0.0,1.0,71.9,71.97,71.67,71.92,1961525.0
2015-05-13,71.42,71.75,71.29,71.71,2470593.0,0.0,1.0,71.42,71.75,71.29,71.71,2470593.0
2015-05-12,70.99,71.55,70.9,71.49,1245537.0,0.0,1.0,70.99,71.55,70.9,71.49,1245537.0
2015-05-11,71.67,71.79,71.215,71.3,1550475.0,0.0,1.0,71.67,71.79,71.215,71.3,1550475.0
2015-05-08,71.48,72.09,71.48,71.64,3598305.0,0.0,1.0,71.48,72.09,71.48,71.64,3598305.0
2015-05-07,70.67,71.28,70.44,71.21,2683172.0,0.0,1.0,70.67,71.28,70.44,71.21,2683172.0
2015-05-06,70.3,70.91,70.13,70.86,4166148.0,0.0,1.0,70.3,70.91,70.13,70.86,4166148.0
2015-05-05,70.03,70.385,69.88,70.27,2764328.0,0.0,1.0,70.03,70.385,69.88,70.27,2764328.0
2015-05-04,70.7,70.73,70.06,70.18,4738096.0,0.0,1.0,70.7,70.73,70.06,70.18,4738096.0
2015-05-01,70.01,70.24,69.7,70.23,3315495.0,0.0,1.0,70.01,70.24,69.7,70.23,3315495.0
2015-04-30,69.81,70.11,69.52,69.86,3525570.0,0.0,1.0,69.81,70.11,69.52,69.86,3525570.0
2015-04-29,70.61,70.61,69.79,69.8,7191706.0,0.0,1.0,70.61,70.61,69.79,69.8,7191706.0
2015-04-28,70.6,70.92,70.54,70.73,7771885.0,0.0,1.0,70.6,70.92,70.54,70.73,7771885.0
2015-04-27,71.05,71.54,70.74,70.82,9299471.0,0.0,1.0,71.05,71.54,70.74,70.82,9299471.0
2015-04-24,70.92,71.27,70.8,70.81,7334938.0,0.0,1.0,70.92,71.27,70.8,70.81,7334938.0
2015-04-23,70.77,71.5,70.75,71.0,4497351.0,0.0,1.0,70.77,71.5,70.75,71.0,4497351.0
2015-04-22,71.07,71.37,70.77,70.77,5000428.0,0.0,1.0,71.07,71.37,70.77,70.77,5000428.0
2015-04-21,70.82,71.09,70.8105,71.0,6214945.0,0.0,1.0,70.82,71.09,70.8105,71.0,6214945.0
2015-04-20,70.93,70.965,70.12,70.59,3519519.0,0.0,1.0,70.93,70.965,70.12,70.59,3519519.0
2015-04-17,70.75,70.915,70.21,70.68,6618564.0,0.0,1.0,70.75,70.915,70.21,70.68,6618564.0
2015-04-16,71.0,71.03,70.48,70.55,2276292.0,0.0,1.0,71.0,71.03,70.48,70.55,2276292.0
2015-04-15,70.94,71.24,70.625,70.73,3761835.0,0.0,1.0,70.94,71.24,70.625,70.73,3761835.0
2015-04-14,69.9,71.02,69.79,70.89,4081704.0,0.0,1.0,69.9,71.02,69.79,70.89,4081704.0
2015-04-13,71.0,71.0,69.98,69.99,2118360.0,0.0,1.0,71.0,71.0,69.98,69.99,2118360.0
2015-04-10,69.42,71.14,69.42,70.51,7211038.0,0.0,1.0,69.42,71.14,69.42,70.51,7211038.0
2015-04-09,68.61,69.84,68.61,69.55,2269234.0,0.0,1.0,68.61,69.84,68.61,69.55,2269234.0
2015-04-08,68.95,69.13,68.69,68.82,1660857.0,0.0,1.0,68.95,69.13,68.69,68.82,1660857.0
2015-04-07,69.5,69.825,68.89,68.91,2302547.0,0.0,1.0,69.5,69.825,68.89,68.91,2302547.0
2015-04-06,68.97,70.3,68.94,69.7,2849108.0,0.0,1.0,68.97,70.3,68.94,69.7,2849108.0
2015-04-02,69.54,69.82,68.78,69.25,12032317.0,0.0,1.0,69.54,69.82,68.78,69.25,12032317.0
2015-04-01,65.23,68.01,65.2,67.39,4857000.0,0.0,1.0,65.23,68.01,65.2,67.39,4857000.0
2015-03-31,65.4,66.79,65.0103,65.35,11930981.0,0.0,1.0,65.4,66.79,65.0103,65.35,11930981.0
2015-03-30,68.22,68.25,65.51,66.42,6347903.0,0.0,1.0,68.22,68.25,65.51,66.42,6347903.0
2015-03-27,66.78,68.28,66.64,68.19,4265876.0,0.0,1.0,66.78,68.28,66.64,68.19,4265876.0
2015-03-26,67.02,67.14,66.57,66.66,4713292.0,0.0,1.0,67.02,67.14,66.57,66.66,4713292.0
2015-03-25,67.95,67.95,66.99,67.01,3959343.0,0.0,1.0,67.95,67.95,66.99,67.01,3959343.0
2015-03-24,68.3,68.3,67.605,67.81,3978425.0,0.0,1.0,68.3,68.3,67.605,67.81,3978425.0
2015-03-23,67.48,68.8,67.35,68.32,4038742.0,0.0,1.0,67.48,68.8,67.35,68.32,4038742.0
2015-03-20,67.18,67.35,66.94,67.34,3113588.0,0.0,1.0,67.18,67.35,66.94,67.34,3113588.0
2015-03-19,66.99,67.2,66.7,66.96,2633472.0,0.0,1.0,66.99,67.2,66.7,66.96,2633472.0
2015-03-18,67.11,67.45,66.33,67.14,3811619.0,0.0,1.0,67.11,67.45,66.33,67.14,3811619.0
2015-03-17,67.54,67.54,66.95,67.25,2287447.0,0.0,1.0,67.54,67.54,66.95,67.25,2287447.0
2015-03-16,66.94,67.7,66.94,67.69,2163386.0,0.0,1.0,66.94,67.7,66.94,67.69,2163386.0
2015-03-13,66.78,67.01,66.29,66.94,2364934.0,0.0,1.0,66.78,67.01,66.29,66.94,2364934.0
2015-03-12,66.49,67.3,66.49,67.19,1660449.0,0.0,1.0,66.49,67.3,66.49,67.19,1660449.0
2015-03-11,66.59,66.88,66.32,66.44,3440503.0,0.0,1.0,66.59,66.88,66.32,66.44,3440503.0
2015-03-10,66.81,67.08,66.39,66.55,3478374.0,0.0,1.0,66.81,67.08,66.39,66.55,3478374.0
2015-03-09,67.19,67.4,66.94,67.21,1615779.0,0.0,1.0,67.19,67.4,66.94,67.21,1615779.0
2015-03-06,67.78,67.87,66.17,66.99,9179268.0,0.0,1.0,67.78,67.87,66.17,66.99,9179268.0
2015-03-05,69.2,69.2,67.78,67.9,4622682.0,0.0,1.0,69.2,69.2,67.78,67.9,4622682.0
2015-03-04,68.72,69.08,68.49,69.04,1677085.0,0.0,1.0,68.72,69.08,68.49,69.04,1677085.0
2015-03-03,68.32,69.13,68.315,68.86,1630858.0,0.0,1.0,68.32,69.13,68.315,68.86,1630858.0
2015-03-02,68.51,68.74,68.145,68.49,1351825.0,0.0,1.0,68.51,68.74,68.145,68.49,1351825.0
2015-02-27,68.5,68.7299,68.29,68.42,2035145.0,0.0,1.0,68.5,68.7299,68.29,68.42,2035145.0
2015-02-26,68.77,68.95,68.44,68.48,3038544.0,0.0,1.0,68.77,68.95,68.44,68.48,3038544.0
2015-02-25,69.35,69.61,69.07,69.45,5692132.0,0.0,1.0,69.35,69.61,69.07,69.45,5692132.0
2015-02-24,68.66,69.4,68.66,69.36,1952569.0,0.0,1.0,68.66,69.4,68.66,69.36,1952569.0
2015-02-23,68.7,68.97,68.375,68.94,5191499.0,0.0,1.0,68.044200173561,68.31162279433,67.722302574487,68.2819091698,5191499.0
2015-02-20,67.67,68.71,67.5,68.7,2518581.0,0.0,1.0,67.024032398033,68.054104715071,66.855655192363,68.044200173561,2518581.0
2015-02-19,68.48,68.64,67.84,67.85,1796189.0,0.0,1.0,67.826300260341,67.984772924501,67.192409603703,67.202314145213,1796189.0
2015-02-18,67.67,68.64,67.47,68.64,1808795.0,0.0,1.0,67.024032398033,67.984772924501,66.825941567833,67.984772924501,1808795.0
2015-02-17,67.07,68.0,66.96,67.96,1491051.0,0.0,1.0,66.429759907434,67.350882267862,66.320809950824,67.311264101822,1491051.0
2015-02-13,67.91,67.99,67.27,67.3,2852847.0,0.0,1.0,67.261741394272,67.340977726352,66.627850737634,66.657564362164,2852847.0
2015-02-12,67.73,68.1,67.61,68.1,2235585.0,0.0,1.0,67.083459647093,67.449927682962,66.964605148973,67.449927682962,2235585.0
2015-02-11,66.79,67.74,66.68,67.55,2540055.0,0.0,1.0,66.152432745155,67.093364188603,66.043482788545,66.905177899913,2540055.0
2015-02-10,66.17,67.09,66.11,67.07,2217490.0,0.0,1.0,65.538351171536,66.449568990454,65.478923922476,66.429759907434,2217490.0
2015-02-06,66.49,66.61,65.89,66.03,2049629.0,0.0,1.0,65.855296499855,65.974150997975,65.261024009257,65.399687590396,2049629.0
2015-02-05,66.31,66.54,65.87,66.52,1959716.0,0.0,1.0,65.677014752676,65.904819207405,65.241214926237,65.885010124385,1959716.0
2015-02-04,66.46,66.5,65.91,66.15,1715567.0,0.0,1.0,65.825582875325,65.865201041365,65.280833092277,65.518542088516,1715567.0
2015-02-03,66.4,66.48,65.8,66.46,1594984.0,0.0,1.0,65.766155626266,65.845391958345,65.171883135667,65.825582875325,1594984.0
2015-02-02,65.71,66.29,65.43,66.29,1548157.0,0.0,1.0,65.082742262077,65.657205669656,64.805415099798,65.657205669656,1548157.0
2015-01-30,65.67,66.13,65.47,65.61,3351130.0,0.0,1.0,65.043124096037,65.498733005496,64.845033265837,64.983696846977,3351130.0
