Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,39.95,40.15,39.7,39.9,42377.0,0.0,1.0,39.95,40.15,39.7,39.9,42377.0
2016-11-16,38.75,39.85,38.75,39.85,57620.0,0.0,1.0,38.75,39.85,38.75,39.85,57620.0
2016-11-15,38.25,38.9,38.0,38.75,54880.0,0.0,1.0,38.25,38.9,38.0,38.75,54880.0
2016-11-14,37.5,39.2,37.4,38.2,140306.0,0.0,1.0,37.5,39.2,37.4,38.2,140306.0
2016-11-11,37.15,37.6,37.1,37.5,158009.0,0.0,1.0,37.15,37.6,37.1,37.5,158009.0
2016-11-10,37.1,37.6,35.834,37.15,93959.0,0.0,1.0,37.1,37.6,35.834,37.15,93959.0
2016-11-09,35.85,37.1,35.55,37.0,64220.0,0.0,1.0,35.85,37.1,35.55,37.0,64220.0
2016-11-08,36.6,37.0,36.3,36.45,42888.0,0.0,1.0,36.6,37.0,36.3,36.45,42888.0
2016-11-07,36.8,37.05,36.45,36.8,70669.0,0.0,1.0,36.8,37.05,36.45,36.8,70669.0
2016-11-04,36.75,37.2,36.5,36.55,85557.0,0.0,1.0,36.75,37.2,36.5,36.55,85557.0
2016-11-03,37.65,38.0,36.6,36.65,40898.0,0.0,1.0,37.65,38.0,36.6,36.65,40898.0
2016-11-02,38.0,38.15,37.65,37.7,33969.0,0.0,1.0,38.0,38.15,37.65,37.7,33969.0
2016-11-01,38.8,38.85,37.65,38.1,48666.0,0.0,1.0,38.8,38.85,37.65,38.1,48666.0
2016-10-31,38.95,39.2,38.75,38.8,37271.0,0.0,1.0,38.95,39.2,38.75,38.8,37271.0
2016-10-28,39.8,39.975,38.7,38.75,57833.0,0.0,1.0,39.8,39.975,38.7,38.75,57833.0
2016-10-27,39.0,40.35,38.9,39.9,99571.0,0.0,1.0,39.0,40.35,38.9,39.9,99571.0
2016-10-26,38.1,38.5,37.9,38.0,22596.0,0.0,1.0,38.1,38.5,37.9,38.0,22596.0
2016-10-25,38.2,38.3,37.95,38.15,35185.0,0.0,1.0,38.2,38.3,37.95,38.15,35185.0
2016-10-24,38.5,38.8,37.85,38.2,43929.0,0.0,1.0,38.5,38.8,37.85,38.2,43929.0
