Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,7.39,7.59,6.84,6.99,306937.0,0.0,1.0,7.39,7.59,6.84,6.99,306937.0
2016-11-16,6.9,7.82,6.8917,7.31,515723.0,0.0,1.0,6.9,7.82,6.8917,7.31,515723.0
2016-11-15,6.79,7.03,6.77,6.96,196022.0,0.0,1.0,6.79,7.03,6.77,6.96,196022.0
2016-11-14,6.85,7.04,6.66,6.72,278921.0,0.0,1.0,6.85,7.04,6.66,6.72,278921.0
2016-11-11,6.49,7.0,6.45,6.97,244293.0,0.0,1.0,6.49,7.0,6.45,6.97,244293.0
2016-11-10,6.26,6.71,6.26,6.56,279084.0,0.0,1.0,6.26,6.71,6.26,6.56,279084.0
2016-11-09,5.9,6.4,5.85,6.27,201167.0,0.0,1.0,5.9,6.4,5.85,6.27,201167.0
2016-11-08,5.86,6.0,5.76,5.93,135154.0,0.0,1.0,5.86,6.0,5.76,5.93,135154.0
2016-11-07,5.91,6.052,5.87,5.9,136528.0,0.0,1.0,5.91,6.052,5.87,5.9,136528.0
2016-11-04,5.77,5.97,5.76,5.82,129322.0,0.0,1.0,5.77,5.97,5.76,5.82,129322.0
2016-11-03,5.83,6.16,5.82,5.84,201715.0,0.0,1.0,5.83,6.16,5.82,5.84,201715.0
2016-11-02,6.11,6.11,5.695,5.82,183746.0,0.0,1.0,6.11,6.11,5.695,5.82,183746.0
2016-11-01,5.67,6.2625,5.67,6.18,257743.0,0.0,1.0,5.67,6.2625,5.67,6.18,257743.0
2016-10-31,5.97,6.26,5.63,5.63,425401.0,0.0,1.0,5.97,6.26,5.63,5.63,425401.0
2016-10-28,5.91,6.11,5.81,6.03,484757.0,0.0,1.0,5.91,6.11,5.81,6.03,484757.0
2016-10-27,6.15,6.37,6.12,6.29,257257.0,0.0,1.0,6.15,6.37,6.12,6.29,257257.0
2016-10-26,6.07,6.26,6.011,6.08,95263.0,0.0,1.0,6.07,6.26,6.011,6.08,95263.0
2016-10-25,6.21,6.3274,6.07,6.1,120709.0,0.0,1.0,6.21,6.3274,6.07,6.1,120709.0
2016-10-24,6.38,6.68,6.22,6.28,160918.0,0.0,1.0,6.38,6.68,6.22,6.28,160918.0
2016-10-21,6.3,6.46,6.3,6.4,66690.0,0.0,1.0,6.3,6.46,6.3,6.4,66690.0
2016-10-20,6.22,6.46,6.201,6.36,82334.0,0.0,1.0,6.22,6.46,6.201,6.36,82334.0
2016-10-19,6.21,6.47,6.19,6.32,105735.0,0.0,1.0,6.21,6.47,6.19,6.32,105735.0
2016-10-18,6.01,6.28,6.01,6.18,207087.0,0.0,1.0,6.01,6.28,6.01,6.18,207087.0
2016-10-17,6.45,6.5,5.97,5.99,287045.0,0.0,1.0,6.45,6.5,5.97,5.99,287045.0
2016-10-14,6.52,6.59,6.44,6.45,153735.0,0.0,1.0,6.52,6.59,6.44,6.45,153735.0
2016-10-13,6.43,6.618,6.28,6.47,159513.0,0.0,1.0,6.43,6.618,6.28,6.47,159513.0
2016-10-12,6.56,6.64,6.4,6.46,107354.0,0.0,1.0,6.56,6.64,6.4,6.46,107354.0
2016-10-11,6.77,6.815,6.53,6.6,154894.0,0.0,1.0,6.77,6.815,6.53,6.6,154894.0
2016-10-10,7.07,7.12,6.775,6.81,287927.0,0.0,1.0,7.07,7.12,6.775,6.81,287927.0
2016-10-07,6.7,7.11,6.62,6.94,491646.0,0.0,1.0,6.7,7.11,6.62,6.94,491646.0
2016-10-06,6.35,6.8,6.25,6.71,546470.0,0.0,1.0,6.35,6.8,6.25,6.71,546470.0
2016-10-05,6.2,6.31,6.14,6.28,335989.0,0.0,1.0,6.2,6.31,6.14,6.28,335989.0
2016-10-04,6.26,6.26,5.95,6.07,321693.0,0.0,1.0,6.26,6.26,5.95,6.07,321693.0
2016-10-03,6.06,6.32,6.06,6.27,221844.0,0.0,1.0,6.06,6.32,6.06,6.27,221844.0
2016-09-30,5.92,6.135,5.83,6.0,402587.0,0.0,1.0,5.92,6.135,5.83,6.0,402587.0
2016-09-29,6.05,6.17,5.78,5.84,202585.0,0.0,1.0,6.05,6.17,5.78,5.84,202585.0
2016-09-28,5.7,6.05,5.65,5.99,282790.0,0.0,1.0,5.7,6.05,5.65,5.99,282790.0
2016-09-27,5.74,5.85,5.605,5.71,179880.0,0.0,1.0,5.74,5.85,5.605,5.71,179880.0
2016-09-26,5.82,5.99,5.74,5.86,290297.0,0.0,1.0,5.82,5.99,5.74,5.86,290297.0
2016-09-23,6.03,6.07,5.5801,5.75,309744.0,0.0,1.0,6.03,6.07,5.5801,5.75,309744.0
2016-09-22,5.58,6.08,5.58,6.07,259787.0,0.0,1.0,5.58,6.08,5.58,6.07,259787.0
2016-09-21,5.46,5.54,5.4,5.51,146262.0,0.0,1.0,5.46,5.54,5.4,5.51,146262.0
2016-09-20,5.51,5.54,5.32,5.36,144454.0,0.0,1.0,5.51,5.54,5.32,5.36,144454.0
2016-09-19,5.49,5.63,5.42,5.56,210459.0,0.0,1.0,5.49,5.63,5.42,5.56,210459.0
2016-09-16,5.36,5.55,5.31,5.44,256449.0,0.0,1.0,5.36,5.55,5.31,5.44,256449.0
2016-09-15,5.4,5.5,5.32,5.4,139514.0,0.0,1.0,5.4,5.5,5.32,5.4,139514.0
2016-09-14,5.55,5.56,5.37,5.39,111016.0,0.0,1.0,5.55,5.56,5.37,5.39,111016.0
2016-09-13,5.59,5.69,5.51,5.62,155397.0,0.0,1.0,5.59,5.69,5.51,5.62,155397.0
2016-09-12,5.64,5.78,5.61,5.7,173953.0,0.0,1.0,5.64,5.78,5.61,5.7,173953.0
2016-09-09,5.83,5.87,5.695,5.72,196445.0,0.0,1.0,5.83,5.87,5.695,5.72,196445.0
2016-09-08,5.85,6.0185,5.8,5.89,255086.0,0.0,1.0,5.85,6.0185,5.8,5.89,255086.0
2016-09-07,5.57,5.87,5.56,5.81,320457.0,0.0,1.0,5.57,5.87,5.56,5.81,320457.0
2016-09-06,5.13,5.57,5.13,5.52,242264.0,0.0,1.0,5.13,5.57,5.13,5.52,242264.0
2016-09-02,5.1,5.31,5.1,5.14,224810.0,0.0,1.0,5.1,5.31,5.1,5.14,224810.0
2016-09-01,5.3,5.36,5.07,5.09,316723.0,0.0,1.0,5.3,5.36,5.07,5.09,316723.0
2016-08-31,5.58,5.59,5.25,5.33,343011.0,0.0,1.0,5.58,5.59,5.25,5.33,343011.0
2016-08-30,5.62,5.84,5.55,5.62,328941.0,0.0,1.0,5.62,5.84,5.55,5.62,328941.0
2016-08-29,5.75,5.75,5.57,5.6,262553.0,0.0,1.0,5.75,5.75,5.57,5.6,262553.0
2016-08-26,6.02,6.025,5.79,5.79,400581.0,0.0,1.0,6.02,6.025,5.79,5.79,400581.0
2016-08-25,5.97,6.0399,5.9,6.02,381422.0,0.0,1.0,5.97,6.0399,5.9,6.02,381422.0
2016-08-24,6.34,6.38,5.99,6.0,469497.0,0.0,1.0,6.34,6.38,5.99,6.0,469497.0
2016-08-23,6.33,6.41,6.18,6.39,339430.0,0.0,1.0,6.33,6.41,6.18,6.39,339430.0
2016-08-22,6.3,6.33,6.15,6.3,311669.0,0.0,1.0,6.3,6.33,6.15,6.3,311669.0
2016-08-19,6.34,6.36,6.18,6.3,118824.0,0.0,1.0,6.34,6.36,6.18,6.3,118824.0
2016-08-18,6.3,6.37,6.21,6.34,154862.0,0.0,1.0,6.3,6.37,6.21,6.34,154862.0
2016-08-17,6.24,6.3,6.13,6.27,186319.0,0.0,1.0,6.24,6.3,6.13,6.27,186319.0
2016-08-16,6.32,6.41,6.24,6.25,237562.0,0.0,1.0,6.32,6.41,6.24,6.25,237562.0
2016-08-15,6.15,6.375,6.14,6.3,309492.0,0.0,1.0,6.15,6.375,6.14,6.3,309492.0
2016-08-12,6.29,6.36,6.0727,6.14,239313.0,0.0,1.0,6.29,6.36,6.0727,6.14,239313.0
2016-08-11,5.9,6.39,5.85,6.31,306274.0,0.0,1.0,5.9,6.39,5.85,6.31,306274.0
2016-08-10,6.09,6.09,5.835,5.84,324625.0,0.0,1.0,6.09,6.09,5.835,5.84,324625.0
2016-08-09,6.31,6.31,6.04,6.07,176267.0,0.0,1.0,6.31,6.31,6.04,6.07,176267.0
2016-08-08,6.3,6.45,6.25,6.31,224249.0,0.0,1.0,6.3,6.45,6.25,6.31,224249.0
2016-08-05,6.05,6.31,6.04,6.27,170981.0,0.0,1.0,6.05,6.31,6.04,6.27,170981.0
2016-08-04,6.01,6.27,5.95,6.02,240870.0,0.0,1.0,6.01,6.27,5.95,6.02,240870.0
2016-08-03,5.8,5.995,5.74,5.99,268340.0,0.0,1.0,5.8,5.995,5.74,5.99,268340.0
2016-08-02,5.88,5.94,5.67,5.83,308675.0,0.0,1.0,5.88,5.94,5.67,5.83,308675.0
2016-08-01,6.14,6.14,5.765,5.83,230767.0,0.0,1.0,6.14,6.14,5.765,5.83,230767.0
2016-07-29,6.11,6.17,5.9881,6.17,291251.0,0.0,1.0,6.11,6.17,5.9881,6.17,291251.0
2016-07-28,6.13,6.165,5.66,6.11,508761.0,0.0,1.0,6.13,6.165,5.66,6.11,508761.0
2016-07-27,6.55,6.6,6.19,6.2,283663.0,0.0,1.0,6.55,6.6,6.19,6.2,283663.0
2016-07-26,6.65,6.73,6.46,6.5,276798.0,0.0,1.0,6.65,6.73,6.46,6.5,276798.0
2016-07-25,6.69,6.76,6.58,6.7,235044.0,0.0,1.0,6.69,6.76,6.58,6.7,235044.0
2016-07-22,6.94,7.0,6.65,6.69,217121.0,0.0,1.0,6.94,7.0,6.65,6.69,217121.0
2016-07-21,7.1,7.19,6.9,6.9,135628.0,0.0,1.0,7.1,7.19,6.9,6.9,135628.0
2016-07-20,7.02,7.21,6.99,7.07,215956.0,0.0,1.0,7.02,7.21,6.99,7.07,215956.0
2016-07-19,7.22,7.36,7.08,7.08,184665.0,0.0,1.0,7.22,7.36,7.08,7.08,184665.0
