Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,14.32,14.445,13.87,14.03,4214252.0,0.0,1.0,14.32,14.445,13.87,14.03,4214252.0
2016-11-16,14.23,14.49,13.93,14.07,2783098.0,0.0,1.0,14.23,14.49,13.93,14.07,2783098.0
2016-11-15,13.49,14.34,13.4,14.23,4601381.0,0.0,1.0,13.49,14.34,13.4,14.23,4601381.0
2016-11-14,13.06,13.32,12.79,13.26,3577617.0,0.0,1.0,13.06,13.32,12.79,13.26,3577617.0
2016-11-11,13.0,13.16,12.655,13.12,2483413.0,0.0,1.0,13.0,13.16,12.655,13.12,2483413.0
2016-11-10,13.41,13.54,13.02,13.16,2817740.0,0.0,1.0,13.41,13.54,13.02,13.16,2817740.0
2016-11-09,12.94,13.545,12.7856,13.45,4011403.0,0.0,1.0,12.94,13.545,12.7856,13.45,4011403.0
2016-11-08,12.82,12.95,12.52,12.74,3615301.0,0.0,1.0,12.82,12.95,12.52,12.74,3615301.0
2016-11-07,13.09,13.39,12.85,12.98,2668451.0,0.0,1.0,13.09,13.39,12.85,12.98,2668451.0
2016-11-04,13.17,13.405,12.55,12.71,4499537.0,0.0,1.0,13.17,13.405,12.55,12.71,4499537.0
2016-11-03,12.78,13.87,12.36,13.2,8827817.0,0.0,1.0,12.78,13.87,12.36,13.2,8827817.0
2016-11-02,11.84,12.095,11.46,11.9,3768481.0,0.0,1.0,11.84,12.095,11.46,11.9,3768481.0
2016-11-01,12.19,12.22,11.64,12.07,3971187.0,0.0,1.0,12.19,12.22,11.64,12.07,3971187.0
2016-10-31,12.35,12.37,11.84,11.92,2837531.0,0.0,1.0,12.35,12.37,11.84,11.92,2837531.0
2016-10-28,12.83,13.1,12.46,12.48,1694512.0,0.0,1.0,12.83,13.1,12.46,12.48,1694512.0
2016-10-27,13.11,13.16,12.78,12.9,1795395.0,0.0,1.0,13.11,13.16,12.78,12.9,1795395.0
