Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,11.21,11.46,11.12,11.44,1449649.0,0.0,1.0,11.21,11.46,11.12,11.44,1449649.0
2016-11-16,10.99,11.26,10.94,11.14,1286050.0,0.0,1.0,10.99,11.26,10.94,11.14,1286050.0
2016-11-15,10.78,11.16,10.78,11.0,2608645.0,0.0,1.0,10.78,11.16,10.78,11.0,2608645.0
2016-11-14,10.93,11.3,10.93,11.09,3796148.0,0.0,1.0,10.93,11.3,10.93,11.09,3796148.0
2016-11-11,10.94,11.0,10.68,10.85,1710737.0,0.0,1.0,10.94,11.0,10.68,10.85,1710737.0
2016-11-10,10.71,10.99,10.71,10.92,1978228.0,0.0,1.0,10.71,10.99,10.71,10.92,1978228.0
2016-11-09,10.02,10.66,9.97,10.59,2970535.0,0.0,1.0,10.02,10.66,9.97,10.59,2970535.0
2016-11-08,10.06,10.14,9.95,10.09,2703256.0,0.0,1.0,10.06,10.14,9.95,10.09,2703256.0
2016-11-07,10.27,10.57,10.12,10.13,2362404.0,0.0,1.0,10.27,10.57,10.12,10.13,2362404.0
2016-11-04,10.02,10.2775,10.02,10.09,958711.0,0.0,1.0,10.02,10.2775,10.02,10.09,958711.0
2016-11-03,9.73,10.315,9.73,10.15,1575228.0,0.0,1.0,9.73,10.315,9.73,10.15,1575228.0
2016-11-02,10.13,10.31,10.12,10.16,576243.0,0.0,1.0,10.13,10.31,10.12,10.16,576243.0
2016-11-01,10.45,10.57,9.99,10.12,640648.0,0.0,1.0,10.45,10.57,9.99,10.12,640648.0
2016-10-31,10.02,10.07,9.89,10.01,903008.0,0.0,1.0,10.02,10.07,9.89,10.01,903008.0
2016-10-28,9.98,10.105,9.93,9.99,542481.0,0.0,1.0,9.98,10.105,9.93,9.99,542481.0
2016-10-27,10.15,10.17,9.94,9.99,912947.0,0.0,1.0,10.15,10.17,9.94,9.99,912947.0
2016-10-26,10.24,10.321,10.14,10.15,521187.0,0.0,1.0,10.24,10.321,10.14,10.15,521187.0
2016-10-25,10.47,10.6,10.37,10.39,1868909.0,0.0,1.0,10.47,10.6,10.37,10.39,1868909.0
2016-10-24,10.68,10.92,10.5,10.55,468065.0,0.0,1.0,10.68,10.92,10.5,10.55,468065.0
2016-10-21,10.47,10.72,10.41,10.56,743119.0,0.0,1.0,10.47,10.72,10.41,10.56,743119.0
2016-10-20,10.77,10.78,10.58,10.6,949450.0,0.0,1.0,10.77,10.78,10.58,10.6,949450.0
2016-10-19,10.92,10.925,10.71,10.81,626916.0,0.0,1.0,10.92,10.925,10.71,10.81,626916.0
2016-10-18,10.96,11.0,10.89,10.91,704517.0,0.0,1.0,10.96,11.0,10.89,10.91,704517.0
2016-10-17,10.56,10.82,10.56,10.8,757655.0,0.0,1.0,10.56,10.82,10.56,10.8,757655.0
2016-10-14,10.59,10.71,10.54,10.59,427169.0,0.0,1.0,10.59,10.71,10.54,10.59,427169.0
2016-10-13,10.47,10.55,10.19,10.55,1050907.0,0.0,1.0,10.47,10.55,10.19,10.55,1050907.0
2016-10-12,10.79,10.83,10.64,10.65,460076.0,0.0,1.0,10.79,10.83,10.64,10.65,460076.0
2016-10-11,11.03,11.07,10.75,10.77,1712560.0,0.0,1.0,11.03,11.07,10.75,10.77,1712560.0
2016-10-10,10.86,11.09,10.86,11.06,303450.0,0.0,1.0,10.86,11.09,10.86,11.06,303450.0
2016-10-07,11.03,11.07,10.795,10.83,470428.0,0.0,1.0,11.03,11.07,10.795,10.83,470428.0
2016-10-06,10.96,11.11,10.87,11.03,287342.0,0.0,1.0,10.96,11.11,10.87,11.03,287342.0
2016-10-05,10.87,11.05,10.81,10.95,429935.0,0.0,1.0,10.87,11.05,10.81,10.95,429935.0
2016-10-04,10.9,10.95,10.76,10.86,996959.0,0.0,1.0,10.9,10.95,10.76,10.86,996959.0
2016-10-03,11.12,11.18,10.86,10.96,1074063.0,0.0,1.0,11.12,11.18,10.86,10.96,1074063.0
2016-09-30,11.22,11.2634,10.98,11.18,695672.0,0.0,1.0,11.22,11.2634,10.98,11.18,695672.0
2016-09-29,11.01,11.25,10.99,11.21,1031318.0,0.0,1.0,11.01,11.25,10.99,11.21,1031318.0
2016-09-28,10.8,11.035,10.71,10.98,979210.0,0.0,1.0,10.8,11.035,10.71,10.98,979210.0
2016-09-27,11.0,11.04,10.69,10.75,918432.0,0.0,1.0,11.0,11.04,10.69,10.75,918432.0
2016-09-26,10.93,11.04,10.82,11.0,2073373.0,0.0,1.0,10.93,11.04,10.82,11.0,2073373.0
2016-09-23,11.23,11.39,11.07,11.31,573300.0,0.0,1.0,11.23,11.39,11.07,11.31,573300.0
2016-09-22,10.85,11.29,10.76,11.28,1240059.0,0.0,1.0,10.85,11.29,10.76,11.28,1240059.0
2016-09-21,10.67,10.74,10.4,10.72,875822.0,0.0,1.0,10.67,10.74,10.4,10.72,875822.0
2016-09-20,10.73,10.815,10.6,10.6,461784.0,0.0,1.0,10.73,10.815,10.6,10.6,461784.0
2016-09-19,10.74,10.86,10.625,10.65,365406.0,0.0,1.0,10.74,10.86,10.625,10.65,365406.0
2016-09-16,11.01,11.12,10.65,10.73,894362.0,0.0,1.0,11.01,11.12,10.65,10.73,894362.0
2016-09-15,11.02,11.14,11.02,11.05,420545.0,0.0,1.0,11.02,11.14,11.02,11.05,420545.0
2016-09-14,11.0,11.12,10.91,11.04,469800.0,0.0,1.0,11.0,11.12,10.91,11.04,469800.0
2016-09-13,10.99,11.12,10.92,11.05,805352.0,0.0,1.0,10.99,11.12,10.92,11.05,805352.0
2016-09-12,10.76,11.13,10.69,11.13,545657.0,0.0,1.0,10.76,11.13,10.69,11.13,545657.0
2016-09-09,11.39,11.45,10.87,10.87,735211.0,0.0,1.0,11.39,11.45,10.87,10.87,735211.0
2016-09-08,11.63,11.66,11.4299,11.51,345809.0,0.0,1.0,11.63,11.66,11.4299,11.51,345809.0
