Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,10.19,10.34,10.15,10.16,771599.0,0.0,1.0,10.19,10.34,10.15,10.16,771599.0
2016-11-16,10.07,10.2,9.98,10.18,826845.0,0.0,1.0,10.07,10.2,9.98,10.18,826845.0
2016-11-15,10.12,10.19,9.985,10.07,1186307.0,0.0,1.0,10.12,10.19,9.985,10.07,1186307.0
2016-11-14,9.6,10.08,9.58,10.06,1874651.0,0.0,1.0,9.6,10.08,9.58,10.06,1874651.0
2016-11-11,9.39,9.73,9.38,9.58,2149243.0,0.0,1.0,9.39,9.73,9.38,9.58,2149243.0
2016-11-10,9.65,9.67,9.295,9.42,1503473.0,0.0,1.0,9.65,9.67,9.295,9.42,1503473.0
2016-11-09,9.56,9.8,9.5,9.63,1637927.0,0.0,1.0,9.56,9.8,9.5,9.63,1637927.0
2016-11-08,9.74,9.89,9.73,9.86,712003.0,0.0,1.0,9.74,9.89,9.73,9.86,712003.0
2016-11-07,9.61,9.8,9.61,9.77,904188.0,0.0,1.0,9.61,9.8,9.61,9.77,904188.0
2016-11-04,9.3,9.49,9.23,9.45,1384973.0,0.0,1.0,9.3,9.49,9.23,9.45,1384973.0
2016-11-03,9.64,9.64,9.32,9.34,1409047.0,0.0,1.0,9.64,9.64,9.32,9.34,1409047.0
2016-11-02,9.87,9.88,9.58,9.58,855634.0,0.0,1.0,9.87,9.88,9.58,9.58,855634.0
2016-11-01,10.09,10.115,9.83,9.86,1117160.0,0.0,1.0,10.09,10.115,9.83,9.86,1117160.0
2016-10-31,9.97,10.14,9.94,10.14,784958.0,0.0,1.0,9.97,10.14,9.94,10.14,784958.0
2016-10-28,9.89,9.98,9.85,9.93,815019.0,0.0,1.0,9.89,9.98,9.85,9.93,815019.0
2016-10-27,10.08,10.08,9.875,9.89,1032193.0,0.0,1.0,10.08,10.08,9.875,9.89,1032193.0
2016-10-26,10.2,10.23,10.035,10.09,907615.0,0.0,1.0,10.2,10.23,10.035,10.09,907615.0
2016-10-25,10.25,10.325,10.205,10.3,758296.0,0.0,1.0,10.25,10.325,10.205,10.3,758296.0
2016-10-24,10.13,10.29,10.11,10.27,896683.0,0.0,1.0,10.13,10.29,10.11,10.27,896683.0
2016-10-21,9.98,10.12,9.98,10.09,600055.0,0.0,1.0,9.98,10.12,9.98,10.09,600055.0
2016-10-20,10.08,10.14,9.97,10.08,636264.0,0.0,1.0,10.08,10.14,9.97,10.08,636264.0
2016-10-19,10.09,10.19,10.03,10.12,551570.0,0.0,1.0,10.09,10.19,10.03,10.12,551570.0
2016-10-18,10.09,10.16,10.02,10.11,497762.0,0.0,1.0,10.09,10.16,10.02,10.11,497762.0
2016-10-17,9.99,10.09,9.97,9.98,672152.0,0.0,1.0,9.99,10.09,9.97,9.98,672152.0
2016-10-14,10.0,10.105,9.91,9.95,503819.0,0.0,1.0,10.0,10.105,9.91,9.95,503819.0
2016-10-13,9.85,10.04,9.84,10.01,739134.0,0.0,1.0,9.85,10.04,9.84,10.01,739134.0
2016-10-12,9.76,9.93,9.75,9.9,609747.0,0.0,1.0,9.76,9.93,9.75,9.9,609747.0
2016-10-11,9.86,9.93,9.68,9.73,860479.0,0.0,1.0,9.86,9.93,9.68,9.73,860479.0
2016-10-10,9.68,9.92,9.66,9.86,1064482.0,0.0,1.0,9.68,9.92,9.66,9.86,1064482.0
2016-10-07,9.75,9.86,9.605,9.66,1342036.0,0.0,1.0,9.75,9.86,9.605,9.66,1342036.0
2016-10-06,9.69,9.73,9.54,9.68,939570.0,0.0,1.0,9.69,9.73,9.54,9.68,939570.0
2016-10-05,10.0,10.04,9.68,9.72,1010472.0,0.0,1.0,10.0,10.04,9.68,9.72,1010472.0
2016-10-04,10.17,10.2,9.875,9.95,844441.0,0.0,1.0,10.17,10.2,9.875,9.95,844441.0
2016-10-03,10.3,10.31,10.07,10.19,1103899.0,0.0,1.0,10.3,10.31,10.07,10.19,1103899.0
2016-09-30,10.42,10.46,10.27,10.3,829616.0,0.0,1.0,10.42,10.46,10.27,10.3,829616.0
2016-09-29,10.45,10.515,10.31,10.34,646227.0,0.0,1.0,10.45,10.515,10.31,10.34,646227.0
2016-09-28,10.51,10.6,10.405,10.52,992762.0,0.175,1.0,10.51,10.6,10.405,10.52,992762.0
2016-09-27,10.81,10.81,10.605,10.64,1094223.0,0.0,1.0,10.63311827957,10.63311827957,10.431472650771,10.465899953249,1094223.0
2016-09-26,10.67,10.8,10.61,10.79,1040578.0,0.0,1.0,10.495409069659,10.623281907433,10.43639083684,10.613445535297,1040578.0
