Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,69.59,69.92,68.92,69.25,556862.0,0.0,1.0,69.59,69.92,68.92,69.25,556862.0
2016-11-16,70.56,70.685,69.25,69.62,608164.0,0.0,1.0,70.56,70.685,69.25,69.62,608164.0
2016-11-15,72.17,73.16,70.35,70.58,971655.0,0.0,1.0,72.17,73.16,70.35,70.58,971655.0
2016-11-14,69.82,72.36,69.33,72.04,994132.0,0.0,1.0,69.82,72.36,69.33,72.04,994132.0
2016-11-11,69.25,70.45,69.03,69.8,1123241.0,0.0,1.0,69.25,70.45,69.03,69.8,1123241.0
2016-11-10,67.55,70.0,66.23,69.36,1520237.0,0.0,1.0,67.55,70.0,66.23,69.36,1520237.0
2016-11-09,68.35,68.47,66.0,67.73,800791.0,0.0,1.0,68.35,68.47,66.0,67.73,800791.0
2016-11-08,68.71,68.77,67.83,68.49,549003.0,0.71,1.0,68.71,68.77,67.83,68.49,549003.0
2016-11-07,68.8,69.37,68.15,69.31,1076158.0,0.0,1.0,68.8,69.37,68.15,69.31,1076158.0
2016-11-04,67.15,67.66,66.6,67.57,1094858.0,0.0,1.0,67.15,67.66,66.6,67.57,1094858.0
2016-11-03,67.02,67.82,66.77,67.09,973077.0,0.0,1.0,67.02,67.82,66.77,67.09,973077.0
2016-11-02,68.85,68.85,67.1,67.14,877518.0,0.0,1.0,68.151863753213,68.151863753213,66.419608683233,66.459203084833,877518.0
2016-11-01,70.43,70.47,68.335,68.7,1632679.0,0.0,1.0,69.715842616395,69.755437017995,67.642085832619,68.003384747215,1632679.0
2016-10-31,70.82,70.95,69.55,70.78,1928554.0,0.0,1.0,70.82,70.95,69.55,70.78,1928554.0
2016-10-28,71.86,72.93,70.535,70.62,1557266.0,0.0,1.0,71.86,72.93,70.535,70.62,1557266.0
2016-10-27,74.58,74.58,72.51,72.59,1278154.0,0.0,1.0,74.58,74.58,72.51,72.59,1278154.0
2016-10-26,76.05,76.14,74.38,74.75,1161318.0,0.0,1.0,76.05,76.14,74.38,74.75,1161318.0
2016-10-25,76.64,76.965,76.3576,76.54,492248.0,0.0,1.0,76.64,76.965,76.3576,76.54,492248.0
2016-10-24,77.07,77.93,76.61,76.95,473953.0,0.0,1.0,77.07,77.93,76.61,76.95,473953.0
2016-10-21,76.17,76.7,75.95,76.58,320413.0,0.0,1.0,76.17,76.7,75.95,76.58,320413.0
2016-10-20,76.92,77.11,76.1,76.7,339574.0,0.0,1.0,76.92,77.11,76.1,76.7,339574.0
2016-10-19,76.47,76.86,75.55,76.85,727482.0,0.0,1.0,76.47,76.86,75.55,76.85,727482.0
2016-10-18,76.73,77.05,76.18,76.5,554431.0,0.0,1.0,76.73,77.05,76.18,76.5,554431.0
2016-10-17,76.6,76.91,76.2,76.25,386794.0,0.0,1.0,76.6,76.91,76.2,76.25,386794.0
2016-10-14,77.04,77.15,76.3,76.43,430418.0,0.0,1.0,77.04,77.15,76.3,76.43,430418.0
2016-10-13,76.1,77.1,75.94,76.93,464821.0,0.0,1.0,76.1,77.1,75.94,76.93,464821.0
2016-10-12,76.3,76.84,76.01,76.47,666147.0,0.0,1.0,76.3,76.84,76.01,76.47,666147.0
2016-10-11,76.45,76.95,75.9,76.05,539852.0,0.0,1.0,76.45,76.95,75.9,76.05,539852.0
2016-10-10,76.18,77.08,76.055,76.7,478400.0,0.0,1.0,76.18,77.08,76.055,76.7,478400.0
2016-10-07,76.34,77.41,75.63,76.11,610502.0,0.0,1.0,76.34,77.41,75.63,76.11,610502.0
