Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,6.32,6.49,6.09,6.47,2195957.0,0.0,1.0,6.32,6.49,6.09,6.47,2195957.0
2016-11-16,6.63,6.6701,6.27,6.29,2160503.0,0.0,1.0,6.63,6.6701,6.27,6.29,2160503.0
2016-11-15,6.62,6.79,6.54,6.68,2220462.0,0.0,1.0,6.62,6.79,6.54,6.68,2220462.0
2016-11-14,6.3,6.79,6.3,6.63,3244573.0,0.0,1.0,6.3,6.79,6.3,6.63,3244573.0
2016-11-11,6.5,6.58,6.21,6.26,8193304.0,0.0,1.0,6.5,6.58,6.21,6.26,8193304.0
2016-11-10,6.0,6.73,5.83,6.46,8137652.0,0.0,1.0,6.0,6.73,5.83,6.46,8137652.0
2016-11-09,5.28,6.04,5.2701,5.91,8002788.0,0.0,1.0,5.28,6.04,5.2701,5.91,8002788.0
2016-11-08,5.35,5.39,4.85,5.19,1763412.0,0.0,1.0,5.35,5.39,4.85,5.19,1763412.0
2016-11-07,5.41,5.46,5.33,5.45,2332959.0,0.0,1.0,5.41,5.46,5.33,5.45,2332959.0
2016-11-04,5.03,5.55,5.0199,5.37,3844299.0,0.0,1.0,5.03,5.55,5.0199,5.37,3844299.0
2016-11-03,5.38,5.415,4.99,5.01,3726144.0,0.0,1.0,5.38,5.415,4.99,5.01,3726144.0
2016-11-02,5.32,5.44,5.25,5.37,2498787.0,0.0,1.0,5.32,5.44,5.25,5.37,2498787.0
2016-11-01,5.24,5.365,5.16,5.35,2706568.0,0.0,1.0,5.24,5.365,5.16,5.35,2706568.0
2016-10-31,5.34,5.3501,5.2,5.22,1744361.0,0.0,1.0,5.34,5.3501,5.2,5.22,1744361.0
2016-10-28,5.11,5.36,5.0,5.3,2733921.0,0.0,1.0,5.11,5.36,5.0,5.3,2733921.0
2016-10-27,5.18,5.2,5.08,5.12,2146586.0,0.0,1.0,5.18,5.2,5.08,5.12,2146586.0
2016-10-26,5.1,5.28,5.05,5.12,1762678.0,0.0,1.0,5.1,5.28,5.05,5.12,1762678.0
2016-10-25,5.29,5.41,5.105,5.15,1916248.0,0.0,1.0,5.29,5.41,5.105,5.15,1916248.0
2016-10-24,5.56,5.72,5.25,5.27,2845743.0,0.0,1.0,5.56,5.72,5.25,5.27,2845743.0
2016-10-21,5.11,5.67,5.03,5.54,8133748.0,0.0,1.0,5.11,5.67,5.03,5.54,8133748.0
2016-10-20,4.78,5.13,4.77,5.12,3272363.0,0.0,1.0,4.78,5.13,4.77,5.12,3272363.0
2016-10-19,4.94,4.975,4.72,4.8,2819198.0,0.0,1.0,4.94,4.975,4.72,4.8,2819198.0
2016-10-18,5.09,5.26,4.9,4.93,2527328.0,0.0,1.0,5.09,5.26,4.9,4.93,2527328.0
2016-10-17,4.97,5.0,4.83,4.9,1670472.0,0.0,1.0,4.97,5.0,4.83,4.9,1670472.0
2016-10-14,5.15,5.17,4.85,4.96,2534434.0,0.0,1.0,5.15,5.17,4.85,4.96,2534434.0
2016-10-13,5.0,5.155,4.91,5.13,2984685.0,0.0,1.0,5.0,5.155,4.91,5.13,2984685.0
2016-10-12,5.38,5.43,5.04,5.05,2752873.0,0.0,1.0,5.38,5.43,5.04,5.05,2752873.0
2016-10-11,6.01,6.09,5.39,5.41,4219401.0,0.0,1.0,6.01,6.09,5.39,5.41,4219401.0
2016-10-10,5.51,5.71,5.5,5.66,2051875.0,0.0,1.0,5.51,5.71,5.5,5.66,2051875.0
2016-10-07,5.74,5.93,5.44,5.48,5122722.0,0.0,1.0,5.74,5.93,5.44,5.48,5122722.0
2016-10-06,6.03,6.12,5.95,5.98,3611309.0,0.0,1.0,6.03,6.12,5.95,5.98,3611309.0
2016-10-05,5.99,6.085,5.89,5.96,4321128.0,0.0,1.0,5.99,6.085,5.89,5.96,4321128.0
2016-10-04,6.09,6.225,5.91,5.96,4989472.0,0.0,1.0,6.09,6.225,5.91,5.96,4989472.0
2016-10-03,5.78,6.26,5.76,6.04,8253571.0,0.0,1.0,5.78,6.26,5.76,6.04,8253571.0
2016-09-30,6.3,6.48,6.2,6.35,3094853.0,0.0,1.0,6.3,6.48,6.2,6.35,3094853.0
2016-09-29,6.24,6.36,6.11,6.26,3569846.0,0.0,1.0,6.24,6.36,6.11,6.26,3569846.0
