Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,77.51,78.03,77.23,77.47,2266895.0,0.0,1.0,77.51,78.03,77.23,77.47,2266895.0
2016-11-16,77.39,78.18,77.28,77.57,2563127.0,0.0,1.0,77.39,78.18,77.28,77.57,2563127.0
2016-11-15,77.0,77.85,76.74,77.71,3761664.0,0.0,1.0,77.0,77.85,76.74,77.71,3761664.0
2016-11-14,73.5,77.81,73.46,77.251,7119446.0,0.0,1.0,73.5,77.81,73.46,77.251,7119446.0
2016-11-11,73.15,73.865,72.75,73.385,2972101.0,0.0,1.0,73.15,73.865,72.75,73.385,2972101.0
2016-11-10,74.52,75.09,73.22,73.38,5091002.0,0.0,1.0,74.52,75.09,73.22,73.38,5091002.0
2016-11-09,71.16,74.28,71.0,74.08,4931070.0,0.0,1.0,71.16,74.28,71.0,74.08,4931070.0
2016-11-08,70.0,73.64,69.04,73.02,7741772.0,0.0,1.0,70.0,73.64,69.04,73.02,7741772.0
2016-11-07,70.66,71.18,70.28,71.1,3537630.0,0.0,1.0,70.66,71.18,70.28,71.1,3537630.0
2016-11-04,68.68,70.6,68.68,69.61,4147469.0,0.0,1.0,68.68,70.6,68.68,69.61,4147469.0
2016-11-03,68.58,69.4,68.4,69.24,3204001.0,0.0,1.0,68.58,69.4,68.4,69.24,3204001.0
2016-11-02,68.4,69.27,68.025,68.4,2910600.0,0.0,1.0,68.4,69.27,68.025,68.4,2910600.0
2016-11-01,68.68,69.0,67.74,68.32,3114250.0,0.0,1.0,68.68,69.0,67.74,68.32,3114250.0
2016-10-31,67.72,68.96,67.72,68.7,2525229.0,0.0,1.0,67.72,68.96,67.72,68.7,2525229.0
2016-10-28,66.98,67.88,66.69,67.44,1985540.0,0.0,1.0,66.98,67.88,66.69,67.44,1985540.0
2016-10-27,66.7,66.96,66.21,66.92,2299787.0,0.0,1.0,66.7,66.96,66.21,66.92,2299787.0
2016-10-26,66.48,66.99,65.91,66.695,3188325.0,0.0,1.0,66.48,66.99,65.91,66.695,3188325.0
2016-10-25,67.36,67.51,67.0,67.21,2030053.0,0.0,1.0,67.36,67.51,67.0,67.21,2030053.0
2016-10-24,67.75,68.47,67.36,67.38,2233239.0,0.0,1.0,67.75,68.47,67.36,67.38,2233239.0
2016-10-21,67.06,67.51,66.59,67.14,1840058.0,0.0,1.0,67.06,67.51,66.59,67.14,1840058.0
2016-10-20,67.75,67.85,66.79,67.4,2066573.0,0.0,1.0,67.75,67.85,66.79,67.4,2066573.0
2016-10-19,67.95,68.25,67.74,67.96,1620191.0,0.0,1.0,67.95,68.25,67.74,67.96,1620191.0
2016-10-18,67.72,68.07,67.23,67.83,2929223.0,0.0,1.0,67.72,68.07,67.23,67.83,2929223.0
2016-10-17,67.35,67.76,66.84,66.92,1626322.0,0.0,1.0,67.35,67.76,66.84,66.92,1626322.0
2016-10-14,67.43,67.87,67.01,67.45,2647917.0,0.0,1.0,67.43,67.87,67.01,67.45,2647917.0
2016-10-13,66.34,67.34,66.06,67.27,3456418.0,0.0,1.0,66.34,67.34,66.06,67.27,3456418.0
2016-10-12,66.6,67.07,66.43,66.91,2101205.0,0.0,1.0,66.6,67.07,66.43,66.91,2101205.0
