Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,31.91,32.15,31.77,31.81,2939371.0,0.0,1.0,31.91,32.15,31.77,31.81,2939371.0
2016-11-16,32.15,32.48,31.91,32.0,2534390.0,0.0,1.0,32.15,32.48,31.91,32.0,2534390.0
2016-11-15,31.86,32.46,31.751,32.37,4345324.0,0.0,1.0,31.86,32.46,31.751,32.37,4345324.0
2016-11-14,31.03,32.02,31.03,32.01,3829565.0,0.0,1.0,31.03,32.02,31.03,32.01,3829565.0
2016-11-11,30.59,30.91,30.35,30.88,3248315.0,0.0,1.0,30.59,30.91,30.35,30.88,3248315.0
2016-11-10,31.45,31.71,30.68,30.69,4833201.0,0.0,1.0,31.45,31.71,30.68,30.69,4833201.0
2016-11-09,29.8,31.44,29.7411,31.39,3514869.0,0.0,1.0,29.8,31.44,29.7411,31.39,3514869.0
2016-11-08,30.81,31.16,30.61,31.06,2667741.0,0.0,1.0,30.81,31.16,30.61,31.06,2667741.0
2016-11-07,30.92,31.0,30.67,30.855,3760933.0,0.0,1.0,30.92,31.0,30.67,30.855,3760933.0
2016-11-04,29.92,30.98,29.92,30.46,4365983.0,0.0,1.0,29.92,30.98,29.92,30.46,4365983.0
2016-11-03,30.88,30.89,29.95,30.05,5132093.0,0.0,1.0,30.88,30.89,29.95,30.05,5132093.0
2016-11-02,31.08,31.285,30.74,30.9,2717548.0,0.0,1.0,31.08,31.285,30.74,30.9,2717548.0
2016-11-01,31.59,31.59,30.64,31.03,4218754.0,0.0,1.0,31.59,31.59,30.64,31.03,4218754.0
2016-10-31,31.76,31.88,31.465,31.53,2434874.0,0.0,1.0,31.76,31.88,31.465,31.53,2434874.0
2016-10-28,31.44,31.9693,31.38,31.72,2744519.0,0.0,1.0,31.44,31.9693,31.38,31.72,2744519.0
2016-10-27,32.07,32.2,31.355,31.45,3228415.0,0.0,1.0,32.07,32.2,31.355,31.45,3228415.0
2016-10-26,32.53,32.63,31.975,31.98,3491046.0,0.0,1.0,32.53,32.63,31.975,31.98,3491046.0
2016-10-25,33.23,33.23,32.52,32.6,2264163.0,0.0,1.0,33.23,33.23,32.52,32.6,2264163.0
2016-10-24,32.75,33.16,32.72,33.09,3268431.0,0.0,1.0,32.75,33.16,32.72,33.09,3268431.0
2016-10-21,32.26,32.75,32.01,32.74,4557871.0,0.0,1.0,32.26,32.75,32.01,32.74,4557871.0
2016-10-20,32.9,33.0,32.02,32.46,12752542.0,0.0,1.0,32.9,33.0,32.02,32.46,12752542.0
2016-10-19,30.87,31.26,30.48,30.62,5900995.0,0.0,1.0,30.87,31.26,30.48,30.62,5900995.0
2016-10-18,30.54,30.98,30.35,30.71,3540394.0,0.0,1.0,30.54,30.98,30.35,30.71,3540394.0
2016-10-17,30.71,31.0,29.915,30.18,4723074.0,0.0,1.0,30.71,31.0,29.915,30.18,4723074.0
2016-10-14,30.26,30.54,30.09,30.1,3134400.0,0.0,1.0,30.26,30.54,30.09,30.1,3134400.0
2016-10-13,29.48,30.25,29.4,29.98,3191282.0,0.0,1.0,29.48,30.25,29.4,29.98,3191282.0
2016-10-12,29.45,29.82,29.4,29.6,2655233.0,0.0,1.0,29.45,29.82,29.4,29.6,2655233.0
2016-10-11,30.24,30.25,29.41,29.44,3347658.0,0.0,1.0,30.24,30.25,29.41,29.44,3347658.0
2016-10-10,30.38,30.45,30.05,30.3,3116748.0,0.0,1.0,30.38,30.45,30.05,30.3,3116748.0
2016-10-07,30.62,30.69,29.83,30.06,2207322.0,0.0,1.0,30.62,30.69,29.83,30.06,2207322.0
2016-10-06,30.5,30.8,30.4,30.5,2839129.0,0.0,1.0,30.5,30.8,30.4,30.5,2839129.0
2016-10-05,30.24,30.7,30.24,30.58,2412529.0,0.0,1.0,30.24,30.7,30.24,30.58,2412529.0
2016-10-04,30.71,30.75,29.98,30.21,4278685.0,0.0,1.0,30.71,30.75,29.98,30.21,4278685.0
2016-10-03,30.07,30.96,30.07,30.77,6427479.0,0.0,1.0,30.07,30.96,30.07,30.77,6427479.0
2016-09-30,30.69,30.96,30.26,30.265,5832113.0,0.0,1.0,30.69,30.96,30.26,30.265,5832113.0
2016-09-29,31.05,31.33,30.74,30.77,4004972.0,0.0,1.0,31.05,31.33,30.74,30.77,4004972.0
2016-09-28,31.41,31.47,30.7299,31.05,4772142.0,0.0,1.0,31.41,31.47,30.7299,31.05,4772142.0
2016-09-27,31.31,31.47,31.15,31.36,2895429.0,0.0,1.0,31.31,31.47,31.15,31.36,2895429.0
2016-09-26,31.94,32.0864,31.26,31.28,2909985.0,0.0,1.0,31.94,32.0864,31.26,31.28,2909985.0
2016-09-23,31.96,32.41,31.8,31.97,3197146.0,0.0,1.0,31.96,32.41,31.8,31.97,3197146.0
2016-09-22,32.07,32.18,31.77,32.11,2865878.0,0.0,1.0,32.07,32.18,31.77,32.11,2865878.0
2016-09-21,31.12,31.895,30.97,31.87,2192774.0,0.0,1.0,31.12,31.895,30.97,31.87,2192774.0
2016-09-20,31.9,32.0,31.52,31.53,2405536.0,0.0,1.0,31.9,32.0,31.52,31.53,2405536.0
2016-09-19,32.09,32.15,31.49,31.74,3291491.0,0.0,1.0,32.09,32.15,31.49,31.74,3291491.0
2016-09-16,31.22,31.355,30.88,31.24,3910385.0,0.0,1.0,31.22,31.355,30.88,31.24,3910385.0
2016-09-15,31.18,31.5287,31.09,31.31,2612721.0,0.0,1.0,31.18,31.5287,31.09,31.31,2612721.0
2016-09-14,31.63,31.63,31.145,31.31,2694693.0,0.0,1.0,31.63,31.63,31.145,31.31,2694693.0
2016-09-13,31.81,31.97,31.365,31.61,3080163.0,0.0,1.0,31.81,31.97,31.365,31.61,3080163.0
2016-09-12,31.6,32.03,31.33,31.94,3607048.0,0.0,1.0,31.6,32.03,31.33,31.94,3607048.0
2016-09-09,32.16,32.27,31.73,31.73,2874744.0,0.0,1.0,32.16,32.27,31.73,31.73,2874744.0
