Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,66.5,68.45,66.35,68.35,237212.0,0.0,1.0,66.5,68.45,66.35,68.35,237212.0
2016-11-16,66.8,67.225,66.0,66.45,179194.0,0.0,1.0,66.8,67.225,66.0,66.45,179194.0
2016-11-15,66.7,67.25,66.5,66.8,169091.0,0.0,1.0,66.7,67.25,66.5,66.8,169091.0
2016-11-14,68.0,68.0,66.5,66.75,163616.0,0.0,1.0,68.0,68.0,66.5,66.75,163616.0
2016-11-11,65.7,67.8,65.5,67.3,217694.0,0.0,1.0,65.7,67.8,65.5,67.3,217694.0
2016-11-10,65.0,66.6,64.6,65.45,148145.0,0.0,1.0,65.0,66.6,64.6,65.45,148145.0
2016-11-09,61.3,64.25,60.275,64.2,113143.0,0.0,1.0,61.3,64.25,60.275,64.2,113143.0
2016-11-08,60.6,61.8,60.4,61.6,56694.0,0.0,1.0,60.6,61.8,60.4,61.6,56694.0
2016-11-07,59.85,60.95,59.85,60.6,109862.0,0.0,1.0,59.85,60.95,59.85,60.6,109862.0
2016-11-04,59.2,59.65,58.65,58.95,81013.0,0.0,1.0,59.2,59.65,58.65,58.95,81013.0
2016-11-03,59.25,59.5,58.9,59.0,59711.0,0.0,1.0,59.25,59.5,58.9,59.0,59711.0
2016-11-02,59.45,60.2,58.9,59.15,84781.0,0.0,1.0,59.45,60.2,58.9,59.15,84781.0
2016-11-01,59.8,60.0,59.1,59.25,100754.0,0.0,1.0,59.8,60.0,59.1,59.25,100754.0
2016-10-31,59.05,60.05,58.95,59.9,83120.0,0.0,1.0,59.05,60.05,58.95,59.9,83120.0
2016-10-28,58.7,59.45,58.7,59.13,54622.0,0.0,1.0,58.7,59.45,58.7,59.13,54622.0
2016-10-27,59.41,60.3299,58.54,58.87,78719.0,0.0,1.0,59.41,60.3299,58.54,58.87,78719.0
2016-10-26,59.14,59.916,59.01,59.14,59185.0,0.0,1.0,59.14,59.916,59.01,59.14,59185.0
2016-10-25,59.97,59.97,59.325,59.49,52733.0,0.0,1.0,59.97,59.97,59.325,59.49,52733.0
2016-10-24,59.63,60.4,58.941,60.04,65820.0,0.0,1.0,59.63,60.4,58.941,60.04,65820.0
2016-10-21,59.82,59.82,58.6899,59.23,90335.0,0.0,1.0,59.82,59.82,58.6899,59.23,90335.0
2016-10-20,60.53,60.55,59.25,60.27,181804.0,0.0,1.0,60.53,60.55,59.25,60.27,181804.0
2016-10-19,59.72,60.01,59.34,59.78,60329.0,0.0,1.0,59.72,60.01,59.34,59.78,60329.0
