Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,9.17,9.32,9.1,9.2,1055332.0,0.0,1.0,9.17,9.32,9.1,9.2,1055332.0
2016-11-16,9.01,9.19,8.98,9.14,1162857.0,0.0,1.0,9.01,9.19,8.98,9.14,1162857.0
2016-11-15,9.18,9.25,9.03,9.07,1789471.0,0.0,1.0,9.18,9.25,9.03,9.07,1789471.0
2016-11-14,9.17,9.48,9.11,9.29,1972400.0,0.0,1.0,9.17,9.48,9.11,9.29,1972400.0
2016-11-11,8.7,9.06,8.7,9.04,1974854.0,0.0,1.0,8.7,9.06,8.7,9.04,1974854.0
2016-11-10,8.4,8.89,8.37,8.82,2082444.0,0.0,1.0,8.4,8.89,8.37,8.82,2082444.0
2016-11-09,8.02,8.48,7.86,8.3,2650940.0,0.0,1.0,8.02,8.48,7.86,8.3,2650940.0
2016-11-08,7.66,7.89,7.575,7.79,1769062.0,0.0,1.0,7.66,7.89,7.575,7.79,1769062.0
2016-11-07,7.7,7.85,7.62,7.69,1300537.0,0.0,1.0,7.7,7.85,7.62,7.69,1300537.0
2016-11-04,7.15,7.62,7.15,7.49,1563268.0,0.0,1.0,7.15,7.62,7.15,7.49,1563268.0
2016-11-03,7.3,7.375,7.145,7.15,900457.0,0.0,1.0,7.3,7.375,7.145,7.15,900457.0
2016-11-02,7.33,7.36,7.25,7.26,1243674.0,0.0,1.0,7.33,7.36,7.25,7.26,1243674.0
2016-11-01,7.71,7.75,7.28,7.36,1426127.0,0.0,1.0,7.71,7.75,7.28,7.36,1426127.0
2016-10-31,7.84,7.87,7.7,7.7,929035.0,0.0,1.0,7.84,7.87,7.7,7.7,929035.0
2016-10-28,7.94,7.975,7.745,7.78,618729.0,0.0,1.0,7.94,7.975,7.745,7.78,618729.0
2016-10-27,8.02,8.07,7.9,7.94,398924.0,0.0,1.0,8.02,8.07,7.9,7.94,398924.0
2016-10-26,8.16,8.2,7.95,7.97,595591.0,0.0,1.0,8.16,8.2,7.95,7.97,595591.0
2016-10-25,8.18,8.2418,8.11,8.2,598463.0,0.0,1.0,8.18,8.2418,8.11,8.2,598463.0
2016-10-24,8.15,8.23,8.095,8.17,1144803.0,0.0,1.0,8.15,8.23,8.095,8.17,1144803.0
2016-10-21,7.88,8.15,7.87,8.09,987142.0,0.0,1.0,7.88,8.15,7.87,8.09,987142.0
2016-10-20,7.99,8.08,7.92,8.01,733805.0,0.0,1.0,7.99,8.08,7.92,8.01,733805.0
2016-10-19,8.02,8.15,7.89,8.05,1212127.0,0.0,1.0,8.02,8.15,7.89,8.05,1212127.0
2016-10-18,7.94,8.03,7.88,8.0,1099019.0,0.0,1.0,7.94,8.03,7.88,8.0,1099019.0
2016-10-17,7.64,7.86,7.64,7.83,829519.0,0.0,1.0,7.64,7.86,7.64,7.83,829519.0
2016-10-14,7.65,7.77,7.6301,7.64,732805.0,0.0,1.0,7.65,7.77,7.6301,7.64,732805.0
2016-10-13,7.71,7.75,7.55,7.59,650883.0,0.0,1.0,7.71,7.75,7.55,7.59,650883.0
2016-10-12,7.75,7.88,7.72,7.78,675802.0,0.0,1.0,7.75,7.88,7.72,7.78,675802.0
2016-10-11,7.94,7.96,7.67,7.73,818529.0,0.0,1.0,7.94,7.96,7.67,7.73,818529.0
2016-10-10,8.0,8.1195,7.92,7.93,1217106.0,0.0,1.0,8.0,8.1195,7.92,7.93,1217106.0
2016-10-07,7.94,8.01,7.84,7.95,710991.0,0.0,1.0,7.94,8.01,7.84,7.95,710991.0
2016-10-06,7.93,7.98,7.83,7.92,504615.0,0.0,1.0,7.93,7.98,7.83,7.92,504615.0
2016-10-05,7.95,8.08,7.9,7.96,885740.0,0.0,1.0,7.95,8.08,7.9,7.96,885740.0
2016-10-04,7.79,7.94,7.745,7.9,630331.0,0.0,1.0,7.79,7.94,7.745,7.9,630331.0
2016-10-03,7.75,7.895,7.7,7.79,889239.0,0.0,1.0,7.75,7.895,7.7,7.79,889239.0
2016-09-30,7.63,7.85,7.53,7.79,1500006.0,0.0,1.0,7.63,7.85,7.53,7.79,1500006.0
2016-09-29,7.67,7.89,7.443,7.53,1810661.0,0.0,1.0,7.67,7.89,7.443,7.53,1810661.0
2016-09-28,7.53,7.735,7.46,7.73,1052845.0,0.0,1.0,7.53,7.735,7.46,7.73,1052845.0
2016-09-27,7.55,7.605,7.49,7.52,768527.0,0.0,1.0,7.55,7.605,7.49,7.52,768527.0
2016-09-26,7.83,7.85,7.57,7.58,1016010.0,0.0,1.0,7.83,7.85,7.57,7.58,1016010.0
2016-09-23,7.9,8.0,7.85,7.9,595191.0,0.0,1.0,7.9,8.0,7.85,7.9,595191.0
2016-09-22,7.84,7.96,7.81,7.94,858838.0,0.0,1.0,7.84,7.96,7.81,7.94,858838.0
2016-09-21,7.45,7.81,7.45,7.81,1296562.0,0.0,1.0,7.45,7.81,7.45,7.81,1296562.0
2016-09-20,7.68,7.71,7.49,7.52,462442.0,0.0,1.0,7.68,7.71,7.49,7.52,462442.0
2016-09-19,7.57,7.75,7.56,7.61,1048459.0,0.0,1.0,7.57,7.75,7.56,7.61,1048459.0
2016-09-16,7.6,7.61,7.47,7.53,1244520.0,0.0,1.0,7.6,7.61,7.47,7.53,1244520.0
2016-09-15,7.63,7.77,7.6,7.69,878884.0,0.0,1.0,7.63,7.77,7.6,7.69,878884.0
2016-09-14,7.73,7.8,7.61,7.66,968500.0,0.0,1.0,7.73,7.8,7.61,7.66,968500.0
2016-09-13,7.76,7.85,7.61,7.77,1244003.0,0.0,1.0,7.76,7.85,7.61,7.77,1244003.0
2016-09-12,7.84,7.915,7.7,7.88,1001454.0,0.0,1.0,7.84,7.915,7.7,7.88,1001454.0
2016-09-09,8.01,8.0486,7.85,7.93,1168753.0,0.0,1.0,8.01,8.0486,7.85,7.93,1168753.0
2016-09-08,7.97,8.1,7.95,8.05,768591.0,0.0,1.0,7.97,8.1,7.95,8.05,768591.0
2016-09-07,7.87,8.0,7.85,7.98,712098.0,0.0,1.0,7.87,8.0,7.85,7.98,712098.0
2016-09-06,8.01,8.04,7.78,7.87,1026768.0,0.0,1.0,8.01,8.04,7.78,7.87,1026768.0
2016-09-02,8.03,8.06,7.92,8.0,824452.0,0.0,1.0,8.03,8.06,7.92,8.0,824452.0
2016-09-01,8.1,8.16,7.92,7.98,1210137.0,0.0,1.0,8.1,8.16,7.92,7.98,1210137.0
2016-08-31,8.03,8.12,7.93,8.06,1817704.0,0.0,1.0,8.03,8.12,7.93,8.06,1817704.0
2016-08-30,8.01,8.05,7.9,8.01,690834.0,0.0,1.0,8.01,8.05,7.9,8.01,690834.0
2016-08-29,7.94,8.1,7.94,8.0,1038389.0,0.0,1.0,7.94,8.1,7.94,8.0,1038389.0
2016-08-26,7.98,8.015,7.79,7.92,1070150.0,0.0,1.0,7.98,8.015,7.79,7.92,1070150.0
2016-08-25,7.95,8.01,7.925,7.98,828938.0,0.0,1.0,7.95,8.01,7.925,7.98,828938.0
2016-08-24,8.21,8.28,7.91,7.99,1520926.0,0.0,1.0,8.21,8.28,7.91,7.99,1520926.0
2016-08-23,8.12,8.28,8.11,8.23,703925.0,0.0,1.0,8.12,8.28,8.11,8.23,703925.0
2016-08-22,8.05,8.1499,7.95,8.06,718918.0,0.0,1.0,8.05,8.1499,7.95,8.06,718918.0
2016-08-19,8.16,8.23,8.08,8.11,626379.0,0.0,1.0,8.16,8.23,8.08,8.11,626379.0
2016-08-18,8.2,8.26,8.13,8.2,739766.0,0.0,1.0,8.2,8.26,8.13,8.2,739766.0
2016-08-17,8.2,8.26,8.03,8.18,890929.0,0.0,1.0,8.2,8.26,8.03,8.18,890929.0
2016-08-16,8.3,8.37,8.12,8.23,987227.0,0.0,1.0,8.3,8.37,8.12,8.23,987227.0
