Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,33.45,33.8,33.25,33.78,18865.0,0.0,1.0,33.45,33.8,33.25,33.78,18865.0
2016-11-16,33.19,33.72,33.0201,33.58,39172.0,0.0,1.0,33.19,33.72,33.0201,33.58,39172.0
2016-11-15,33.07,33.65,33.07,33.48,49195.0,0.0,1.0,33.07,33.65,33.07,33.48,49195.0
2016-11-14,32.95,33.8,32.7601,33.2,76068.0,0.0,1.0,32.95,33.8,32.7601,33.2,76068.0
2016-11-11,31.8,33.0,31.8,32.99,97150.0,0.0,1.0,31.8,33.0,31.8,32.99,97150.0
2016-11-10,31.47,32.5,31.47,31.99,100094.0,0.0,1.0,31.47,32.5,31.47,31.99,100094.0
2016-11-09,31.0,31.5,30.81,31.46,104815.0,0.0,1.0,31.0,31.5,30.81,31.46,104815.0
2016-11-08,30.66,31.05,30.66,31.0,31604.0,0.13,1.0,30.66,31.05,30.66,31.0,31604.0
2016-11-07,30.65,31.05,30.65,30.97,11307.0,0.0,1.0,30.65,31.05,30.65,30.97,11307.0
2016-11-04,29.86,30.49,29.86,30.21,10090.0,0.0,1.0,29.86,30.49,29.86,30.21,10090.0
2016-11-03,29.51,29.6771,29.33,29.64,45597.0,0.0,1.0,29.51,29.6771,29.33,29.64,45597.0
2016-11-02,29.6,29.711,29.154,29.46,27614.0,0.0,1.0,29.476270096463,29.586806109325,29.032134405145,29.336855305466,27614.0
2016-11-01,30.26,30.4336,29.0901,29.59,21752.0,0.0,1.0,30.133511254019,30.306385594855,28.968501511254,29.466311897106,21752.0
2016-10-31,30.03,30.5,29.99,30.32,24306.0,0.0,1.0,30.03,30.5,29.99,30.32,24306.0
2016-10-28,30.59,30.6348,30.07,30.11,28570.0,0.0,1.0,30.59,30.6348,30.07,30.11,28570.0
2016-10-27,30.75,30.75,30.4,30.41,28818.0,0.0,1.0,30.75,30.75,30.4,30.41,28818.0
2016-10-26,30.0,30.75,29.96,30.51,29282.0,0.0,1.0,30.0,30.75,29.96,30.51,29282.0
2016-10-25,30.54,30.85,30.4,30.47,77872.0,0.0,1.0,30.54,30.85,30.4,30.47,77872.0
2016-10-24,32.0,33.44,30.38,30.38,246169.0,0.0,1.0,32.0,33.44,30.38,30.38,246169.0
2016-10-21,27.4,27.59,27.4,27.59,959.0,0.0,1.0,27.4,27.59,27.4,27.59,959.0
2016-10-20,28.1581,28.1581,27.65,27.65,1290.0,0.0,1.0,28.1581,28.1581,27.65,27.65,1290.0
2016-10-19,27.301,27.47,27.3,27.47,548.0,0.0,1.0,27.301,27.47,27.3,27.47,548.0
2016-10-18,27.25,28.1,27.25,27.58,1775.0,0.0,1.0,27.25,28.1,27.25,27.58,1775.0
2016-10-17,27.5,27.5,27.5,27.5,1072.0,0.0,1.0,27.5,27.5,27.5,27.5,1072.0
2016-10-14,27.3009,28.0,27.3009,27.71,1283.0,0.0,1.0,27.3009,28.0,27.3009,27.71,1283.0
2016-10-13,27.5,27.5,27.18,27.27,2485.0,0.0,1.0,27.5,27.5,27.18,27.27,2485.0
