Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-17,32.95,33.1,32.56,32.92,33074.0,0.0,1.0,32.95,33.1,32.56,32.92,33074.0
2016-11-16,32.18,33.0,31.79,32.97,37989.0,0.0,1.0,32.18,33.0,31.79,32.97,37989.0
2016-11-15,31.9,32.57,31.5001,32.4,27811.0,0.0,1.0,31.9,32.57,31.5001,32.4,27811.0
2016-11-14,31.63,33.15,31.59,32.21,46159.0,0.0,1.0,31.63,33.15,31.59,32.21,46159.0
2016-11-11,30.9,31.46,30.0,31.41,127180.0,0.0,1.0,30.9,31.46,30.0,31.41,127180.0
2016-11-10,30.1,31.65,29.55,31.15,70397.0,0.0,1.0,30.1,31.65,29.55,31.15,70397.0
2016-11-09,27.95,30.17,27.6006,30.17,46143.0,0.0,1.0,27.95,30.17,27.6006,30.17,46143.0
2016-11-08,27.69,27.95,27.5,27.86,15650.0,0.0,1.0,27.69,27.95,27.5,27.86,15650.0
2016-11-07,27.47,27.88,27.26,27.85,21022.0,0.0,1.0,27.47,27.88,27.26,27.85,21022.0
2016-11-04,27.02,27.45,27.02,27.13,21494.0,0.0,1.0,27.02,27.45,27.02,27.13,21494.0
2016-11-03,27.06,27.21,27.0,27.09,30885.0,0.0,1.0,27.06,27.21,27.0,27.09,30885.0
2016-11-02,27.125,27.13,27.0,27.05,17920.0,0.0,1.0,27.125,27.13,27.0,27.05,17920.0
2016-11-01,27.56,27.9,27.11,27.15,21325.0,0.0,1.0,27.56,27.9,27.11,27.15,21325.0
2016-10-31,27.31,27.715,27.091,27.52,24647.0,0.0,1.0,27.31,27.715,27.091,27.52,24647.0
2016-10-28,27.25,27.69,27.12,27.26,17025.0,0.0,1.0,27.25,27.69,27.12,27.26,17025.0
2016-10-27,27.62,27.62,27.02,27.38,33838.0,0.0,1.0,27.62,27.62,27.02,27.38,33838.0
2016-10-26,27.72,27.98,27.32,27.39,30241.0,0.0,1.0,27.72,27.98,27.32,27.39,30241.0
2016-10-25,27.54,27.87,27.54,27.71,22633.0,0.0,1.0,27.54,27.87,27.54,27.71,22633.0
2016-10-24,27.47,27.8279,27.275,27.62,31008.0,0.0,1.0,27.47,27.8279,27.275,27.62,31008.0
2016-10-21,27.55,27.9168,27.36,27.51,24912.0,0.0,1.0,27.55,27.9168,27.36,27.51,24912.0
2016-10-20,27.59,27.98,27.5,27.86,20477.0,0.0,1.0,27.59,27.98,27.5,27.86,20477.0
2016-10-19,27.2,27.7,27.2,27.59,30461.0,0.0,1.0,27.2,27.7,27.2,27.59,30461.0
2016-10-18,27.14,27.38,26.5435,27.19,34432.0,0.0,1.0,27.14,27.38,26.5435,27.19,34432.0
2016-10-17,26.79,26.8,26.54,26.59,17009.0,0.0,1.0,26.79,26.8,26.54,26.59,17009.0
2016-10-14,26.8,26.88,26.72,26.72,20791.0,0.0,1.0,26.8,26.88,26.72,26.72,20791.0
2016-10-13,27.25,27.295,26.5,26.52,16733.0,0.0,1.0,27.25,27.295,26.5,26.52,16733.0
2016-10-12,27.31,27.61,27.19,27.36,24842.0,0.0,1.0,27.31,27.61,27.19,27.36,24842.0
2016-10-11,27.52,27.925,26.94,27.22,39846.0,0.0,1.0,27.52,27.925,26.94,27.22,39846.0
2016-10-10,26.93,27.67,26.93,27.52,22298.0,0.0,1.0,26.93,27.67,26.93,27.52,22298.0
2016-10-07,27.46,27.46,26.48,26.87,20947.0,0.0,1.0,27.46,27.46,26.48,26.87,20947.0
2016-10-06,27.29,27.47,27.22,27.4,18356.0,0.0,1.0,27.29,27.47,27.22,27.4,18356.0
2016-10-05,27.29,27.43,27.05,27.26,20335.0,0.0,1.0,27.29,27.43,27.05,27.26,20335.0
2016-10-04,26.8,27.375,26.75,27.08,27289.0,0.0,1.0,26.8,27.375,26.75,27.08,27289.0
2016-10-03,26.65,26.84,26.55,26.81,21899.0,0.0,1.0,26.65,26.84,26.55,26.81,21899.0
2016-09-30,26.96,27.095,26.41,26.85,49287.0,0.0,1.0,26.96,27.095,26.41,26.85,49287.0
2016-09-29,27.2,27.43,26.3,26.84,18502.0,0.0,1.0,27.2,27.43,26.3,26.84,18502.0
2016-09-28,27.42,27.42,27.05,27.33,17239.0,0.0,1.0,27.42,27.42,27.05,27.33,17239.0
2016-09-27,26.99,27.36,26.99,27.33,18853.0,0.0,1.0,26.99,27.36,26.99,27.33,18853.0
2016-09-26,27.57,27.57,26.92,26.94,15352.0,0.0,1.0,27.57,27.57,26.92,26.94,15352.0
2016-09-23,27.35,27.99,27.35,27.79,22695.0,0.0,1.0,27.35,27.99,27.35,27.79,22695.0
2016-09-22,27.51,27.61,27.39,27.54,60760.0,0.0,1.0,27.51,27.61,27.39,27.54,60760.0
2016-09-21,27.59,27.63,27.01,27.31,28606.0,0.0,1.0,27.59,27.63,27.01,27.31,28606.0
2016-09-20,27.45,27.77,27.29,27.4,26734.0,0.0,1.0,27.45,27.77,27.29,27.4,26734.0
2016-09-19,27.27,27.79,27.16,27.43,36523.0,0.0,1.0,27.27,27.79,27.16,27.43,36523.0
2016-09-16,26.86,27.58,26.58,27.28,135738.0,0.0,1.0,26.86,27.58,26.58,27.28,135738.0
2016-09-15,26.04,26.83,26.04,26.81,23897.0,0.0,1.0,26.04,26.83,26.04,26.81,23897.0
2016-09-14,26.25,26.5899,26.16,26.29,18476.0,0.0,1.0,26.25,26.5899,26.16,26.29,18476.0
2016-09-13,26.55,26.765,26.13,26.32,25935.0,0.0,1.0,26.55,26.765,26.13,26.32,25935.0
